config,sharpe,ann_ret,maxDD,pct_in_mkt,avg_names,hit_active
T=0.5,0.17,0.94%,-15.27%,100%,5.9,49%
T=0.75,0.05,0.27%,-20.55%,100%,4.5,50%
T=1.0,-0.02,-0.09%,-21.44%,100%,3.0,48%
T=1.25,-0.22,-1.21%,-18.80%,99%,2.0,44%
T=1.5,-0.03,-0.18%,-16.62%,85%,1.2,41%
T=0.5+agree,0.13,0.72%,-16.53%,100%,5.7,49%
T=0.75+agree,0.02,0.09%,-22.08%,100%,4.4,50%
T=1.0+agree,-0.02,-0.14%,-21.26%,100%,2.9,47%
T=1.25+agree,-0.25,-1.35%,-20.67%,98%,1.9,43%
T=1.5+agree,-0.04,-0.21%,-16.46%,84%,1.2,41%
ENSEMBLE(all 10),-0.09,-0.76%,-36.88%,-,-,-
