date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD
2000-01-07,,,,,,,,,
2000-01-14,,,,,,,,,
2000-01-21,,,,,,,,,
2000-01-28,,,,,,,,,
2000-02-04,,,,,,,,,
2000-02-11,,,,,,,,,
2000-02-18,,,,,,,,,
2000-02-25,,,,,,,,,
2000-03-03,,,,,,,,,
2000-03-10,,,,,,,,,
2000-03-17,,,,,,,,,
2000-03-24,,,,,,,,,
2000-03-31,,,,,,,,,
2000-04-07,,,,,,,,,
2000-04-14,,,,,,,,,
2000-04-21,,,,,,,,,
2000-04-28,,,,,,,,,
2000-05-05,,,,,,,,,
2000-05-12,,,,,,,,,
2000-05-19,,,,,,,,,
2000-05-26,,,,,,,,,
2000-06-02,,,,,,,,,
2000-06-09,,,,,,,,,
2000-06-16,,,,,,,,,
2000-06-23,,,,,,,,,
2000-06-30,,,,,,,,,
2000-07-07,,,,,,,,,
2000-07-14,,,,,,,,,
2000-07-21,,,,,,,,,
2000-07-28,,,,,,,,,
2000-08-04,,,,,,,,,
2000-08-11,,,,,,,,,
2000-08-18,,,,,,,,,
2000-08-25,,,,,,,,,
2000-09-01,,,,,,,,,
2000-09-08,,,,,,,,,
2000-09-15,,,,,,,,,
2000-09-22,,,,,,,,,
2000-09-29,,,,,,,,,
2000-10-06,,,,,,,,,
2000-10-13,,,,,,,,,
2000-10-20,,,,,,,,,
2000-10-27,,,,,,,,,
2000-11-03,,,,,,,,,
2000-11-10,,,,,,,,,
2000-11-17,,,,,,,,,
2000-11-24,,,,,,,,,
2000-12-01,,,,,,,,,
2000-12-08,,,,,,,,,
2000-12-15,,,,,,,,,
2000-12-22,,,,,,,,,
2000-12-29,,,,,,,,,
2001-01-05,,,,,,,,,
2001-01-12,,,,,,,,,
2001-01-19,,,,,,,,,
2001-01-26,,,,,,,,,
2001-02-02,,,,,,,,,
2001-02-09,,,,,,,,,
2001-02-16,,,,,,,,,
2001-02-23,,,,,,,,,
2001-03-02,,,,,,,,,
2001-03-09,,,,,,,,,
2001-03-16,,,,,,,,,
2001-03-23,,,,,,,,,
2001-03-30,,,,,,,,,
2001-04-06,,,,,,,,,
2001-04-13,,,,,,,,,
2001-04-20,,,,,,,,,
2001-04-27,,,,,,,,,
2001-05-04,,,,,,,,,
2001-05-11,,,,,,,,,
2001-05-18,,,,,,,,,
2001-05-25,,,,,,,,,
2001-06-01,,,,,,,,,
2001-06-08,,,,,,,,,
2001-06-15,,,,,,,,,
2001-06-22,,,,,,,,,
2001-06-29,,,,,,,,,
2001-07-06,,,,,,,,,
2001-07-13,,,,,,,,,
2001-07-20,,,,,,,,,
2001-07-27,,,,,,,,,
2001-08-03,,,,,,,,,
2001-08-10,,,,,,,,,
2001-08-17,,,,,,,,,
2001-08-24,,,,,,,,,
2001-08-31,,,,,,,,,
2001-09-07,,,,,,,,,
2001-09-14,,,,,,,,,
2001-09-21,,,,,,,,,
2001-09-28,,,,,,,,,
2001-10-05,,,,,,,,,
2001-10-12,,,,,,,,,
2001-10-19,,,,,,,,,
2001-10-26,,,,,,,,,
2001-11-02,,,,,,,,,
2001-11-09,,,,,,,,,
2001-11-16,,,,,,,,,
2001-11-23,,,,,,,,,
2001-11-30,,,,,,,,,
2001-12-07,,,,,,,,,
2001-12-14,,,,,,,,,
2001-12-21,,,,,,,,,
2001-12-28,,,,,,,,,
2002-01-04,,,,,,,,,
2002-01-11,,,,,,,,,
2002-01-18,,,,,,,,,
2002-01-25,,,,,,,,,
2002-02-01,,,,,,,,,
2002-02-08,,,,,,,,,
2002-02-15,,,,,,,,,
2002-02-22,,,,,,,,,
2002-03-01,,,,,,,,,
2002-03-08,,,,,,,,,
