ccy,corr_z_d1w,corr_z_d4w,n_trades,hit_pct,mean_pips,t
CNH,-0.5488795584320171,-0.6033580350320714,40,32.5,-23.459333333333337,-2.745887778258113
IDR,-0.45269329505463446,-0.54014902409815,45,26.666666666666668,-25.364907407407404,-2.987617422341177
INR,-0.5435745422342947,-0.548551078085475,39,23.076923076923077,-5.483888888888887,-2.3700429650469665
KRW,-0.5381232881421218,-0.6431346492332157,47,19.148936170212767,-0.2714539007092199,-4.337795848285785
MYR,-0.5398014556155248,-0.5722883174730591,51,9.803921568627452,-177.03086601307191,-4.259006321828713
PHP,-0.5232623272585648,-0.5937250355440673,24,25.0,-0.10913756944444446,-4.176465688356126
SGD,-0.4703612267750941,-0.5860795084541675,57,35.08771929824561,-0.9698538011695906,-3.20196864328106
THB,-0.5420576471457825,-0.6045698178206197,48,45.83333333333333,-0.5734895833333333,-0.9725999732699797
TWD,-0.5733371643941957,-0.6288619077878826,54,40.74074074074074,-0.01637654320987654,-1.548741898268912
BRL,-0.5664578811344008,-0.6747722093377743,52,19.230769230769234,-20.244519230769242,-4.986158724656211
MXN,-0.46840625566000416,-0.6316816501492273,43,11.627906976744185,-78.32023255813952,-5.320480856435426
CLP,-0.4383227372055044,-0.508946073191439,46,30.434782608695656,-0.31791666666666674,-3.18112999921971
PLN,-0.42791721242069786,-0.45932314934918805,40,25.0,-11.185187500000001,-2.154176755963381
HUF,-0.5275050367958044,-0.5553382762869316,37,21.62162162162162,-12.8806081081081,-4.1127982582566736
