pillar,signal,n_weeks,mean_IC,t_NW,hit_rate,IC_usd_up,IC_usd_dn,IC_riskoff,IC_riskon,IC_pmi_dn,IC_pmi_up
Fundamental,carry_to_realvol,706,-0.0058,-0.36,0.49,0.0105,-0.0261,0.0335,-0.0155,0.0024,-0.0095
Fundamental,implied_slope_12m_1m,706,-0.0288,-1.91,0.45,-0.0194,-0.0404,-0.0223,-0.0304,0.0049,-0.0437
Fundamental,esi_chg_4w,706,0.0236,1.77,0.53,0.0006,0.0521,0.0235,0.0236,0.0164,0.0267
Fundamental,cds_chg_4w_neg,696,0.027,1.39,0.5,0.0288,0.0247,0.0004,0.0336,0.0162,0.0318
Fundamental,ca_yoy,704,0.0364,2.56,0.52,0.0494,0.0204,-0.014,0.0488,-0.0209,0.0618
Fundamental,value_eps,706,-0.0261,-1.59,0.45,-0.005,-0.0522,0.0348,-0.041,-0.0446,-0.0179
Fundamental,reer_gap_neg,706,-0.0077,-0.55,0.48,-0.012,-0.0025,0.0641,-0.0254,0.0167,-0.0185
Fundamental,govt_slope_diff_10y2y,706,0.0025,0.17,0.49,0.0153,-0.0133,0.0242,-0.0028,0.0093,-0.0005
Fundamental,ydiff_2y_vs_us,706,-0.0254,-1.7,0.47,-0.0257,-0.0251,0.0364,-0.0406,0.0136,-0.0426
Fundamental,ydiff_10y_vs_us,706,-0.0282,-1.83,0.46,-0.0287,-0.0276,0.041,-0.0452,0.0078,-0.044
Fundamental,ctot_chg_13w,706,-0.0008,-0.06,0.51,0.0054,-0.0086,-0.007,0.0007,-0.036,0.0147
Fundamental,commodity_signature,578,-0.0042,-0.26,0.48,0.004,-0.0151,-0.018,0.0001,-0.033,0.013
Fundamental,curvature_diff_vs_us,706,-0.0061,-0.41,0.46,0.0037,-0.0182,0.0326,-0.0156,0.0076,-0.0121
Momentum,spot_mom_12w,706,0.0183,1.13,0.52,0.0004,0.0406,-0.0733,0.0408,-0.008,0.0299
Momentum,equity_mom_12w,706,-0.0061,-0.42,0.49,-0.0063,-0.0058,-0.0326,0.0004,-0.0482,0.0125
Technical,bollinger_walkfwd,464,0.0047,0.32,0.5,0.0082,0.0011,0.0437,-0.0019,0.0282,-0.008
Technical,skew_26w,706,-0.0163,-1.27,0.47,-0.0154,-0.0175,-0.0439,-0.0096,-0.008,-0.02
Momentum,pi_position_rm,654,0.0138,0.98,0.51,0.0329,-0.0102,0.0127,0.0141,-0.0005,0.0208
Momentum,pi_flow_z,654,0.0099,0.7,0.5,0.0311,-0.0168,0.013,0.0091,-0.0133,0.0213
Sentiment,rr_z_neg,706,0.0306,2.23,0.53,0.0323,0.0285,0.0387,0.0286,0.0172,0.0365
