signal,ic,t,n
carry/realvol (core),0.07265181777204407,6.432096806293349,707
real_carry_1m (new),0.05593136757116735,4.9682615531228675,700
real_yield_12m (new),0.04545110208824511,3.9828540934745953,700
ca_yoy,0.01919901968938464,1.7971700594582916,648
esi_chg_4w,0.02585617691103364,2.4592954145756565,703
cds_chg_4w (neg),,,0
ctot_chg_13w,0.0023429957059944734,0.20428543831940602,694
mom_4w (new),-0.010268933345856426,-0.7905914646787373,702
mom_12w (old),0.005941033030370208,0.4608766075833972,694
equity_mom_12w,-0.009427609427609429,-0.6795829037029019,693
fwdpts_chg_4w,0.018937328051108045,1.6812948978448068,703
"rr25_z (sent, neg)",-0.011947199142321091,-1.0306651244789606,656
vrp = impl - real,0.021794612742278938,1.8300267745596908,707
pi_realmoney,0.019098732204123597,1.8206955801205913,655
pi_lv_minus_rm,,,0
