,0
2015-01-31,MA cross
2015-02-28,MA cross
2015-03-31,MA cross
2015-04-30,MA cross
2015-05-31,MA cross
2015-06-30,MA cross
2015-07-31,LIVE composite
2015-08-31,MA cross
2015-09-30,MA cross
2015-10-31,MA cross
2015-11-30,MA cross
2015-12-31,LIVE composite
2016-01-31,LIVE composite
2016-02-29,LIVE composite
2016-03-31,STFV fade
2016-04-30,LIVE composite
2016-05-31,ESI only
2016-06-30,ESI only
2016-07-31,ESI only
2016-08-31,LIVE composite
2016-09-30,LIVE composite
2016-10-31,LIVE composite
2016-11-30,carry/vol only
2016-12-31,carry/vol only
2017-01-31,carry/vol only
2017-02-28,carry/vol only
2017-03-31,carry/vol only
2017-04-30,carry/vol only
2017-05-31,carry/vol only
2017-06-30,carry/vol only
2017-07-31,STFV fade
2017-08-31,STFV fade
2017-09-30,LIVE composite
2017-10-31,ESI only
2017-11-30,ESI only
2017-12-31,ESI only
2018-01-31,ESI only
2018-02-28,ESI only
2018-03-31,ESI only
2018-04-30,ESI only
2018-05-31,ESI only
2018-06-30,LIVE composite
2018-07-31,LIVE composite
2018-08-31,LIVE composite
2018-09-30,STFV fade
2018-10-31,STFV fade
2018-11-30,STFV fade
2018-12-31,STFV fade
2019-01-31,LIVE composite
2019-02-28,carry/vol only
2019-03-31,carry/vol only
2019-04-30,carry/vol only
2019-05-31,carry/vol only
2019-06-30,carry/vol only
2019-07-31,carry/vol only
2019-08-31,carry/vol only
2019-09-30,carry/vol only
2019-10-31,LIVE composite
2019-11-30,MA cross
2019-12-31,LIVE composite
2020-01-31,LIVE composite
2020-02-29,MA cross
2020-03-31,MA cross
2020-04-30,MA cross
2020-05-31,MA cross
2020-06-30,MA cross
2020-07-31,ESI only
2020-08-31,MA cross
2020-09-30,ESI only
2020-10-31,ESI only
2020-11-30,ESI only
2020-12-31,ESI only
2021-01-31,ESI only
2021-02-28,ESI only
2021-03-31,carry/vol only
2021-04-30,carry/vol only
2021-05-31,carry/vol only
2021-06-30,carry/vol only
2021-07-31,carry/vol only
2021-08-31,carry/vol only
2021-09-30,carry/vol only
2021-10-31,carry/vol only
2021-11-30,carry/vol only
2021-12-31,carry/vol only
2022-01-31,carry/vol only
2022-02-28,LIVE composite
2022-03-31,LIVE composite
2022-04-30,LIVE composite
2022-05-31,LIVE composite
2022-06-30,LIVE composite
2022-07-31,LIVE composite
2022-08-31,carry/vol only
2022-09-30,carry/vol only
2022-10-31,carry/vol only
2022-11-30,carry/vol only
2022-12-31,carry/vol only
2023-01-31,LIVE composite
2023-02-28,carry/vol only
2023-03-31,carry/vol only
2023-04-30,carry/vol only
2023-05-31,carry/vol only
2023-06-30,carry/vol only
2023-07-31,carry/vol only
2023-08-31,carry/vol only
2023-09-30,carry/vol only
2023-10-31,carry/vol only
2023-11-30,carry/vol only
2023-12-31,carry/vol only
2024-01-31,LIVE composite
2024-02-29,LIVE composite
2024-03-31,LIVE composite
2024-04-30,MA cross
2024-05-31,MA cross
2024-06-30,MA cross
2024-07-31,MA cross
2024-08-31,MA cross
2024-09-30,MA cross
2024-10-31,ML ridge
2024-11-30,MA cross
2024-12-31,MA cross
2025-01-31,ML ridge
2025-02-28,STFV fade
2025-03-31,ML ridge
2025-04-30,TSMOM 12w
2025-05-31,STFV fade
2025-06-30,TSMOM 12w
2025-07-31,TSMOM 12w
2025-08-31,LIVE composite
2025-09-30,LIVE composite
2025-10-31,LIVE composite
2025-11-30,LIVE composite
2025-12-31,TSMOM 12w
2026-01-31,TSMOM 12w
2026-02-28,TSMOM 12w
2026-03-31,TSMOM 12w
2026-04-30,MA cross
2026-05-31,MA cross
2026-06-30,TSMOM 12w
