,f1,f2,f3
USDEUR,0.20552560884415197,0.18229997135633125,0.026644250210031074
USDJPY,0.19997472931659338,-0.09687456980163406,-0.22019462964183667
USDGBP,0.1998665852174624,0.05484420255511968,0.15298253049815566
USDCHF,-0.04145975293587012,0.4737331495510477,0.21548137251408367
USDCAD,0.21496522943020888,0.04024594023893005,0.04834920204594598
USDAUD,0.2184684241219838,0.030212217881034297,0.022272066893274396
USDNZD,0.20406384118056262,-0.035157578410720376,-0.14249670576754886
USDHKD,0.11652791016465841,-0.10281402921248271,0.013987865760424226
USDSGD,0.13404156485942595,0.36397269262956616,0.1699115303920954
USDINR,0.20861745698637707,-0.1430548229336414,-0.0004585203670895798
USDKRW,0.16810703634494148,-0.16561750636552586,-0.3496534289017128
USDSEK,0.21891757738063353,0.0386494183548263,-0.009167794797748862
USDMXN,0.19442770807189702,0.04071048423464833,0.3288136979861556
USDNOK,0.22229841247865958,-0.013431545632449499,0.003207263889889871
USDTWD,0.07926757045174086,0.2511918797857697,-0.5782721936964021
USDBRL,0.21267741534634402,-0.09564115666339265,0.1375746135910836
USDZAR,0.21601071296147029,-0.03380262438751255,0.04769194614608002
USDPLN,0.20359772524925554,0.1344676050584102,0.13017065511863873
USDDKK,0.20596110034010623,0.17972989394545058,0.021883887885745176
USDIDR,0.2127087692439463,-0.07317343613980998,0.05215683035315915
USDTRY,0.19649712328333468,-0.23833326331755245,-0.12411594741012544
USDTHB,0.1414712742048265,0.23937706270644787,-0.26606998662611286
USDILS,-0.05727421141496097,0.41266622498360583,-0.3276761149491909
USDHUF,0.21771133750566402,-0.026097475489886734,-0.004221875549951186
USDCZK,0.1713644339921165,0.29677434890739335,0.08681859608526625
USDCLP,0.216671169995133,-0.09886686870656801,-0.03513992009218512
USDPHP,0.20463779380216365,-0.13052149169054764,-0.09468339803517341
USDCOP,0.21741020066396888,-0.053105497454239196,0.10594842473634153
