,full,full,full,full,roll104,roll104,roll104,roll104
,PC1,PC2,PC3,idio,PC1,PC2,PC3,idio
CNH,0.35957422143731993,0.21359546869031124,0.0009978428336693342,0.4258324670386995,0.610492502641347,0.0002204222094771703,0.019049177231856947,0.37023789791731887
IDR,0.48923872759830267,0.0048252499544004625,0.12896091040601335,0.37697511204128353,0.4992242564558965,0.020784063886504986,0.05004428726324498,0.42994739239435353
INR,0.30260381490135163,1.9582143131159726e-05,0.09847853477723174,0.5988980681782855,0.22825417297039965,0.7216538893259391,0.044845865390051066,0.005246072313610184
KRW,0.6413566416628559,0.08302140721560136,0.0015782943234490011,0.2740436567980937,0.6062289191135614,0.0308877404080709,0.06018988370689175,0.3026934567714761
PHP,0.33318377911169195,0.0012545961769595548,0.06438174113494159,0.6011798835764068,0.49946325663667673,3.6438869575203266e-05,1.0374556631056292e-05,0.500489929937117
SGD,0.7615014410997181,0.01876337045621164,0.029420577541114153,0.1903146109029561,0.8631216964541822,0.02341350297409734,0.018908624804743274,0.09455617576697706
THB,0.5462221262514083,0.021656858106156012,0.004797072915946367,0.4273239427264893,0.6597213584846947,0.0365812920895831,0.0085953694487945,0.2951019799769278
TWD,0.509438735633091,0.17412033076094316,0.000388901518499127,0.3160520320874667,0.4140441506280352,0.057798994484880774,0.20060516611584897,0.3275516887712351
BRL,0.31820000709283697,0.23546272332161772,0.043760776921253346,0.40257649266429196,0.20421816311877117,0.000855703520922977,0.29701833145204753,0.49790780190825834
MXN,0.4077645016550684,0.22116839385287101,0.019361063144602914,0.35170604134745764,0.3111440371535583,0.020576784330297127,0.3628525810781166,0.3054265974380279
CLP,0.4500962356313457,0.06303356421622137,0.0025326786466595614,0.48433752150577336,0.5242822644832799,4.2538898799481834e-05,0.1840331806461833,0.29164201597173744
PLN,0.5619972740842555,0.029013116458899875,0.2909660379316424,0.11802357152520226,0.71575843164133,0.0038729015648667157,0.03314059489005837,0.24722807190374485
HUF,0.5021052639714007,0.050359639126302695,0.32180450098982477,0.12573059591247193,0.6985922362741656,3.957026197317827e-05,0.11008597647553375,0.19128221698832748
