d,ret_bp,n
2020-06-01,9.272001831735986,6
2020-06-29,17.845931054180777,3
2020-12-15,2.9396675400034322,4
2021-07-27,-4.41099500095597,3
2021-09-21,-2.034519378853148,3
2021-10-19,-3.070969915765694,5
2021-11-16,-4.2797475744229345,3
2022-01-11,2.8644595158659163,4
2022-02-08,5.201069637626446,5
2022-03-08,5.650424118542996,5
2022-04-05,6.306220392871229,3
2022-05-03,13.609873037065306,3
2022-05-31,-2.0434863374120553,5
2022-06-28,2.0233238809666143,4
2022-09-20,-0.334566116853107,4
2022-10-18,3.3534337051236824,4
2022-11-15,-5.642789621505087,4
2023-02-07,5.146359709613347,5
2023-03-07,4.494623076402181,4
2023-12-12,6.003262986458789,4
2024-01-09,5.14249903634266,4
2024-09-17,-1.4889455990487377,6
2024-11-12,2.8302538452874186,5
2024-12-10,7.330153910744697,7
2025-01-07,6.089156508724142,6
2025-02-04,3.9425833723547954,5
2025-03-04,3.8054948914855755,4
2025-04-01,8.729561800319061,4
2025-04-29,0.07535330941360008,4
2025-05-27,-1.3809624115238102,3
2025-12-09,3.098020047703539,6
2026-01-06,6.324884551831386,5
2026-02-03,7.543623394203987,6
2026-03-03,-3.378173730098403,8
2026-03-31,13.383969824190842,5
2026-04-28,-0.4622522407034795,8
2026-05-26,2.8311460836854874,6
2026-06-23,1.067600370249514,4
