ccy,n,hit,mean_bp,t
CNH,24,58.333333333333336,0.8304328637293006,0.5629969556544212
IDR,17,76.47058823529412,7.608787762365025,2.6942131437347236
INR,21,52.38095238095239,3.9447791411259576,0.6966750269130875
KRW,19,52.63157894736842,1.1139278816286615,1.1566669503594718
PHP,15,46.666666666666664,10.663209452465443,1.454431972036333
THB,21,66.66666666666666,4.810344815445741,2.074574303631281
TWD,21,38.095238095238095,-1.7549981871066114,-0.37095973870889737
BRL,29,75.86206896551724,6.072272302624262,3.2785400468345913
MXN,23,65.21739130434783,2.1546608210164715,2.3061170989859487
CLP,20,75.0,4.45647996428491,2.2584613122605104
PLN,18,44.44444444444444,-1.07437297982014,-0.4380351683937335
HUF,22,86.36363636363636,3.070031189502012,4.61782127993779
