ccy,z,action,weight,weeks_held,basis_ann_pips,tenor,gate
CNH,-1.13,空 SHORT,-65.6%,79.0,-50.0,1M (core),READY
IDR,0.34,—,,,-10.0,,READY
INR,0.76,多 LONG,+50.0%,13.0,3.0,1M (core),READY
KRW,-0.23,—,,,2.0,,READY
MYR,0.33,—,,,62.0,,READY
PHP,1.1,多 LONG,+43.6%,1.0,0.0,1W (new),READY
SGD,-1.82,空 SHORT,-43.4%,4.0,-0.0,1M (core),READY
THB,-0.12,—,,,56.0,,READY
TWD,-1.54,空 SHORT,-28.7%,2.0,-1.0,1W (new),READY
BRL,0.96,多 LONG,+26.4%,82.0,-198.0,1M (core),READY
MXN,1.49,多 LONG,+36.5%,8.0,-39.0,1M (core),READY
CLP,0.05,—,,,1.0,,READY
PLN,-0.72,空 SHORT,-18.8%,3.0,22.0,1M (basis),READY
HUF,0.53,—,,,-32.0,,READY
