date,INR,KRW,MYR,IDR,PHP,BRL,PLN
2013-01-04,215.0,59.969,69.5208,,97.0724,101.905,75.5355
2013-01-11,195.0,66.791,79.8128,,99.0175,112.638,78.6217
2013-01-18,195.0,66.2744,83.2052,,100.986,108.573,83.8145
2013-01-25,195.0,66.1428,85.9168,,99.6532,107.163,83.5537
2013-02-01,204.0,72.1948,94.3639,,104.518,117.119,89.3991
2013-02-08,204.0,66.9794,90.3976,,102.619,118.0,91.1163
2013-02-15,204.0,65.5,87.0,,102.0,121.732,91.4993
2013-02-22,201.0,66.5,78.0,,100.0,127.284,95.0
2013-03-01,200.0,66.0,76.0,,98.0,135.88,96.0
2013-03-08,195.0,62.0,72.0,,93.0,123.246,89.3179
2013-03-15,195.0,66.0,76.0,,96.0,131.338,89.0
2013-03-22,200.0,74.0,85.0,,106.0,141.493,92.0
2013-03-29,200.0,77.0,88.0,,108.0,137.43,91.0
2013-04-05,200.0,85.0,89.0,,108.0,131.357,89.0
2013-04-12,200.0,81.0,82.0,,97.0,114.158,86.0
2013-04-19,,75.0,84.0,,99.0,121.235,83.0
2013-04-26,,72.5,83.0,,93.0,114.66,80.0
2013-05-03,202.0,72.0,84.0,,86.0,106.064,78.0
2013-05-10,202.0,68.0,74.0,,82.0,113.139,73.7727
2013-05-17,184.0,70.0,78.0,,84.5,127.287,77.6829
2013-05-24,184.0,73.0,81.0,,93.0,135.366,77.0919
2013-05-31,178.0,76.0,88.0,,100.0,147.483,75.0
2013-06-07,178.0,83.0,96.0,,110.0,160.623,79.0
2013-06-14,220.0,84.0,100.0,,108.0,152.508,80.0
2013-06-21,260.0,99.0,123.0,,132.0,211.251,85.0
2013-06-28,260.0,87.0,120.0,,123.0,186.04,100.0
2013-07-05,265.0,88.0,125.0,,130.0,213.4,95.0
2013-07-12,245.0,81.0,115.0,,121.0,184.021,91.6256
2013-07-19,245.0,79.0,101.0,,109.0,168.854,87.0
2013-07-26,245.0,84.0,106.0,,109.0,183.963,92.0
2013-08-02,245.0,83.0,123.0,,121.0,181.023,94.0
2013-08-09,,81.0,121.0,,120.0,187.177,84.0
2013-08-16,273.0,80.0,121.0,,122.0,208.486,84.8952
2013-08-23,375.0,85.0,153.0,,147.0,197.325,87.0
2013-08-30,353.0,83.0,152.0,,148.0,211.501,93.0
2013-09-06,353.0,72.0,135.0,,134.0,195.329,92.0
2013-09-13,353.0,75.0,126.0,,126.0,173.002,90.0
2013-09-20,319.0,72.0,104.0,,110.0,160.884,87.0
2013-09-27,305.0,73.0,120.0,,110.0,177.1,86.8191
2013-10-04,305.0,75.0,130.0,,115.0,165.962,87.1711
2013-10-11,305.0,67.0,120.0,,105.0,148.696,84.0
2013-10-18,301.0,63.0,110.0,,97.0,151.758,79.0
2013-10-25,301.0,62.0,106.0,,91.0,160.881,83.9607
2013-11-01,300.0,60.0,103.0,,92.0,187.324,83.0
2013-11-08,300.0,60.0,110.0,,100.0,206.599,84.0
2013-11-15,310.0,61.0,111.0,,104.0,192.497,85.6991
2013-11-22,310.0,57.0,102.0,,103.0,197.58,84.8986
2013-11-29,320.0,56.0,104.0,,107.0,206.744,81.0
2013-12-06,320.0,59.0,104.0,,112.0,194.573,81.4522
2013-12-13,295.0,57.0,100.0,,105.0,179.0,80.9064
2013-12-20,295.0,57.0,100.0,,108.0,187.0,81.0
2013-12-27,295.0,63.0,103.0,,110.0,193.0,79.7768
2014-01-03,290.0,68.0,115.0,,115.0,188.0,80.0
2014-01-10,290.0,67.0,112.0,,112.0,194.0,75.0
2014-01-17,290.0,68.0,113.0,,110.283,198.0,75.1788
2014-01-24,,70.0,120.0,,125.0,211.0,76.4677
