date,SGD_NEER_MID,SGD_NEER_UPPER,SGD_NEER_LOWER,CNY_FIX,BBG_CNY_FIX,CFETS_RMB_INDEX,THAI_TOURISM_EQ,THAI_TOURIST_ARRIVALS,KOSPI_FOREIGN_NET,KOSPI_FINANCIAL_NET,KOSPI_KOSDAQ_FOREIGN,INDIA_OIL_IMPORTS
2013-01-04,118.07,120.43,115.71,,,,433.51,,,,,
2013-01-11,118.11,120.48,115.75,6.2897,,,448.0,,56092.03,115301.27,80.75,
2013-01-18,118.16,120.52,115.79,6.2712,,,436.68,,-8970.63,-102964.17,-12.31,
2013-01-25,118.2,120.57,115.84,6.2752,,,447.29,,30848.93,5727.5,42.14,
2013-02-01,118.25,120.61,115.88,6.2805,,,479.54,2318447.0,-488977.66,116177.42,-453.52,
2013-02-08,118.29,120.66,115.93,6.2819,,,504.71,2318447.0,-29709.8,-30713.58,-29.62,
2013-02-15,118.34,120.7,115.97,6.2793,,,528.26,2318447.0,54732.68,-16195.59,72.48,
2013-02-22,118.38,120.75,116.01,6.2793,,,537.45,,-2133.74,83216.72,11.16,
2013-03-01,118.43,120.8,116.06,6.2871,,,552.26,2367257.0,25628.01,237132.05,64.81,
2013-03-08,118.47,120.84,116.1,6.2798,,,565.7,2367257.0,201966.44,241856.58,200.36,
2013-03-15,118.52,120.89,116.15,6.2719,,,587.23,2367257.0,-4205.8,42857.03,42.52,
2013-03-22,118.56,120.93,116.19,6.2723,,,539.3,,-569687.25,-16607.0,-504.51,
2013-03-29,118.61,120.98,116.24,6.2711,,,564.51,,-330248.94,-9267.17,-276.96,
2013-04-05,118.65,121.03,116.28,6.2689,,,515.61,2322200.0,135277.2,-4085.77,127.61,
2013-04-12,118.7,121.07,116.32,6.2609,,,518.76,2322200.0,-680362.06,192440.16,-622.71,
2013-04-19,118.74,121.12,116.37,6.2506,,,550.62,2322200.0,-41816.52,18466.92,-53.79,
2013-04-26,118.79,121.16,116.41,6.2395,,,579.95,,-233789.7,43864.06,-228.74,
2013-05-03,118.83,121.21,116.46,6.2208,,,563.29,2057855.0,-124793.35,11313.33,-59.04,
2013-05-10,118.88,121.25,116.5,6.2152,,,577.07,2057855.0,-37476.16,-12722.69,-5.87,
2013-05-17,118.92,121.3,116.54,6.2016,,,564.31,2057855.0,-158783.45,11433.56,-151.64,
2013-05-24,118.97,121.35,116.59,6.1997,,,566.42,,304697.03,7723.61,291.7,
2013-05-31,119.01,121.39,116.63,6.1867,,,549.7,1943968.0,-85228.48,-26652.98,-53.65,
2013-06-07,119.06,121.44,116.68,6.1796,,,533.07,1943968.0,186744.48,-2489.33,161.11,
2013-06-14,119.1,121.49,116.72,6.162,,,501.04,1943968.0,-928132.06,113275.45,-842.4,
2013-06-21,119.15,121.53,116.77,6.1607,,,469.88,,-370579.28,46271.69,-354.25,
2013-06-28,119.19,121.58,116.81,6.1766,,,496.13,,-800935.69,114568.22,-692.5,
2013-07-05,119.24,121.62,116.85,6.1787,,,495.09,2061782.0,490845.78,-67789.88,414.29,
2013-07-12,119.28,121.67,116.9,6.179,,,475.91,2061782.0,-143770.45,20675.17,-141.73,
2013-07-19,119.33,121.72,116.94,6.1631,,,494.18,2061782.0,140782.19,23691.8,141.09,
2013-07-26,119.37,121.76,116.99,6.1751,,,489.64,,-107157.62,-4487.47,-107.15,
2013-08-02,119.42,121.81,117.03,6.172,,,479.66,2149173.0,208417.17,-6216.33,208.19,
2013-08-09,119.47,121.85,117.08,6.1817,,,502.91,2149173.0,78115.3,-67677.06,85.35,
2013-08-16,119.51,121.9,117.12,6.1668,,,501.51,2149173.0,-50774.59,-31328.83,-52.27,
2013-08-23,119.56,121.95,117.16,6.1666,,,470.32,,218030.78,-14024.69,230.83,
2013-08-30,119.6,121.99,117.21,6.171,,,435.02,,117986.31,-164331.94,153.59,
2013-09-06,119.65,122.04,117.25,6.1709,,,462.05,2355660.0,505421.88,-63332.84,402.38,
2013-09-13,119.69,122.09,117.3,6.1728,,,521.1,2355660.0,499146.03,-28921.05,454.91,
2013-09-20,119.74,122.13,117.34,6.1578,,,543.35,2355660.0,412070.13,87174.42,403.93,
2013-09-27,119.78,122.18,117.39,6.1557,,,540.46,,391257.28,-77201.78,381.92,
2013-10-04,119.83,122.22,117.43,6.1495,,,562.29,1995343.0,222656.39,15287.59,234.25,
2013-10-11,119.87,122.27,117.48,6.148,,,575.62,1995343.0,421403.63,-140508.28,438.94,
2013-10-18,119.92,122.32,117.52,6.1458,,,588.94,1995343.0,280162.81,32555.05,317.54,
2013-10-25,119.96,122.36,117.57,6.1372,,,562.16,,306894.69,40575.94,348.59,
2013-11-01,120.01,122.41,117.61,6.1333,,,550.45,2054548.0,11667.1,-26187.27,3.53,
2013-11-08,120.06,122.46,117.65,6.1452,,,543.26,2054548.0,172558.16,-61890.91,169.18,
2013-11-15,120.1,122.5,117.7,6.1355,,,549.63,2054548.0,-269802.84,-71669.59,-241.86,
2013-11-22,120.15,122.55,117.74,6.1351,,,517.69,,58462.16,-48537.59,37.75,
2013-11-29,120.19,122.6,117.79,6.138,,,518.1,,-26138.75,-12214.61,-8.19,
2013-12-06,120.24,122.64,117.83,6.1325,,,508.81,2378112.0,90316.28,59488.77,86.64,
2013-12-13,120.28,122.69,117.88,6.1232,,,485.09,2378112.0,-81350.1,-12816.36,-67.26,
2013-12-20,120.33,122.74,117.92,6.1148,,,483.19,2378112.0,-270451.13,69808.29,-257.52,
2013-12-27,120.37,122.78,117.97,6.1196,,,433.61,,-16210.86,106578.03,18.91,
2014-01-03,120.42,122.83,118.01,6.105,,,413.05,2542380.0,70113.67,-66149.2,100.7,
2014-01-10,120.47,122.88,118.06,6.1039,,,414.06,2542380.0,-309109.63,-242449.42,-266.95,
2014-01-17,120.51,122.92,118.1,6.1008,,,446.69,2542380.0,-58069.25,-256374.98,-57.82,
2014-01-24,120.56,122.97,118.15,6.1041,,,433.22,,-95677.45,271.57,-75.58,
2014-01-31,120.6,123.02,118.19,6.1035,,,433.35,2282568.0,-145130.63,105159.39,-88.77,
2014-02-07,120.65,123.06,118.24,6.105,,,460.84,2282568.0,21288.72,26332.3,32.86,
2014-02-14,120.7,123.11,118.28,6.1089,,,473.19,2282568.0,161824.28,-41567.11,169.62,
2014-02-21,120.74,123.16,118.33,6.107,,,462.7,,2570.78,-66429.68,8.17,
2014-02-28,120.79,123.2,118.37,6.1176,,,472.16,2075304.0,315470.09,-53167.14,312.71,
2014-03-07,120.83,123.25,118.42,6.1214,,,487.8,2075304.0,233814.84,-91670.66,248.23,
2014-03-14,120.88,123.3,118.46,6.1201,,,516.16,2075304.0,200010.92,-27789.8,211.85,
2014-03-21,120.92,123.34,118.51,6.1346,,,477.28,,-476413.34,23452.78,-463.43,
2014-03-28,120.97,123.39,118.55,6.1475,,,476.27,,-66880.1,-43791.09,-42.68,
2014-04-04,121.02,123.44,118.6,6.149,,,486.78,2018008.0,233576.64,-40023.5,211.59,
2014-04-11,121.06,123.48,118.64,6.1557,,,478.4,2018008.0,114031.24,39287.48,134.39,
2014-04-18,121.11,123.53,118.69,6.1495,,,484.5,2018008.0,118996.05,-133400.19,110.66,
2014-04-25,121.15,123.58,118.73,6.1586,,,490.41,,116458.36,86438.77,168.09,
2014-05-02,121.2,123.62,118.78,6.1576,,,491.86,1934841.0,36583.16,-16589.86,29.51,
2014-05-09,121.25,123.67,118.82,6.158,,,475.36,1934841.0,-151580.27,-87293.38,-164.95,
2014-05-16,121.29,123.72,118.87,6.1581,,,492.98,1934841.0,-56838.15,-19813.41,-65.76,
2014-05-23,121.34,123.76,118.91,6.1628,,,505.84,,480137.34,-66968.92,458.03,
2014-05-30,121.38,123.81,118.96,6.1681,,,503.68,,132091.16,89799.55,150.43,
