date,BRL,MXN,CLP,HUF,JPY,EUR,CAD,CNH,KRW,INR,IDR,PHP,THB,TWD,SGD,MYR,US
2013-02-01,6.15,3.25,1.59,3.7,-0.3,2.0,0.5,2.0,1.6,9.99,3.84,2.8,3.38,1.11,3.6,1.3,1.6
2013-02-08,6.15,3.25,1.59,3.7,-0.3,2.0,0.5,2.0,1.6,9.99,3.84,2.8,3.38,1.11,3.6,1.3,1.6
2013-02-15,6.15,3.25,1.59,3.7,-0.3,2.0,0.5,2.0,1.6,9.99,3.84,2.8,3.38,1.11,3.6,1.3,1.6
2013-02-22,6.15,3.25,1.59,3.7,-0.3,2.0,0.5,2.0,1.6,9.99,3.84,2.8,3.38,1.11,3.6,1.3,1.6
2013-03-01,6.31,3.55,1.31,2.8,-0.7,1.9,1.2,3.2,1.6,10.26,4.6,2.9,3.23,2.96,4.9,1.5,2.0
2013-03-08,6.31,3.55,1.31,2.8,-0.7,1.9,1.2,3.2,1.6,10.26,4.6,2.9,3.23,2.96,4.9,1.5,2.0
2013-03-15,6.31,3.55,1.31,2.8,-0.7,1.9,1.2,3.2,1.6,10.26,4.6,2.9,3.23,2.96,4.9,1.5,2.0
2013-03-22,6.31,3.55,1.31,2.8,-0.7,1.9,1.2,3.2,1.6,10.26,4.6,2.9,3.23,2.96,4.9,1.5,2.0
2013-03-29,6.31,3.55,1.31,2.8,-0.7,1.9,1.2,3.2,1.6,10.26,4.6,2.9,3.23,2.96,4.9,1.5,2.0
2013-04-05,6.59,4.25,1.53,2.2,-0.9,1.7,1.0,2.1,1.5,9.44,5.02,2.7,2.69,1.35,3.5,1.6,1.5
2013-04-12,6.59,4.25,1.53,2.2,-0.9,1.7,1.0,2.1,1.5,9.44,5.02,2.7,2.69,1.35,3.5,1.6,1.5
2013-04-19,6.59,4.25,1.53,2.2,-0.9,1.7,1.0,2.1,1.5,9.44,5.02,2.7,2.69,1.35,3.5,1.6,1.5
2013-04-26,6.59,4.25,1.53,2.2,-0.9,1.7,1.0,2.1,1.5,9.44,5.02,2.7,2.69,1.35,3.5,1.6,1.5
2013-05-03,6.49,4.65,1.0,1.7,-0.7,1.2,0.4,2.4,1.3,8.49,4.86,2.2,2.42,1.05,1.5,1.7,1.1
2013-05-10,6.49,4.65,1.0,1.7,-0.7,1.2,0.4,2.4,1.3,8.49,4.86,2.2,2.42,1.05,1.5,1.7,1.1
2013-05-17,6.49,4.65,1.0,1.7,-0.7,1.2,0.4,2.4,1.3,8.49,4.86,2.2,2.42,1.05,1.5,1.7,1.1
2013-05-24,6.49,4.65,1.0,1.7,-0.7,1.2,0.4,2.4,1.3,8.49,4.86,2.2,2.42,1.05,1.5,1.7,1.1
2013-05-31,6.5,4.63,0.95,1.8,-0.3,1.4,0.7,2.1,1.1,8.42,4.9,2.3,2.27,0.73,1.6,1.8,1.4
2013-06-07,6.5,4.63,0.95,1.8,-0.3,1.4,0.7,2.1,1.1,8.42,4.9,2.3,2.27,0.73,1.6,1.8,1.4
2013-06-14,6.5,4.63,0.95,1.8,-0.3,1.4,0.7,2.1,1.1,8.42,4.9,2.3,2.27,0.73,1.6,1.8,1.4
2013-06-21,6.5,4.63,0.95,1.8,-0.3,1.4,0.7,2.1,1.1,8.42,4.9,2.3,2.27,0.73,1.6,1.8,1.4
2013-06-28,6.5,4.63,0.95,1.8,-0.3,1.4,0.7,2.1,1.1,8.42,4.9,2.3,2.27,0.73,1.6,1.8,1.4
2013-07-05,6.7,4.09,1.89,1.9,0.2,1.6,1.2,2.7,1.2,9.52,5.41,2.5,2.25,0.6,1.8,1.8,1.8
