date,USD,JPY,CAD,EUR,BRL,CLP,PLN,HUF,MXN,CNH,INR,IDR,MYR,PHP,SGD,KRW,THB,TWD
2013-01-04,-18.0,-33.07,10.23,-11.33,3.9,29.05,-9.47,-6.85,14.61,-23.45,-42.71,-8.31,-5.91,-22.79,-11.88,-33.57,-22.82,-20.07
2013-01-11,-17.95,-33.24,10.32,-11.37,4.27,28.82,-9.53,-6.83,14.61,-23.53,-42.91,-8.26,-5.91,-22.81,-11.86,-33.7,-22.88,-20.12
2013-01-18,-18.08,-33.86,10.7,-11.65,4.43,28.46,-9.78,-7.05,14.72,-24.01,-43.23,-8.36,-5.64,-23.2,-12.08,-34.25,-23.39,-20.05
2013-01-25,-18.11,-33.85,10.67,-11.63,4.27,27.88,-9.82,-7.03,14.58,-24.09,-42.51,-9.14,-5.8,-23.42,-12.19,-34.16,-23.33,-20.28
2013-02-01,-18.35,-34.23,11.0,-11.78,4.83,29.03,-10.02,-7.09,14.61,-24.77,-42.07,-10.09,-6.09,-24.06,-12.58,-34.45,-23.61,-20.75
2013-02-08,-18.35,-34.24,11.05,-11.76,4.07,28.91,-9.99,-7.16,14.41,-24.73,-41.43,-10.33,-6.09,-24.29,-12.64,-34.29,-23.27,-21.0
2013-02-15,-18.39,-34.12,11.01,-11.71,3.69,27.71,-10.1,-7.18,13.95,-24.67,-39.71,-11.76,-6.17,-24.52,-12.8,-33.95,-23.07,-20.86
2013-02-22,-17.93,-33.51,10.5,-11.49,3.87,25.07,-9.91,-7.1,13.49,-24.04,-38.87,-11.77,-5.81,-24.03,-12.46,-33.37,-22.78,-20.34
2013-03-01,-17.45,-32.98,10.25,-11.28,4.23,25.07,-9.66,-6.94,13.29,-23.67,-38.78,-11.92,-5.9,-23.44,-12.05,-33.05,-22.81,-19.9
2013-03-08,-17.61,-33.43,10.42,-11.47,4.43,24.98,-9.83,-7.18,13.27,-23.91,-38.77,-11.81,-5.54,-23.65,-12.2,-33.32,-22.91,-19.9
2013-03-15,-17.72,-33.89,10.72,-11.64,4.14,25.15,-9.96,-7.34,13.38,-23.96,-39.39,-11.78,-5.35,-23.6,-12.18,-33.78,-23.47,-19.68
