date,KRW,THB,INR,PHP,CNH,IDR,MYR,SGD,TWD,JPY,CAD,EUR,BRL,PLN,CLP,HUF,MXN
2013-02-01,31.0,-24.8,-193.5,-9.3,231.8,-2.8,29.0,29.7,28.9,-86.4,-13.3,87.0,12.0,-12.8,2.2,8.4,-2.6
2013-02-08,31.0,-24.8,-193.5,-9.3,231.8,-2.8,29.0,29.7,28.9,-86.4,-13.3,87.0,12.0,-12.8,2.2,8.4,-2.6
2013-02-15,31.0,-24.8,-193.5,-9.3,231.8,-2.8,29.0,29.7,28.9,-86.4,-13.3,87.0,12.0,-12.8,2.2,8.4,-2.6
2013-02-22,31.0,-24.8,-193.5,-9.3,231.8,-2.8,29.0,29.7,28.9,-86.4,-13.3,87.0,12.0,-12.8,2.2,8.4,-2.6
2013-03-01,31.6,-27.3,-192.7,-9.2,278.7,-3.9,28.2,27.2,26.8,-95.0,-14.0,102.0,9.1,-10.9,1.2,8.3,-3.0
2013-03-08,31.6,-27.3,-192.7,-9.2,278.7,-3.9,28.2,27.2,26.8,-95.0,-14.0,102.0,9.1,-10.9,1.2,8.3,-3.0
2013-03-15,31.6,-27.3,-192.7,-9.2,278.7,-3.9,28.2,27.2,26.8,-95.0,-14.0,102.0,9.1,-10.9,1.2,8.3,-3.0
2013-03-22,31.6,-27.3,-192.7,-9.2,278.7,-3.9,28.2,27.2,26.8,-95.0,-14.0,102.0,9.1,-10.9,1.2,8.3,-3.0
2013-03-29,31.6,-27.3,-192.7,-9.2,278.7,-3.9,28.2,27.2,26.8,-95.0,-14.0,102.0,9.1,-10.9,1.2,8.3,-3.0
2013-04-05,32.7,-23.2,-189.6,-8.4,272.6,-4.7,26.3,28.6,27.7,-97.8,-13.0,123.9,6.4,-10.7,0.7,8.4,-2.8
2013-04-12,32.7,-23.2,-189.6,-8.4,272.6,-4.7,26.3,28.6,27.7,-97.8,-13.0,123.9,6.4,-10.7,0.7,8.4,-2.8
2013-04-19,32.7,-23.2,-189.6,-8.4,272.6,-4.7,26.3,28.6,27.7,-97.8,-13.0,123.9,6.4,-10.7,0.7,8.4,-2.8
2013-04-26,32.7,-23.2,-189.6,-8.4,272.6,-4.7,26.3,28.6,27.7,-97.8,-13.0,123.9,6.4,-10.7,0.7,8.4,-2.8
2013-05-03,33.1,-24.5,-192.6,-8.9,272.4,-5.6,24.2,27.5,29.1,-100.4,-12.4,140.3,4.6,-9.0,0.3,8.8,-4.6
2013-05-10,33.1,-24.5,-192.6,-8.9,272.4,-5.6,24.2,27.5,29.1,-100.4,-12.4,140.3,4.6,-9.0,0.3,8.8,-4.6
2013-05-17,33.1,-24.5,-192.6,-8.9,272.4,-5.6,24.2,27.5,29.1,-100.4,-12.4,140.3,4.6,-9.0,0.3,8.8,-4.6
2013-05-24,33.1,-24.5,-192.6,-8.9,272.4,-5.6,24.2,27.5,29.1,-100.4,-12.4,140.3,4.6,-9.0,0.3,8.8,-4.6
2013-05-31,36.6,-25.0,-194.7,-8.6,274.9,-5.9,23.7,29.1,31.2,-98.8,-11.8,149.7,2.3,-7.7,0.8,8.5,-5.4
2013-06-07,36.6,-25.0,-194.7,-8.6,274.9,-5.9,23.7,29.1,31.2,-98.8,-11.8,149.7,2.3,-7.7,0.8,8.5,-5.4
2013-06-14,36.6,-25.0,-194.7,-8.6,274.9,-5.9,23.7,29.1,31.2,-98.8,-11.8,149.7,2.3,-7.7,0.8,8.5,-5.4
2013-06-21,36.6,-25.0,-194.7,-8.6,274.9,-5.9,23.7,29.1,31.2,-98.8,-11.8,149.7,2.3,-7.7,0.8,8.5,-5.4
2013-06-28,36.6,-25.0,-194.7,-8.6,274.9,-5.9,23.7,29.1,31.2,-98.8,-11.8,149.7,2.3,-7.7,0.8,8.5,-5.4
2013-07-05,37.4,-26.2,-194.7,-8.2,270.5,-5.5,22.2,31.0,31.8,-101.4,-9.9,157.7,2.2,-6.4,0.3,8.2,-5.1
2013-07-12,37.4,-26.2,-194.7,-8.2,270.5,-5.5,22.2,31.0,31.8,-101.4,-9.9,157.7,2.2,-6.4,0.3,8.2,-5.1
2013-07-19,37.4,-26.2,-194.7,-8.2,270.5,-5.5,22.2,31.0,31.8,-101.4,-9.9,157.7,2.2,-6.4,0.3,8.2,-5.1
2013-07-26,37.4,-26.2,-194.7,-8.2,270.5,-5.5,22.2,31.0,31.8,-101.4,-9.9,157.7,2.2,-6.4,0.3,8.2,-5.1
2013-08-02,37.1,-26.0,-189.8,-8.6,263.0,-7.6,21.9,30.3,34.2,-105.0,-8.5,162.8,-2.9,-5.8,0.6,8.3,-6.1
