date,CNH,INR,KRW,TWD,SGD,THB,MYR,IDR,PHP,JPY,CAD,EUR
2013-01-04,2524.41,,,,3225.22,1416.66,1692.58,4410.02,,10688.11,12540.81,2709.35
2013-01-11,2483.23,6016.15,2011.94,7805.99,3216.5,1412.06,1682.7,4305.912,6051.75,10688.11,12602.18,2717.79
2013-01-18,2595.44,5951.3,1996.67,7819.15,3211.22,1434.44,1676.44,4465.484,6139.21,10913.3,12725.69,2709.59
2013-01-25,2571.67,6064.4,1987.85,7732.87,3269.31,1461.41,1637.13,4437.598,6167.64,10926.65,12816.63,2744.18
2013-02-01,2743.32,6074.65,1946.69,7672.58,3291.14,1499.22,1627.55,4481.634,6318.61,11191.34,12768.83,2710.08
2013-02-08,2771.73,5998.9,1957.79,7855.97,3270.3,1497.3,1623.8,4491.267,6458.67,11153.16,12801.23,2630.3
2013-02-15,2771.73,5903.5,1950.9,7906.65,3283.07,1521.52,1627.93,4609.786,6521.64,11173.83,12686.63,2615.26
2013-02-22,2596.6,5887.4,1981.18,7906.65,3288.13,1540.13,1622.08,4651.123,6665.06,11385.94,12701.63,2630.05
2013-03-01,2668.84,5850.3,2018.89,7986.89,3269.5,1539.6,1637.44,4811.613,6642.27,11606.38,12773.12,2616.75
2013-03-08,2606.93,5719.7,2026.49,7964.63,3289.53,1566.92,1653.96,4874.495,6833.77,12283.62,12835.61,2728.78
2013-03-15,2539.87,5945.7,2006.01,8015.14,3286.05,1598.13,1627.64,4819.324,6654.6,12560.95,12830.03,2725.72
2013-03-22,2618.31,5872.6,1986.5,7927.49,3258.57,1478.97,1626.89,4723.159,6518.71,12338.53,12757.35,2681.67
2013-03-29,2495.08,5651.35,1948.71,7796.22,3308.1,1561.06,1671.63,4940.986,6847.47,12397.91,12749.9,2624.02
2013-04-05,2483.55,5682.55,2004.89,7918.61,3299.78,1489.53,1688.65,4926.068,6727.14,12833.64,12331.85,2585.28
2013-04-12,2462.11,5553.25,1927.23,7942.35,3294.19,1527.32,1698.53,4937.21,6891.43,13485.14,12337.59,2633.47
2013-04-19,2533.83,5528.55,1924.23,7821.63,3294.05,1545.46,1706.28,4998.461,6957.1,13316.48,12065.55,2575.16
2013-04-26,2447.31,5783.1,1906.75,7930.8,3348.87,1582.93,1711.29,4978.507,7025.44,13884.13,12220.2,2683.43
2013-05-03,2492.91,5871.45,1944.56,8022.06,3369.9,1578.95,1694.77,4925.483,7215.35,13694.04,12438.03,2763.68
2013-05-10,2540.84,5944.0,1965.71,8135.03,3443.77,1622.48,1772.38,5105.937,7262.38,14607.54,12589.09,2785.24
2013-05-17,2592.05,6107.25,1944.75,8280.26,3449.3,1627.96,1769.16,5145.683,7279.87,15138.12,12613.05,2817.99
2013-05-24,2597.23,6187.3,1986.81,8368.19,3393.17,1607.46,1773.06,5155.093,7268.91,14612.45,12667.22,2764.29
2013-05-31,2606.43,5983.55,1973.45,8209.78,3311.37,1562.07,1769.22,5068.628,7021.95,13774.54,12650.42,2769.64
2013-06-07,2484.16,5985.95,2001.05,8254.8,3184.72,1516.24,1775.59,4865.324,6701.95,12877.53,12373.3,2724.08
2013-06-14,2416.77,5881.0,1923.85,8095.2,3161.43,1465.27,1762.19,4760.744,6242.26,12686.52,12187.36,2667.32
2013-06-21,2317.39,5808.4,1889.24,7937.74,3124.45,1400.5,1755.85,4515.372,6182.17,13230.13,11995.66,2549.48
2013-06-28,2200.64,5667.65,1822.83,7793.31,3150.44,1451.9,1773.54,4818.895,6465.28,13677.32,12129.11,2602.59
2013-07-05,2226.85,5842.2,1863.32,8062.21,3169.73,1441.33,1772.27,4602.807,6500.48,14309.97,12134.91,2596.01
2013-07-12,2275.37,5867.9,1833.31,8001.82,3236.06,1453.71,1785.65,4633.108,6574.21,14506.25,12462.18,2674.87
2013-07-19,2190.48,6009.0,1869.98,8220.49,3213.26,1481.84,1797.74,4724.411,6621.02,14589.91,12685.13,2716.17
2013-07-26,2224.01,6029.2,1871.41,8062.03,3236.1,1476.71,1807.61,4658.874,6763.62,14129.98,12647.9,2741.96
2013-08-02,2247.26,5886.2,1910.81,8149.4,3254.13,1420.94,1782.51,4640.781,6533.95,14466.16,12603.25,2811.0
2013-08-09,2286.01,5677.9,1923.38,8099.88,3229.91,1432.25,1779.32,4640.781,6404.23,13615.19,12542.13,2825.62
2013-08-16,2304.14,5565.65,1880.71,7856.14,3197.53,1445.76,1788.24,4568.654,6525.95,13650.11,12736.92,2854.27
2013-08-23,2286.93,5507.85,1920.11,7925.0,3088.85,1338.13,1721.07,4169.827,6161.21,13660.55,12762.3,2826.05
2013-08-30,2313.91,5471.75,1870.16,7873.31,3028.94,1294.3,1727.58,4195.089,6075.17,13388.86,12653.9,2721.37
2013-09-06,2357.78,5471.8,1926.36,8021.89,3048.35,1336.25,1723.8,4072.354,5974.62,13860.81,12820.92,2803.42
2013-09-13,2488.9,5680.4,1955.31,8164.2,3120.3,1401.08,1770.8,4375.539,6133.24,14404.67,12723.4,2867.11
2013-09-20,2432.51,5850.6,1994.32,8142.48,3237.53,1486.76,1801.83,4583.828,6424.45,14742.42,12806.47,2927.19
