date,G10,APAC,EM,USD,CAD,JPY,EUR,INR,IDR,MYR,CNH,TWD,KRW,THB,SGD,PHP,CLP,BRL,PLN,MXN,HUF
2013-01-04,13.1,9.6,-1.2,34.1,1.7,-5.1,-2.1,27.1,11.5,138.0,3.2,-51.6,-23.1,120.2,-55.3,126.0,110.5,-52.1,-36.1,-10.6,-82.4
2013-01-11,4.8,14.5,2.4,10.9,-4.6,-0.8,6.3,5.3,10.3,152.9,19.1,-29.9,-23.4,118.8,-51.4,67.1,121.9,-53.4,-30.4,1.2,-128.1
2013-01-18,3.0,12.5,-0.5,2.2,4.0,7.1,12.8,8.4,8.4,143.7,14.8,-18.9,-22.8,118.4,-78.7,59.8,117.6,-43.4,-89.6,-3.2,-124.6
2013-01-25,15.8,9.6,-2.2,-2.0,-32.3,15.2,66.5,13.1,4.5,131.2,14.0,-40.7,-40.2,87.3,-62.6,50.1,115.9,-36.5,-112.1,-0.5,-135.4
2013-02-01,4.7,5.6,-3.9,-28.1,-16.7,-2.7,68.8,21.6,-39.7,109.7,6.1,-23.8,-26.8,23.9,-54.6,67.2,60.4,-13.0,-109.5,-3.7,-132.0
2013-02-08,13.0,11.3,-4.6,-12.5,-43.1,4.5,71.0,48.3,-50.8,-7.8,22.8,-23.3,-26.2,20.2,-35.2,36.2,92.5,-37.9,-106.0,-0.2,-113.9
2013-02-15,12.1,7.7,-13.5,-2.0,-57.1,-7.4,63.5,12.5,-48.8,-16.9,23.1,-23.0,-30.4,14.8,-38.7,49.3,77.0,-31.7,-114.2,-37.6,-145.7
2013-02-22,12.5,12.7,-14.5,-4.8,-94.8,-14.0,74.4,7.1,-45.9,19.4,22.5,-17.1,-28.1,120.9,-39.4,27.8,60.2,-51.6,-61.0,-73.6,-132.0
2013-03-01,12.7,13.0,-10.2,7.7,-93.4,-29.6,67.7,-24.8,-39.4,13.8,19.8,8.6,8.0,117.7,-49.7,-1.4,53.6,-38.0,-9.4,-74.4,-90.6
2013-03-08,15.6,25.5,-3.1,21.1,-81.5,-25.0,54.4,-42.8,-36.1,1.0,58.2,-18.4,8.4,110.4,-56.3,6.2,53.8,-39.8,-9.6,-92.3,-67.6
2013-03-15,15.2,12.0,-8.4,27.0,-76.1,-37.1,47.0,-36.8,-35.4,-13.0,33.0,-19.5,1.8,84.3,-52.4,-31.1,51.9,-12.8,-3.8,-84.0,-61.1
