date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD,BRL,MXN,CLP,PLN,HUF,EUR,JPY,CAD
2013-01-04,90.0,15.0,30.0,2.05,43.5,-0.08,0.85,5.0,-0.02,98.0,380.0,1.8,143.61,128.32,3.33,-2.15,6.24
2013-01-11,125.0,40.0,29.0,1.8,50.5,-0.095,0.75,4.43,-0.083,89.5,385.0,1.92,137.44,132.5,3.19,-2.52,6.5
2013-01-18,108.0,10.0,21.0,2.1,58.5,-0.04,0.7,4.65,-0.04,87.0,420.0,1.95,134.79,137.81,3.03,-2.14,6.57
2013-01-25,98.0,20.0,21.0,2.1,62.25,-0.025,0.4,4.75,-0.015,72.5,375.0,2.2,133.67,121.3,2.6,-1.59,6.64
2013-02-01,155.0,15.0,27.0,1.6,74.75,-0.035,0.6,4.1,0.025,61.5,360.75,2.12,123.32,115.23,2.41,-1.57,6.02
2013-02-08,85.5,22.5,34.0,1.9,68.0,0.04,0.03,4.5,0.03,69.42,360.0,2.18,120.01,118.72,2.61,-1.8,6.06
2013-02-15,75.0,10.0,29.0,1.9,68.75,-0.01,0.35,5.13,0.039,56.42,370.0,2.21,119.1,108.22,2.52,-1.86,6.18
2013-02-22,73.5,15.0,35.0,2.0,65.5,-0.005,0.23,4.25,0.015,56.3,362.5,2.11,117.66,115.25,2.67,-1.78,6.14
2013-03-01,103.5,15.0,43.0,2.15,57.25,-0.01,0.1,4.6,0.01,72.38,398.0,2.28,128.47,120.3,2.81,-1.86,6.88
2013-03-08,114.0,15.0,39.5,2.15,57.5,0.005,-0.35,5.45,-0.01,68.6,365.0,2.3,115.28,126.47,2.56,-1.92,7.09
2013-03-15,100.0,25.0,42.0,2.28,75.5,-0.025,-0.35,4.5,0.003,61.93,377.5,2.12,114.74,126.82,2.7,-1.84,7.07
2013-03-22,115.0,50.0,40.5,2.55,76.0,-0.02,0.05,4.2,0.015,75.09,367.75,2.19,116.51,127.99,3.11,-2.01,6.9
2013-03-29,87.0,45.0,35.5,1.85,-2.5,-0.03,-0.65,4.25,-0.013,61.5,350.5,2.09,120.68,116.23,2.51,-1.83,6.56
2013-04-05,91.5,45.0,39.5,1.6,45.0,0.035,-0.35,5.9,-0.015,80.11,340.0,2.05,109.33,109.59,2.47,-1.77,6.89
2013-04-12,70.5,20.0,28.5,1.55,52.5,-0.075,-0.35,5.0,-0.01,65.56,324.0,2.22,107.3,116.23,2.51,-1.68,7.06
2013-04-19,65.0,15.0,20.0,1.55,40.0,-0.02,-0.2,4.5,-0.032,80.29,305.75,2.42,101.78,100.36,2.4,-1.55,6.98
2013-04-26,76.5,15.0,24.0,1.25,49.75,0.015,-0.25,7.5,-0.054,77.0,312.5,2.08,103.07,115.08,2.61,-1.63,7.01
2013-05-03,65.5,45.0,14.0,1.6,65.5,0.01,-0.05,7.5,0.002,94.66,323.75,2.15,101.6,103.37,2.41,-1.71,6.95
2013-05-10,128.0,20.0,24.5,1.6,50.01,0.01,-0.31,5.85,0.047,96.23,316.25,2.3,100.31,107.71,2.22,-1.38,7.0
2013-05-17,140.0,55.0,24.5,1.75,80.01,0.09,0.65,8.25,0.081,111.19,327.5,2.59,103.07,109.84,2.38,-1.31,7.34
2013-05-24,123.5,65.0,33.0,1.45,58.01,0.135,0.6,9.0,0.018,119.19,342.5,2.41,103.71,106.8,2.07,-1.39,7.7
2013-05-31,121.5,125.0,42.0,1.85,49.51,0.1,-0.05,7.75,0.047,135.43,380.0,2.59,105.58,102.42,2.07,-1.22,7.3
2013-06-07,147.5,160.0,40.5,1.65,50.01,0.055,-0.8,8.0,-0.016,132.76,386.25,2.64,97.11,99.57,2.04,-1.37,7.49
2013-06-14,170.0,115.0,34.0,1.9,60.5,0.015,-0.75,9.0,-0.02,133.46,356.25,2.51,91.12,101.45,1.9,-1.43,7.3
2013-06-21,290.0,330.0,42.0,1.65,134.51,0.215,-0.5,9.0,0.038,129.41,371.25,2.8,91.52,101.35,1.88,-1.55,7.31
2013-06-28,190.0,180.0,42.0,1.85,64.0,-0.015,-0.8,9.0,-0.035,157.76,357.5,2.82,89.91,96.89,1.61,-1.14,7.68
2013-07-05,135.0,190.0,39.0,1.7,62.26,-0.005,-0.5,7.25,0.028,154.35,356.25,2.95,88.6,97.47,1.53,-1.44,7.88
2013-07-12,118.5,155.0,38.5,1.6,52.75,-0.02,-0.5,9.0,-0.021,155.22,342.5,3.0,87.74,94.73,1.64,-1.63,8.01
2013-07-19,132.0,225.0,41.0,1.85,62.0,-0.015,-0.4,4.75,-0.003,152.05,337.5,2.59,86.71,95.66,1.42,-1.5,8.01
2013-07-26,116.5,185.0,40.5,1.57,62.5,-0.065,-0.5,9.0,-0.015,154.88,367.5,2.65,84.98,85.32,1.33,-1.51,7.64
2013-08-02,115.5,140.0,50.5,2.05,87.5,-0.025,-0.5,9.0,0.032,155.09,372.5,2.64,85.13,85.87,1.39,-1.45,7.6
2013-08-09,112.5,145.0,56.5,2.0,80.0,-0.025,-0.5,9.0,-0.025,150.71,352.0,2.59,82.92,92.37,1.34,-1.43,7.52
2013-08-16,103.5,200.0,66.0,2.15,69.5,-0.045,-0.25,9.25,-0.04,170.61,362.5,2.68,80.61,91.0,1.47,-1.5,7.65
2013-08-23,97.5,290.0,64.0,1.73,72.51,-0.035,-0.45,14.5,-0.045,169.48,375.0,2.7,83.74,95.27,1.54,-1.46,8.02
2013-08-30,124.5,170.0,72.0,2.35,54.75,0.0,-0.45,14.5,-0.04,166.25,367.5,2.67,81.58,84.87,1.27,-1.32,7.75
2013-09-06,87.5,215.0,68.0,2.2,70.0,-0.005,-0.05,9.25,-0.052,163.39,340.0,2.4,83.06,81.49,1.34,-1.39,7.76
2013-09-13,68.5,110.0,78.0,2.15,59.0,-0.065,-0.3,5.88,-0.038,159.5,346.25,2.34,80.68,79.32,1.16,-1.42,7.56
2013-09-20,53.0,85.0,50.5,2.15,40.75,-0.16,-0.45,2.75,-0.075,154.84,322.5,2.33,78.91,72.12,1.01,-1.64,7.49
2013-09-27,52.5,130.0,72.95,2.3,53.4,-0.115,-0.45,9.25,-0.04,174.44,322.5,2.36,89.29,75.55,1.03,-1.53,7.66
2013-10-04,51.5,100.0,53.0,2.25,27.5,-0.135,-0.08,5.7,-0.045,174.62,336.25,2.5,83.31,66.01,1.04,-1.57,7.99
2013-10-11,42.5,75.0,43.5,2.15,70.51,-0.06,-0.45,9.25,-0.093,162.33,357.5,2.41,84.27,61.97,1.31,-1.76,7.78
2013-10-18,47.5,75.0,45.5,2.3,-4.5,-0.155,-0.45,2.75,-0.083,163.24,316.75,1.92,85.74,62.38,1.32,-1.6,7.65
2013-10-25,55.0,60.0,42.5,2.25,48.25,-0.125,-0.45,9.25,-0.075,164.92,318.75,2.15,83.83,64.87,0.97,-1.43,8.26
2013-11-01,55.5,105.0,56.0,2.3,38.0,-0.1,-0.4,6.15,-0.038,168.5,310.5,2.42,81.14,62.28,0.87,-1.46,7.81
2013-11-08,55.5,110.0,64.06,2.35,52.5,-0.005,-0.45,9.25,-0.02,171.5,350.25,2.4,80.01,70.01,0.83,-1.27,7.78
2013-11-15,55.0,75.0,77.27,2.3,29.01,-0.07,-0.28,8.5,-0.047,174.0,335.5,2.2,83.18,61.45,0.78,-1.3,7.74
2013-11-22,48.0,90.0,55.0,2.1,49.55,-0.12,-0.35,13.0,-0.055,171.0,343.0,1.9,84.68,67.03,0.46,-1.29,8.5
2013-11-29,44.5,155.0,45.0,2.2,40.01,-0.055,-0.05,17.0,-0.025,172.24,288.75,1.74,79.9,50.68,-0.13,-3.09,8.13
2013-12-06,37.5,150.0,43.5,2.15,55.0,0.005,-0.33,18.0,-0.04,170.5,275.0,2.11,79.5,52.58,-0.78,-3.43,8.2
2013-12-13,35.0,135.0,44.0,1.75,40.51,0.055,-0.45,13.25,-0.06,174.0,232.5,2.22,77.72,47.85,-1.2,-3.19,7.93
2013-12-20,42.25,125.0,54.0,1.95,44.51,0.0,-0.45,16.25,-0.05,179.0,238.5,1.9,75.3,46.91,-0.64,-1.94,7.95
2013-12-27,24.5,105.0,47.5,2.15,41.5,0.035,-0.45,15.25,-0.065,193.0,286.25,2.01,74.79,47.12,-1.18,-1.55,7.7
2014-01-03,46.5,110.0,48.5,2.15,56.0,0.095,-0.45,17.6,0.01,203.03,325.0,2.0,85.83,52.35,0.02,-1.4,7.95
2014-01-10,52.5,95.0,36.0,2.3,54.0,-0.025,-0.33,9.25,-0.025,208.5,290.0,2.05,81.77,54.78,-0.27,-1.64,8.15
2014-01-17,112.5,80.0,35.0,2.0,40.5,0.08,-0.1,9.25,-0.001,208.51,348.0,2.15,79.6,54.52,-0.77,-1.51,8.03
2014-01-24,95.5,110.0,46.0,2.15,71.0,0.245,0.11,9.25,0.02,216.0,331.25,2.14,84.02,51.84,-0.35,-1.65,8.2
2014-01-31,59.5,90.0,47.5,1.95,10.5,0.1,-0.45,18.5,-0.03,184.37,307.5,2.0,79.51,71.09,0.1,-1.39,7.35
2014-02-07,47.5,50.0,33.0,2.0,63.0,0.0,-0.35,8.23,-0.035,170.5,280.5,1.8,75.09,52.15,-0.32,-1.41,7.14
2014-02-14,35.0,40.0,29.0,1.85,48.75,0.02,-0.45,5.25,-0.045,175.0,280.0,1.95,74.77,56.8,-0.15,-1.48,7.32
2014-02-21,61.5,45.0,25.0,1.65,52.36,-0.002,-0.45,7.0,-0.01,166.33,285.0,1.8,73.32,55.26,-0.18,-1.45,7.2
2014-02-28,82.5,50.0,44.0,2.15,71.0,0.025,-0.15,7.38,-0.03,201.92,315.0,2.05,80.98,55.64,-0.26,-1.58,8.07
