date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD,BRL,MXN,CLP,PLN,HUF,EUR,JPY,CAD
2019-06-30,4.0,51.12,28.143,-0.98,49.849,0.03345,-7.785,-2.841,-0.05539,107.5,970.553,-0.32,-32.148,-58.599,29.37,-25.77,-9.503
2019-07-01,-5.0,47.903,29.008,-0.979,-24.149,0.0511,-7.64,-3.75,-0.04471,104.012,1032.68,-0.28,-37.17,-59.822,30.8925,-27.121,-9.502
2019-07-02,-12.849,45.0,25.5,-0.9,13.643,0.05,-6.925,-2.75,-0.043,93.91,974.755,0.08,-35.293,-58.6175,29.072,-25.607,-10.3043
2019-07-03,-12.0,48.891,24.316,-0.796,5.229,0.04125,-6.857,-3.01,-0.029264,110.642,971.447,0.08,-34.75,-57.37,28.826,-25.433,-9.217
2019-07-04,-13.0,51.8,24.465,-0.8,4.223,0.04389,-7.295,-2.524,-0.032719,97.477,972.683,0.07917,-33.772,-57.37,28.483,-25.108,-9.27
2019-07-05,-11.0,66.146,23.159,-0.738,6.193,0.05874,-8.199,-1.735,-0.032546,94.75,972.815,0.15,-34.094,-58.826,28.9095,-25.851,-9.336
2019-07-06,-11.0,59.296,23.281,-0.85,50.266,0.05847,-8.199,-1.726,-0.032373,100.028,971.084,0.15,-33.964,-58.942,28.8975,-25.841,-9.351
2019-07-07,-11.0,64.969,26.788,-0.949,51.515,0.05874,-8.199,-1.728,-0.036094,97.313,971.084,0.15,-33.962,-58.961,28.8925,-25.841,-9.351
2019-07-08,-18.0,78.375,25.758,-0.964,-6.174,0.06703,-8.834,-1.982,-0.025781,93.624,1017.65,0.15,-37.86,-64.112,30.894,-28.353,-9.161
2019-07-09,-12.5,72.258,24.234,-0.975,-7.158,0.06194,-9.0,-1.0,-0.034065,88.181,980.975,0.13,-35.08,-60.249,29.559,-27.301,-9.388
2019-07-10,-16.5,78.479,23.452,-0.928,4.242,0.08153,-9.25,-2.0,-0.053955,76.563,988.663,-0.01,-33.927,-55.4105,28.495,-26.563,-8.756
2019-07-11,-15.439,51.82,23.484,-0.945,29.818,0.06951,-9.35,-1.75,-0.05526,98.055,973.42,-0.08,-35.0,-54.1475,28.405,-25.518,-8.534
2019-07-12,-6.279,49.09,21.781,-0.885,1.468,0.07848,-8.05,-2.614,-0.044251,105.286,975.669,0.05,-34.293,-53.927,28.276,-27.129,-8.344
2019-07-13,-6.282,49.09,21.266,-0.887,51.481,0.07847,-8.0,-2.077,-0.047161,105.435,981.013,0.04,-33.264,-53.505,28.367,-26.991,-8.342
2019-07-14,-6.282,49.09,21.266,-0.887,51.481,0.07847,-8.0,-2.077,-0.047161,105.435,981.013,0.04,-35.594,-60.554,28.367,-26.991,-8.342
2019-07-15,-1.198,53.625,23.203,-0.975,4.308,0.0825,-7.05,-1.875,-0.056719,101.528,1038.85,0.1,-35.14,-59.882,30.06,-27.18,-8.313
2019-07-16,-4.34,58.839,23.432,-0.981,5.589,0.07742,-7.354,-0.643,-0.056774,96.92,1015.8,0.05,-34.284,-58.181,29.217,-25.944,-8.223
2019-07-17,-4.0,65.698,24.157,-0.968,-1.539,0.07996,-6.78,-0.66,-0.045704,84.417,981.826,0.06,-33.01,-56.662,28.382,-24.962,-8.086
2019-07-18,0.0,60.08,25.996,-0.999,13.054,0.07749,-6.55,-1.039,-0.065605,97.892,975.865,0.06,-32.75,-50.726,27.844,-24.637,-7.764
2019-07-19,4.875,52.921,24.343,-1.03,31.619,0.07718,-5.366,-0.731,-0.07457,96.648,979.471,-0.02,-31.86,-51.637,27.741,-24.225,-7.32
2019-07-20,4.785,48.896,24.011,-1.05,72.121,0.06685,-5.367,-0.733,-0.077799,94.95,984.636,-0.02,-31.56,-54.862,28.105,-24.545,-7.5895
2019-07-21,4.785,52.921,25.374,-1.038,51.367,0.07718,-5.367,-0.733,-0.072778,94.95,990.048,-0.02,-33.993,-54.682,28.105,-24.545,-7.5895
2019-07-22,9.745,64.969,25.678,-1.083,10.76,0.08242,-5.74,-0.236,-0.092812,92.829,1049.46,-0.05,-33.729,-56.3,29.65,-25.788,-7.515
2019-07-23,9.855,65.032,25.29,-1.135,-1.601,0.07219,-6.474,0.647,-0.07329,83.324,1026.24,-0.05,-33.608,-56.286,28.513,-24.856,-8.167
2019-07-24,13.0,54.288,22.481,-1.158,-4.388,0.07667,-6.5,0.755,-0.071706,74.172,981.458,-0.07,-32.361,-55.417,27.5,-23.952,-7.933
2019-07-25,10.375,47.67,21.373,-1.224,21.219,0.08008,-6.841,-0.258,-0.076936,93.156,982.415,-0.2,-31.86,-56.04,27.144,-24.092,-7.991
2019-07-26,8.25,49.6,22.475,-1.219,0.059,0.08267,-6.931,0.153,-0.072333,97.208,984.733,-0.25,-31.234,-56.0,27.063,-23.863,-7.748
2019-07-27,7.0,49.6,22.217,-1.188,51.184,0.08267,-6.926,0.02,-0.067167,97.735,984.31,-0.05,-31.733,-55.8775,27.08,-23.956,-7.676
2019-07-28,7.0,49.6,22.217,-1.188,51.184,0.08267,-6.926,0.02,-0.067167,97.735,984.31,-0.05,-30.075,-53.8355,27.08,-23.956,-7.676
2019-07-29,1.0,49.868,19.927,-1.029,2.801,0.06159,-5.106,0.268,-0.062035,91.986,956.043,0.0,-30.198,-54.295,26.465,-23.551,-8.163
2019-07-30,0.904,49.5,22.069,-1.098,0.019,0.05156,-5.181,0.24,-0.067031,79.101,1055.12,0.08,-33.039,-58.37,29.123,-26.054,-7.9
2019-07-31,6.41,53.076,21.653,-0.989,6.42,0.03904,-6.25,-0.073,-0.048063,80.495,1018.48,-0.1,-30.033,-55.37,28.041,-24.807,-8.21
2019-08-01,7.0,72.987,23.933,-0.997,8.52,0.05945,-6.496,0.015,-0.039545,93.734,993.441,-0.1,-28.99,-53.9375,26.863,-24.18,-7.946
2019-08-02,39.293,105.825,27.636,-0.879,18.733,0.09327,-6.0,-0.539,0.003387,96.695,1005.18,-0.05,-27.305,-53.0,26.882,-24.125,-7.664
2019-08-03,51.771,105.831,27.636,-0.922,50.854,0.09418,-6.0,-0.528,-0.009069,103.735,1004.03,-0.05,-27.781,-54.27,26.897,-24.085,-7.605
2019-08-04,51.771,105.831,27.636,-0.922,50.854,0.09418,-6.0,-0.528,-0.009069,103.735,1004.03,-0.05,-28.99,-56.796,26.897,-24.085,-7.605
2019-08-05,85.845,144.375,36.094,-0.887,75.56,0.13406,-4.723,-0.363,0.04125,98.882,1096.73,-0.05,-29.321,-55.1625,28.578,-25.141,-7.491
2019-08-06,24.693,113.548,33.548,-0.826,53.128,0.15484,-4.879,-0.577,-0.043355,91.108,1067.87,-0.1,-28.603,-55.5,27.474,-24.103,-7.588
2019-08-07,34.6,95.561,32.129,-0.696,51.142,0.15064,-4.425,-0.512,-0.031338,86.054,1043.36,-0.15,-26.538,-53.1625,26.244,-22.98,-6.862
2019-08-08,18.333,79.132,29.075,-0.947,41.858,0.1256,-4.861,-0.517,-0.048075,108.26,1047.0,-0.2,-26.864,-52.685,26.378,-23.644,-6.806
2019-08-09,43.47,70.074,29.806,-0.912,68.64,0.08008,-5.376,-0.58,-0.061818,112.605,1020.78,-0.25,-26.051,-50.0,26.508,-26.149,-7.143
2019-08-10,52.923,69.954,30.339,-0.886,51.515,0.08008,-5.371,-0.558,-0.063879,113.033,1017.57,-0.1,-26.561,-52.908,26.479,-26.132,-6.999
2019-08-11,52.923,69.954,30.339,-0.886,51.515,0.08008,-5.371,-0.558,-0.063879,113.033,1017.57,-0.1,-26.561,-53.653,26.479,-26.132,-6.999
2019-08-12,55.0,103.125,32.734,-0.931,38.553,0.09797,-5.003,-0.211,-0.030938,108.985,1137.61,-0.05,-26.313,-54.0625,28.474,-26.152,-7.264
2019-08-13,32.767,76.781,29.062,-0.967,44.503,0.13935,-4.75,0.496,-0.051154,100.744,1087.7,-0.03,-27.8,-52.0,27.804,-25.493,-7.867
2019-08-14,72.544,87.772,31.016,-0.866,36.89,0.11426,-4.959,0.392,-0.070346,88.83,1071.87,-0.1,-27.213,-50.815,26.782,-24.717,-7.526
2019-08-15,70.955,85.034,33.08,-0.888,32.887,0.14654,-5.129,2.124,-0.070884,116.31,1056.61,-0.08,-26.945,-55.0,26.51,-23.918,-7.312
2019-08-16,57.0,72.755,31.467,-0.825,15.56,0.12305,-4.905,4.436,-0.087761,107.881,1023.91,-0.05,-26.908,-57.0,26.365,-23.584,-6.886
2019-08-17,57.0,80.437,34.031,-0.949,51.562,0.12289,-4.889,4.437,-0.088687,98.232,1090.16,-0.04828,-27.93,-57.05,26.446,-23.541,-6.773
2019-08-18,57.0,80.437,34.031,-0.949,51.562,0.12291,-4.889,4.437,-0.088687,98.232,1090.16,-0.04828,-27.93,-57.051,26.446,-23.541,-6.773
2019-08-19,57.0,70.125,34.856,-0.928,20.043,0.09806,-5.98,7.215,-0.084563,102.338,1113.78,-0.04,-27.468,-56.685,27.662,-25.144,-6.9265
2019-08-20,69.0,74.839,34.581,-0.929,13.212,0.07742,-6.123,7.435,-0.084645,94.801,1078.98,0.0,-24.927,-53.055,26.373,-24.009,-6.921
2019-08-21,83.404,67.876,31.448,-0.81,6.191,0.0592,-5.843,2.625,-0.089648,85.543,1053.77,-0.02,-23.526,-49.815,25.605,-23.39,-6.503
2019-08-22,82.639,69.994,33.742,-0.892,13.175,0.06404,-5.394,1.25,-0.070654,101.727,1067.83,-0.15,-22.427,-50.0,25.893,-22.487,-6.461
2019-08-23,85.073,62.256,34.204,-0.915,25.101,0.07438,-5.768,1.213,-0.061723,99.046,1077.63,-0.25,-22.562,-52.76,26.042,-22.49,-6.522
2019-08-24,121.781,62.256,34.207,-0.912,51.17,0.07438,-5.765,1.203,-0.070244,86.659,1053.72,-0.27,-22.587,-52.055,26.127,-22.347,-6.684
2019-08-25,121.781,62.256,34.207,-0.912,51.17,0.07438,-5.765,1.203,-0.070244,86.659,1053.72,-0.27,-23.591,-55.153,26.127,-22.347,-6.684
2019-08-26,102.992,89.719,36.609,-0.949,34.359,0.09281,-5.35,0.71,-0.072188,82.274,1157.3,-0.28,-23.053,-56.625,27.8465,-23.922,-6.594
2019-08-27,90.798,77.419,35.097,-1.012,23.322,0.09806,-5.957,-0.361,-0.089806,76.867,1148.67,-0.17,-22.172,-55.236,26.6325,-22.934,-6.582
2019-08-28,68.619,80.885,32.034,-0.895,22.072,0.09944,-5.055,0.322,-0.070695,89.459,1144.52,-0.12,-22.79,-54.834,25.812,-22.199,-6.497
2019-08-29,74.993,73.0,32.571,-0.93,35.01,0.09,-5.24,1.039,-0.086,87.585,1040.38,-0.12,-22.267,-53.681,26.042,-23.841,-6.145
