date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD,BRL,MXN,CLP,PLN,HUF,EUR,JPY,CAD
2013-01-04,12.5,10.0,7.75,0.46,11.0,-0.025,0.05,0.6,0.01,32.35,84.5,0.3,33.2,29.23,0.7,-0.53,1.4
2013-01-11,17.5,10.0,4.75,0.5,11.0,-0.05,0.05,0.55,-0.03,22.5,88.75,0.25,30.51,34.25,0.7,-0.54,1.66
2013-01-18,15.0,9.95,3.5,0.49,12.0,0.089,0.15,0.82,-0.002,22.5,92.5,0.32,31.73,36.12,0.65,-0.47,1.52
2013-01-25,13.5,10.0,2.25,0.44,13.5,0.0,0.15,1.15,0.01,18.5,84.5,0.37,32.48,28.62,0.6,-0.33,1.51
2013-02-01,95.0,59.06,7.0,0.47,19.0,0.003,0.13,1.5,0.035,12.5,95.0,0.37,31.88,31.07,0.58,-0.34,1.5
2013-02-08,20.5,-3.2,10.5,0.47,15.5,0.013,0.05,2.1,0.03,18.5,92.75,0.36,29.97,31.78,0.65,-0.44,1.73
2013-02-15,16.5,0.01,8.0,0.51,17.0,-0.01,0.15,1.85,0.005,18.5,98.5,0.37,29.94,28.24,0.6,-0.45,1.49
2013-02-22,10.5,10.0,10.5,0.51,14.0,0.007,0.05,1.25,0.015,14.5,97.5,0.37,29.97,29.38,0.65,-0.42,1.55
2013-03-01,21.5,0.95,13.25,0.37,16.0,0.029,-0.15,1.05,0.007,17.5,94.75,0.43,29.12,27.33,0.56,-0.28,1.64
2013-03-08,30.5,1.44,10.5,0.48,16.0,0.04,-0.2,1.4,-0.005,15.5,90.5,0.36,25.78,31.18,0.54,-0.34,1.64
2013-03-15,20.5,2.15,10.5,0.5,15.0,-0.028,-0.25,0.95,0.008,13.5,90.5,0.4,25.98,30.49,0.56,-0.28,1.59
2013-03-22,30.0,20.0,15.75,0.51,14.0,0.012,-0.05,0.95,0.02,16.5,89.5,0.3,26.97,30.9,0.74,-0.54,1.51
2013-03-29,16.5,20.0,11.0,0.39,14.0,0.003,-0.2,1.2,-0.002,16.0,79.0,0.27,25.48,27.56,0.54,-0.38,1.55
2013-04-05,19.5,10.0,11.25,0.33,12.0,-0.045,-0.15,1.75,-0.005,14.5,71.0,0.35,25.84,28.15,0.56,-0.38,1.61
2013-04-12,11.5,2.5,7.0,0.26,12.0,0.444,-0.05,1.25,0.004,15.5,71.0,0.43,25.2,28.8,0.56,-0.34,1.63
2013-04-19,15.0,2.15,1.0,0.38,13.0,0.018,-0.1,1.15,-0.016,20.5,73.75,0.47,24.44,24.54,0.51,-0.3,1.63
2013-04-26,17.5,2.15,3.0,0.26,12.0,0.005,-0.05,2.4,-0.034,17.0,71.5,0.42,23.46,28.92,0.53,-0.21,1.63
2013-05-03,11.5,15.0,-1.0,0.4,13.0,-0.079,-0.05,2.45,0.011,21.5,71.5,0.42,23.27,24.93,0.51,-0.32,1.55
2013-05-10,32.5,2.0,6.0,0.36,11.0,0.05,-0.15,1.75,0.038,24.5,71.5,0.42,23.14,26.38,0.46,-0.29,1.74
2013-05-17,38.5,20.0,7.5,0.39,12.5,0.058,0.45,2.75,0.04,26.5,77.75,0.48,23.66,24.38,0.49,-0.27,1.7
2013-05-24,33.5,30.0,8.5,0.37,13.0,-0.003,0.2,2.25,0.01,30.5,86.75,0.44,24.07,24.24,0.4,-0.28,1.91
2013-05-31,33.5,65.0,14.0,0.45,13.0,0.028,0.2,2.05,0.036,30.5,91.25,0.53,23.76,21.55,0.39,-0.18,1.73
2013-06-07,40.5,100.0,13.5,0.43,13.0,0.035,-0.25,2.25,-0.005,31.0,105.0,0.53,23.28,24.16,0.46,-0.28,1.78
2013-06-14,39.5,40.0,7.5,0.46,13.0,-0.012,-0.25,2.25,-0.025,30.0,94.5,0.52,21.24,25.07,0.38,-0.28,1.67
2013-06-21,85.0,160.0,8.0,0.47,16.0,0.075,0.1,2.25,0.031,36.5,81.0,0.58,20.86,23.24,0.41,-0.45,1.89
2013-06-28,48.0,60.0,10.0,0.45,14.0,-0.032,-0.3,2.25,-0.018,31.5,81.5,0.58,20.09,21.46,0.29,-0.17,1.72
2013-07-05,26.5,45.0,9.0,0.39,13.0,-0.008,-0.3,2.25,0.004,33.5,85.0,0.61,19.03,21.84,0.31,-0.35,1.83
2013-07-12,18.5,35.0,10.5,0.42,12.0,0.0,-0.25,2.25,-0.016,36.5,81.5,0.55,19.24,20.92,0.37,-0.39,1.89
2013-07-19,34.5,55.0,8.0,0.46,14.0,-0.007,-0.15,0.55,0.001,36.5,78.5,0.52,19.69,21.56,0.3,-0.33,1.82
2013-07-26,20.5,65.0,9.0,0.44,14.0,-0.03,-0.1,2.25,-0.005,37.5,90.5,0.46,17.68,18.01,0.25,-0.33,1.93
2013-08-02,23.5,25.0,13.0,0.53,15.0,-0.02,-0.15,2.25,0.023,34.5,89.5,0.5,18.89,18.76,0.3,-0.3,1.69
2013-08-09,21.5,2.15,8.25,0.48,15.0,-0.015,-0.15,2.25,-0.014,33.5,78.5,0.47,18.59,24.78,0.3,-0.3,1.66
2013-08-16,18.5,60.0,15.75,0.49,17.0,0.092,-0.1,2.35,-0.008,36.5,84.5,0.43,18.13,20.23,0.34,-0.34,1.7
2013-08-23,18.0,2.15,9.75,0.53,16.0,0.035,0.15,2.35,-0.029,39.5,84.0,0.48,19.01,24.0,0.34,-0.34,2.13
2013-08-30,18.5,10.0,15.25,0.55,15.0,-0.007,-0.05,2.35,-0.007,38.5,85.5,0.49,19.0,19.08,0.25,-0.27,1.84
2013-09-06,12.0,50.0,28.0,0.53,14.0,-0.03,-0.06,2.35,-0.018,37.5,79.0,0.4,19.78,19.29,0.29,-0.26,1.8
2013-09-13,10.0,0.01,27.5,0.51,11.0,-0.03,-0.1,2.35,-0.025,37.5,82.5,0.63,18.89,18.54,0.26,-0.28,1.73
2013-09-20,26.5,9.64,12.5,0.54,11.0,0.004,-0.1,2.35,-0.016,38.5,76.0,0.4,18.13,16.89,0.18,-0.4,1.71
2013-09-27,7.5,15.0,20.75,0.2,12.5,0.039,-0.07,2.35,-0.01,40.0,74.0,0.4,18.06,14.09,0.16,-0.35,1.7
2013-10-04,7.5,6.88,8.5,0.55,14.5,-0.245,-0.05,2.35,-0.01,37.5,78.0,0.42,19.03,13.37,0.22,-0.31,2.08
2013-10-11,7.5,-10.0,13.25,0.5,11.5,-0.015,-0.05,2.35,-0.014,38.25,82.0,0.37,19.62,14.39,0.27,-0.34,1.75
2013-10-18,11.5,-5.0,7.0,0.49,9.0,-0.072,-0.05,2.35,-0.032,38.25,80.0,0.26,19.16,15.37,0.32,-0.34,1.65
2013-10-25,12.25,1.88,10.75,0.5,10.0,-0.052,-0.05,2.35,-0.025,42.5,74.0,0.55,19.45,14.41,0.22,-0.27,1.77
2013-11-01,12.75,8.57,13.75,0.55,10.5,0.145,-0.05,1.28,-0.009,47.0,76.0,0.26,19.98,14.35,0.23,-0.31,2.18
2013-11-08,11.5,12.85,16.75,0.56,11.5,0.069,-0.1,2.35,-0.001,33.5,84.0,0.4,18.89,20.24,0.24,-0.21,1.77
