date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD,BRL,MXN,CLP,PLN,HUF,EUR,JPY,CAD
2019-06-30,-2.601,4.123,6.643,-0.22,55.525,-0.00931,-1.912,-0.696,-0.0204,22.384,220.167,-0.07261,-7.645,-12.648,6.761,-6.146,-2.233
2019-07-01,-5.79,5.903,5.508,-0.179,-5.444,0.0091,-1.8,-1.2,-0.01221,22.849,218.978,-0.06498,-9.333,-13.0,6.745,-5.898,-2.251
2019-07-02,-7.649,3.0,5.0,-0.15,2.743,0.01,-1.703,-0.7,-0.013,23.401,223.705,0.01637,-8.985,-14.25,6.766,-5.908,-2.344
2019-07-03,-8.0,3.892,4.316,-0.096,0.823,0.00125,-1.8,-0.846,-0.00127,22.559,221.179,0.00936,-8.5,-14.087,6.635,-5.856,-2.263
2019-07-04,-11.0,6.707,4.465,-0.1,0.398,-0.00361,-1.938,-0.402,-0.000731,19.193,218.509,0.00884,-8.21,-13.997,6.597,-6.605,-2.294
2019-07-05,-7.3,16.145,3.91,-0.038,0.911,0.00624,-1.96,-0.188,-0.005546,18.435,219.414,0.02787,-8.358,-14.475,6.784,-6.124,-2.383
2019-07-06,-7.3,9.44,3.781,-0.2,53.769,0.00847,-1.96,-0.187,-0.005374,19.891,218.927,0.02919,-8.316,-14.476,6.778,-6.124,-2.368
2019-07-07,-7.3,15.108,8.038,-0.229,54.523,0.00624,-1.96,-0.188,-0.009094,20.808,218.927,0.0219,-8.297,-14.463,6.784,-6.124,-2.368
2019-07-08,-9.5,23.858,4.758,-0.214,-1.983,0.01453,-2.06,0.161,-0.010781,19.766,217.172,0.02114,-9.422,-14.969,6.922,-6.172,-2.356
2019-07-09,-7.0,19.258,4.234,-0.175,-2.228,-0.00056,-2.104,0.3,-0.013065,19.777,215.132,0.01984,-8.566,-14.54,6.723,-5.993,-2.288
2019-07-10,-8.2,23.479,4.702,-0.178,0.028,0.01754,-2.1,0.15,-0.023953,18.166,219.792,-0.01463,-8.777,-13.725,6.579,-6.048,-2.225
2019-07-11,-7.34,6.82,4.359,-0.195,5.71,0.00668,-2.125,0.15,-0.015758,18.193,217.958,-0.03326,-8.626,-12.878,6.574,-6.008,-2.219
2019-07-12,-2.693,3.993,3.531,-0.135,-0.813,0.00848,-1.95,-0.4,-0.009249,20.777,218.758,-0.00951,-8.483,-13.023,6.58,-6.091,-2.265
2019-07-13,-2.695,6.207,3.266,-0.167,49.79,0.00847,-1.95,-0.3225,-0.010154,20.802,218.687,-0.0104,-8.64,-13.093,6.591,-6.069,-2.265
2019-07-14,-2.695,6.207,3.266,-0.167,47.736,0.00847,-1.95,-0.3225,-0.010154,20.802,218.687,-0.0104,-8.429,-12.949,6.591,-6.069,-2.265
2019-07-15,-0.796,11.908,4.203,-0.175,-0.392,0.015,-1.5,-0.055,-0.016719,21.51,219.587,0.00197,-8.204,-12.918,6.636,-6.25,-2.259
