date,KRW,THB,INR,IDR,PHP,CNH,MYR,SGD,TWD
2019-06-28,-0.032,-0.045,0.909,1.666,,-1.954,1.513,-0.367,-0.001759
2019-07-05,-0.029,0.062,0.788,1.968,,-1.2,1.515,-0.364,-0.001094
2019-07-12,-0.029,0.014,0.697,1.606,,-0.1,1.515,-0.375,-0.001515
2019-07-19,-0.033,0.05,0.818,1.727,,2.136,1.515,-0.127,-0.002273
2019-07-26,-0.038,0.1,0.717,1.6,,-1.0,3.064,0.0,-0.002167
2019-08-02,-0.03,0.065,0.894,3.333,,0.329,1.471,-0.235,-0.000364
2019-08-09,-0.026,0.055,0.919,2.272,,0.829,1.515,-0.031,-0.001879
2019-08-16,-0.029,0.15,1.031,2.437,,1.9,1.562,-0.133,-0.002688
2019-08-23,-0.03,0.06,1.098,2.03,,5.283,1.515,-0.28,-0.002212
2019-08-30,-0.029,0.197,0.953,1.781,,0.53,1.562,-0.2,-0.002969
2019-09-06,-0.033,0.055,2.121,1.75,,0.988,0.637,-0.013,-0.003236
2019-09-13,-0.033,-0.1,1.025,1.6,,0.626,1.562,-0.087,-0.005834
2019-09-20,-0.037,0.055,1.017,1.666,,3.112,1.667,-0.327,-0.005168
2019-09-27,-0.031,0.05,0.849,1.495,,-0.576,1.457,-0.032,-0.002468
2019-10-04,-0.044,0.06,0.924,1.409,,1.5,1.515,-0.389,-0.003807
2019-10-11,-0.024,0.065,0.821,1.43,,1.855,1.534,-0.126,-0.004381
2019-10-18,-0.027,0.07,0.812,1.5,,2.1565,1.562,-0.122,-0.004376
2019-10-25,-0.029,0.045,0.612,1.033,,1.3,0.002,-0.038,-0.003449
2019-11-01,-0.022,0.02,0.625,1.132,,3.012,1.664,-0.05675,-0.004569
2019-11-08,-0.017,0.074,1.252,1.666,,2.695,1.667,-0.124,-0.003034
2019-11-15,-0.019,0.075,0.767,1.733,,2.457,1.667,-0.18,-0.002834
2019-11-22,-0.021,0.008,0.641,1.416,,2.066,1.665,0.075,-0.001968
2019-11-29,-0.03,0.031,0.583,1.485,,2.0395,1.515,0.125,-0.002273
2019-12-06,-0.011,0.03,0.53,0.909,,1.858,2.121,-0.15,-1e-06
2019-12-13,-0.019,-0.001,0.603,-0.556,,1.052,2.059,-0.19,-0.007861
2019-12-20,-0.042,0.025,0.703,2.032,,2.3525,1.515,0.3,-0.003429
2019-12-27,-0.017,-0.1,0.572,1.447,,-0.33,1.62,-0.3,-0.01006
2020-01-03,-0.025,0.006,0.727,1.061,,1.6825,1.515,-0.12,-0.002652
2020-01-10,-0.032,0.218,0.647,0.632,,1.401,1.471,-0.02,-0.00353
2020-01-17,-0.031,0.0,0.667,0.773,,0.0,1.515,0.0,-0.003212
2020-01-24,-0.031,0.291,0.6,0.9,,7.752,1.724,-0.15,-0.002923
2020-01-31,-0.017,0.496,0.862,1.62,,11.194,1.724,0.186125,-0.001379
2020-02-07,-0.019,0.032,0.664,1.689,,1.139,1.724,-0.15,-0.001207
2020-02-14,-0.017,0.083,0.672,1.465,,0.384,1.724,-0.096,-0.002311
2020-02-21,-0.014,0.65,0.862,3.964,,3.743,1.724,-0.16,-0.001276
2020-02-28,-0.012,0.144,1.264,6.664,,1.203,1.515,-0.175,-0.001515
2020-03-06,-0.002,0.011,2.257,4.846,,1.05,1.337,-0.05,-0.003219
2020-03-13,-0.109,0.058,2.874,5.755,,0.6,-0.457,-0.45,-0.00844
2020-03-20,-0.059,0.2,5.996,16.439,,-2.0,4.727,0.021,-0.007033
2020-03-27,-0.039,0.052,4.508,2.58,,-8.0,1.527,-0.295,-0.007569
2020-04-03,-0.028,0.103,3.592,6.831,,-1.0,1.667,-0.05,-0.004434
2020-04-10,-0.027,0.304,4.873,2.333,,1.532,1.667,0.04,-0.008002
2020-04-17,-0.043,0.214,1.933,3.471,,2.299,1.667,0.035,-0.006668
2020-04-24,-0.029,0.0,1.766,5.5,,2.2,1.667,0.07,-0.006068
2020-05-01,-0.011,0.093,1.419,8.058,,2.949,1.562,-0.1,-0.006408
2020-05-08,-0.01,0.122,1.303,5.604,,1.439,3.125,-0.01,-0.004063
2020-05-15,-0.002,0.047,0.571,2.57,,4.249,3.03,-0.06,-0.002
2020-05-22,0.05,0.047,0.0,3.499,,3.945,3.125,-0.065,4e-06
2020-05-29,0.004,0.026,0.857,2.656,,4.401,3.333,0.005,0.0
2020-06-05,-0.002,0.0,0.715,0.0,,4.0,3.125,-0.08455,-0.005001
2020-06-12,0.003,-0.002,0.786,4.217,,3.602,3.125,-0.1,-0.006074
2020-06-19,-0.016,0.073,0.821,1.428,,4.203,3.333,-0.0145,-0.002858
2020-06-26,0.0,-0.029,0.642,2.853,,3.649,3.042,-0.1515,-0.005722
2020-07-03,-0.001,-0.013,0.571,4.241,,2.701,3.03,-0.11455,-0.004288
2020-07-10,-0.007,-0.022,1.106,3.088,,3.25,3.03,-0.08,-0.001715
2020-07-17,-0.011,0.362,0.892,3.333,,3.703,2.121,-0.05,-0.003144
2020-07-24,-0.011,0.305,0.998,2.124,,5.15,3.333,-0.019,-0.002866
2020-07-31,0.001,0.028,0.714,2.558,,5.5,2.941,-0.1,-0.000716
