date,KRW,THB,INR,PHP,CNH,IDR,MYR,SGD,TWD,CLP,PLN,BRL,HUF,MXN,EUR,JPY,CAD
2013-01-04,1.93,2.1322,6.21,-0.28,2.3273,4.41,2.0725,0.2724,-1.2515,4.89,3.2137,5.9735,3.6348,3.9547,-0.0048,-0.0321,1.2707
2013-01-11,2.07,2.0636,6.25,-0.49,2.0718,5.06,2.1448,0.2708,-1.4766,4.73,3.2951,5.9314,3.6715,3.9384,0.0222,-0.1116,1.2324
2013-01-18,2.09,2.0398,6.33,-0.49,2.1361,4.43,2.1826,0.3087,-1.2213,4.76,3.2032,5.7871,3.6417,3.8174,0.0681,-0.1184,1.2304
2013-01-25,1.94,2.0475,6.0,-0.41,2.0829,4.84,2.1743,0.3018,-0.9353,4.76,3.2054,5.804,3.7165,3.8769,0.1766,-0.0783,1.1815
2013-02-01,1.9,2.0422,6.34,-0.08,2.2391,4.57,2.2826,0.3236,-0.8607,4.7,3.1982,5.7671,3.702,3.8148,0.1872,-0.088,1.193
2013-02-08,1.91,2.0014,6.45,-0.19,1.959,4.57,2.2382,0.287,-0.6734,4.8,3.1201,5.8982,3.7015,3.6386,0.0963,-0.1121,1.1487
2013-02-15,2.02,2.0083,6.39,-0.1,1.9419,4.29,2.3361,0.2924,-0.747,4.88,3.1266,5.9298,3.6662,3.5615,0.0881,-0.0942,1.1663
2013-02-22,2.01,1.9159,6.57,-0.13,1.9511,4.52,2.2614,0.2732,-0.936,4.89,3.1769,5.8427,3.6677,3.6236,0.0249,-0.087,1.1238
2013-03-01,2.0,1.9458,6.65,-0.11,2.1782,4.47,2.1866,0.2727,-1.0092,4.95,3.215,5.7728,3.4765,3.6025,-0.0279,-0.1079,1.0826
2013-03-08,2.01,2.0502,6.72,0.12,2.2775,4.74,2.2069,0.2562,-0.9895,5.16,3.0753,6.147,3.6813,3.5284,0.0211,-0.0731,1.1281
2013-03-15,2.01,1.9652,6.66,0.02,2.2037,4.89,2.2994,0.23,-0.9479,4.97,2.9674,5.873,3.4292,3.6058,0.0199,-0.0694,1.1309
2013-03-22,2.0,2.0208,6.84,0.13,2.2114,5.71,2.364,0.284,-0.7659,5.05,2.8131,5.9199,3.3711,3.6611,0.0338,-0.0661,1.1431
2013-03-29,1.87,1.9835,6.91,-0.18,2.1746,5.33,2.0483,0.2535,-0.8534,5.0,2.7145,5.8815,3.2523,3.6408,0.0056,-0.0665,1.1503
2013-04-05,1.55,1.9831,7.19,0.16,2.051,5.4,2.203,0.2082,-0.8866,4.95,2.722,6.0991,3.1523,3.7278,-0.0037,-0.0666,1.1369
2013-04-12,1.73,1.994,6.8,1.16,1.8432,4.88,2.1878,0.2356,-0.8433,4.67,2.7463,6.512,3.2788,3.6795,0.0041,-0.0628,1.1366
2013-04-19,1.69,2.0081,6.42,0.01,1.6592,4.94,2.1785,0.2299,-0.9172,5.0,2.4726,6.0964,2.7928,3.4963,0.0003,-0.0497,1.1138
2013-04-26,1.44,2.0722,6.58,0.14,1.5763,4.63,2.2192,0.2365,-1.0652,4.87,2.2682,6.1771,2.8378,3.3561,-0.0243,-0.0523,1.1187
2013-05-03,1.53,2.1752,6.32,-0.01,1.5231,5.25,2.2302,0.246,-0.8709,4.81,2.2394,6.1928,2.707,3.3283,-0.012,-0.022,1.1276
2013-05-10,1.53,2.1073,6.22,0.27,1.8787,4.71,2.2718,0.2446,-0.6084,4.73,2.1867,6.1855,2.8858,3.2397,0.0331,-0.0089,1.1572
2013-05-17,1.49,2.18,5.98,0.43,1.9971,5.83,2.3361,0.2799,-0.1211,4.71,2.1284,6.5146,2.8413,3.2161,-0.0342,-0.0045,1.1586
2013-05-24,1.46,2.1103,6.29,0.83,2.1461,5.94,2.2576,0.2876,-0.2289,4.72,2.1796,6.6137,3.0998,3.2539,0.0061,-0.016,1.1844
2013-05-31,1.6,2.1721,6.48,1.17,2.2811,7.48,2.2585,0.2773,-0.1492,4.6,2.2064,7.2496,3.1276,3.411,0.0324,0.0017,1.2131
2013-06-07,1.59,2.1254,5.68,1.34,2.3696,8.04,2.3743,0.2396,-0.5737,4.4,2.4357,7.6717,3.2946,3.3207,0.1046,-0.0197,1.2333
2013-06-14,1.4,2.1713,6.06,0.97,2.4985,7.61,2.2074,0.2414,-0.4552,4.45,2.3373,8.1232,3.3328,3.3491,0.0791,-0.0383,1.2206
2013-06-21,1.33,2.2567,6.31,2.16,2.8662,10.68,2.5865,0.3228,-0.0631,4.55,2.5362,7.8725,3.7382,3.5267,0.147,-0.0628,1.2575
2013-06-28,1.5,2.2167,6.55,0.68,2.5581,8.99,2.187,0.3145,-0.37,4.63,2.5086,8.1475,3.4861,3.4454,0.1386,-0.0358,1.2572
2013-07-05,1.07,2.1699,6.93,0.97,2.6951,10.74,2.2186,0.3384,-0.1488,4.75,2.5665,8.1146,3.4574,3.4693,0.0927,-0.0486,1.2465
2013-07-12,1.59,2.1166,7.2,0.89,2.5632,10.57,2.2087,0.2807,-0.348,4.76,2.5115,8.2417,3.4338,3.4441,0.1161,-0.0333,1.2185
2013-07-19,1.49,2.0297,7.72,0.84,2.5416,11.51,2.2376,0.285,-0.2764,4.59,2.4691,8.3538,3.4122,3.4507,0.1247,-0.0241,1.2314
2013-07-26,1.67,1.9795,8.37,0.74,2.4724,10.83,2.2671,0.2755,-0.3444,4.67,2.491,8.2368,3.2717,3.4315,0.1356,-0.0228,1.2577
2013-08-02,1.65,2.0602,8.55,0.97,2.5676,10.2,2.4181,0.2798,-0.2075,4.57,2.4475,8.422,3.2066,3.5654,0.1473,-0.0209,1.2546
2013-08-09,1.62,2.047,8.58,0.96,2.4666,10.42,2.3253,0.2766,-0.3335,4.71,2.4709,8.368,3.1751,3.478,0.164,-0.0258,1.2282
2013-08-16,1.74,2.1229,8.97,0.94,2.3742,11.81,2.5196,0.2749,-0.4462,4.74,2.5492,8.6133,3.263,3.4838,0.2049,-0.0203,1.244
2013-08-23,1.83,2.8641,8.71,1.05,2.363,13.21,2.4589,0.2924,-0.5097,4.8,2.6229,8.1208,3.3831,3.513,0.206,-0.0189,1.2255
2013-08-30,1.88,3.6153,9.87,0.99,2.2915,12.45,2.3718,0.2716,-0.6339,4.9,2.5839,8.8585,3.2469,3.4771,0.1816,-0.0096,1.2335
2013-09-06,1.97,3.4555,8.84,1.0,2.1113,13.3,2.4971,0.2684,-0.8943,4.77,2.564,8.7944,3.2074,3.3824,0.1732,-0.0115,1.2681
2013-09-13,2.08,2.5435,8.78,0.85,1.9281,10.92,2.3639,0.2514,-0.9349,4.88,2.5401,8.8966,2.9375,3.2693,0.1702,-0.0106,1.2573
2013-09-20,2.0,2.1654,8.32,0.02,1.7399,9.68,2.2262,0.2352,-1.1998,4.9,2.5258,8.8536,2.7778,3.1729,0.2056,-0.0142,1.2279
2013-09-27,2.07,2.3954,8.86,0.09,1.7368,10.33,2.5832,0.2425,-1.0259,4.92,2.5308,8.7867,2.7634,3.1521,0.2022,-0.0139,1.2374
2013-10-04,2.1,2.417,8.33,-0.66,1.6978,7.85,2.0776,0.24,-0.9644,4.99,2.5348,9.2075,2.5964,3.0661,0.206,-0.0299,1.2408
2013-10-11,2.09,2.5277,8.14,0.15,1.5313,4.19,2.3199,0.2512,-0.967,4.94,2.5072,9.1855,2.569,3.0156,0.2282,-0.0352,1.2476
2013-10-18,2.05,2.4046,8.46,-0.27,1.4386,8.37,2.0098,0.2165,-1.2529,4.63,2.511,9.4611,2.4044,2.9411,0.2227,-0.0168,1.2443
2013-10-25,2.06,2.2337,8.82,0.03,1.5803,4.99,2.1938,0.208,-1.2599,4.37,2.4744,9.3512,2.4829,3.1189,0.2586,-0.0151,1.2171
2013-11-01,2.12,2.3141,9.09,-0.08,1.4066,6.06,2.0147,0.2043,-1.0739,4.29,2.4506,9.2893,2.4582,3.1483,0.1935,-0.0297,1.2244
2013-11-08,2.05,2.6604,9.64,-0.31,1.4914,7.37,2.2214,0.2123,-0.9728,4.35,2.4597,9.5398,2.667,3.2797,0.1817,-0.0248,1.2342
2013-11-15,1.98,2.4961,9.62,-0.36,1.5688,7.05,2.0983,0.1978,-0.9882,4.2,2.4902,9.2838,2.5298,3.2162,0.1814,-0.018,1.2337
2013-11-22,1.99,2.7096,9.85,-0.37,1.4883,7.43,2.1379,0.175,-1.0709,4.13,2.5133,9.2461,2.4198,3.237,0.1924,-0.0098,1.2106
2013-11-29,2.02,3.0842,8.94,-0.49,1.3418,8.95,2.1322,0.1927,-1.0579,4.07,2.5096,9.0863,2.293,3.1408,0.1827,-0.0151,1.1883
2013-12-06,1.92,3.0127,8.96,0.02,1.3239,9.85,2.1938,0.1822,-1.0856,4.2,2.5494,9.1156,2.2109,3.1283,0.2335,-0.0203,1.1644
