date,KRW,THB,INR,PHP,CNH,IDR,MYR,SGD,TWD,PLN,BRL,HUF,MXN,EUR,JPY,CAD,CLP
2013-01-04,2.52,2.143,7.3,-2.19,1.9162,3.18,1.8557,0.2922,-0.6011,4.0235,6.0502,5.0434,3.6709,-0.0882,-0.0756,0.9553,4.63
2013-01-11,2.45,1.9297,6.47,-2.9,2.3173,5.31,2.1805,0.2807,-2.7684,3.8663,5.8448,5.1289,3.7395,-0.072,-0.0845,0.9818,4.93
2013-01-18,2.68,2.0472,6.66,-0.97,2.2623,1.86,2.5012,0.2747,-1.4197,3.7623,5.9208,5.3979,3.8269,-0.0594,-0.0705,0.9864,5.01
2013-01-25,2.6,2.1371,4.05,-0.38,2.1263,2.78,2.8052,0.246,-2.3928,3.8723,5.1237,4.8677,3.7459,-0.0281,-0.0056,0.9836,5.8
2013-02-01,2.5,1.9953,6.19,0.16,3.4547,2.4,3.3064,0.265,1.303,3.8285,4.1322,5.0377,3.8824,-0.028,-0.0178,0.989,5.98
2013-02-08,2.5,2.1717,8.2,0.18,2.0245,1.36,2.8802,0.2147,1.5483,3.7176,4.6729,5.1967,3.8392,-0.0509,-0.0447,0.9888,6.14
2013-02-15,2.68,2.4418,7.53,-0.43,1.777,1.33,3.0032,0.2419,1.925,3.6651,3.7484,4.711,3.9527,-0.0403,-0.053,1.0039,6.23
2013-02-22,2.52,2.0672,7.46,0.1,1.7427,2.92,2.9098,0.2298,0.867,3.6288,3.6793,4.9854,3.8748,-0.058,-0.0416,0.9881,5.93
2013-03-01,2.59,2.0267,7.25,0.41,2.0004,1.16,2.3625,0.2161,0.5754,3.6081,4.7867,4.6951,3.8284,-0.0469,-0.0266,0.9945,5.79
2013-03-08,2.56,2.4428,9.13,1.08,2.4485,2.31,2.4236,0.2509,-0.1132,3.3378,4.6967,4.9548,3.6406,0.0514,0.0477,1.0971,5.95
