date,US,KRW,THB,IDR,PHP,CNH,MYR,SGD,TWD,EUR,CAD,JPY,CLP,PLN,BRL,HUF,MXN
2013-01-04,0.139546,2.7717,2.802,4.2158,1.8936,3.0002,2.9969,0.268,0.7216,0.0541,1.1366,0.105165,,3.2837,0.6766,5.4675,
2013-01-11,0.137014,2.7604,2.8131,4.2569,1.726,2.9095,3.0151,0.2215,0.7135,0.0765,1.1151,0.088477,,3.5199,0.7705,5.4596,
2013-01-18,0.139551,2.7489,2.777,4.3649,1.6986,2.9134,3.0133,0.2438,0.7133,0.102,1.1073,0.085424,,3.4779,0.7591,5.3285,
2013-01-25,0.137008,2.7287,2.7708,4.2702,1.712,2.894,3.0098,0.2481,0.7182,0.1501,1.0849,0.086716,,3.3648,1.2468,5.3443,
2013-02-01,0.134466,2.7798,2.7648,4.3692,1.614,2.9343,3.0192,0.2485,0.7456,0.1488,1.1095,0.089017,,3.3588,1.4508,5.4129,
2013-02-08,0.147174,2.7427,2.679,4.2819,1.6281,2.8766,3.0148,0.2406,0.7315,0.1132,1.048,0.053208,,3.4751,1.8966,5.2329,
2013-02-15,0.154791,2.713,2.7079,4.2578,1.6684,2.8961,3.0004,0.2392,0.7336,0.1134,1.0663,0.055063,,3.4379,2.2965,5.2274,
2013-02-22,0.157329,2.6738,2.7098,4.2396,1.5735,2.8669,2.9704,0.1727,0.7599,0.0921,1.0352,0.057573,,3.434,2.4863,5.1587,
2013-03-01,0.154785,2.6482,2.7546,4.207,1.6043,2.9206,2.9612,0.1897,0.7477,0.0495,0.9839,0.048415,,3.4076,2.3059,4.9452,
2013-03-08,0.152255,2.6691,2.7689,4.1574,1.3589,2.8855,2.9352,0.1694,0.7478,0.0719,1.0173,0.038324,,3.2244,2.6826,4.8448,
2013-03-15,0.144631,2.6418,2.7603,4.2196,1.3082,2.8942,2.9269,0.1467,0.7601,0.0609,1.0197,0.033762,,3.0782,2.5402,4.8435,
2013-03-22,0.131929,2.6326,2.774,4.1904,1.3146,2.8813,2.9176,0.1601,0.7501,0.0572,1.0109,0.034734,,3.0731,2.5112,4.8305,
2013-03-29,0.129388,2.5863,2.7648,4.3674,1.3199,2.8768,2.9155,0.1766,0.7486,0.0432,1.0182,0.041323,,3.0948,2.5095,4.6577,
2013-04-05,0.131934,2.4948,2.7647,4.1872,1.1926,2.8586,2.9397,0.1538,0.7261,0.0383,1.0038,0.060373,,3.0069,2.4632,4.383,
2013-04-12,0.119235,2.6979,2.7932,4.4408,1.233,2.8211,2.9548,0.1358,0.7025,0.037,0.9917,0.102715,,3.0551,2.6769,4.3988,
2013-04-19,0.111616,2.664,2.7839,4.2667,1.0681,2.8606,2.9527,0.1624,0.6906,0.0399,0.9873,0.100796,,2.8895,2.5882,4.2149,
2013-04-26,0.106537,2.6169,2.7585,4.1481,1.0444,2.9142,2.9779,0.1826,0.6521,0.0285,0.9946,0.098515,,2.6953,2.6587,4.2621,
2013-05-03,0.109081,2.5623,2.6061,4.0625,1.1707,2.8745,2.9595,0.1687,0.6237,0.0222,1.0111,0.096025,,2.6277,2.7213,4.2613,
2013-05-10,0.111618,2.5895,2.6056,4.2848,1.1755,2.914,2.9282,0.1765,0.6221,0.045,1.0347,0.095411,,2.5957,2.7513,4.273,
2013-05-17,0.106539,2.587,2.6103,4.2139,1.3147,2.9364,2.9587,0.1694,0.6104,0.0157,1.0333,0.116435,,2.5828,2.8333,4.2353,
2013-05-24,0.109076,2.6105,2.6259,4.3558,1.4662,2.9545,2.9944,0.2779,0.6202,0.0413,1.0425,0.114139,,2.6021,2.9225,4.2339,
2013-05-31,0.134474,2.6984,2.5766,4.3825,1.9727,2.9404,2.968,0.2548,0.6238,0.0624,1.0637,0.114139,,2.6695,2.8765,4.2438,
2013-06-07,0.129392,2.6501,2.5362,4.4913,1.9336,3.0271,2.9413,0.1552,0.6224,0.1047,1.0866,0.114139,,2.7053,3.5702,4.2094,
2013-06-14,0.116694,2.6371,2.6219,3.4116,1.9684,3.2106,3.0565,0.1874,0.6221,0.0948,1.0631,,,2.6544,3.7364,4.3369,
2013-06-21,0.124309,2.7925,2.6994,5.774,2.3248,3.6936,3.1307,0.2618,0.62,0.154,1.1149,,,2.7826,4.5286,4.596,
2013-06-28,0.144634,2.713,2.6399,6.0199,2.2737,3.5863,3.1646,0.1412,0.5978,0.1226,1.1143,,,2.7911,3.7227,4.2945,
2013-07-05,0.142091,2.7059,2.6404,6.0198,1.5676,3.3771,3.1039,0.084,0.6223,0.0759,1.1163,,,2.7233,3.6336,4.2218,
2013-07-12,0.111618,2.6579,2.6725,6.6168,1.2224,3.4651,3.0985,0.0892,0.6339,0.0782,1.0705,,,2.6743,3.8203,4.1713,
2013-07-19,0.098924,2.6499,2.6579,6.7345,0.8734,3.4777,3.1914,0.0994,0.6296,0.077,1.0465,,,2.6061,3.8041,4.288,
2013-07-26,0.11162,2.7157,2.6441,6.628,0.9167,3.6866,3.1594,0.113,0.6163,0.1037,1.0818,,,2.6006,3.5682,4.1139,
2013-08-02,0.106542,2.716,2.6423,6.4542,0.7069,3.6427,3.1133,0.1143,0.6209,0.101,1.0827,,,2.5859,3.69,4.1486,
2013-08-09,0.10654,2.6712,2.6377,6.4849,0.7265,3.6269,3.0963,0.1222,0.6472,0.1082,1.0733,,,2.6562,3.443,4.2115,
2013-08-16,0.119233,2.7094,2.646,6.7755,1.178,3.722,3.1026,0.135,0.6582,0.1371,1.1016,,,2.7115,3.8145,4.2896,
2013-08-23,0.131935,2.694,2.6107,6.9633,1.2401,3.7841,3.0831,0.1505,0.6541,0.1592,1.0836,,,2.7,3.5615,4.4083,
2013-08-30,0.121775,2.6854,2.7418,7.438,1.3327,3.7718,3.124,0.1583,0.6471,0.1478,1.0803,0.10324,,2.6891,3.742,4.2065,
