date,US,KRW,THB,IDR_GT,PHP,CNH,IDR_BV,MYR,SGD,TWD
1990-01-05,,,,,,,,,,
1990-01-12,,,,,,,,,,
1990-01-19,,,,,,,,,,
1990-01-26,,,,,,,,,,
1990-02-02,,,,,,,,,,
1990-02-09,,,,,,,,,,
1990-02-16,,,,,,,,,,
1990-02-23,,,,,,,,,,
1990-03-02,,,,,,,,,,
1990-03-09,,,,,,,,,,
1990-03-16,,,,,,,,,,
1990-03-23,,,,,,,,,,
1990-03-30,,,,,,,,,,
1990-04-06,,,,,,,,,,
1990-04-13,,,,,,,,,,
1990-04-20,,,,,,,,,,
1990-04-27,,,,,,,,,,
1990-05-04,,,,,,,,,,
1990-05-11,,,,,,,,,,
1990-05-18,,,,,,,,,,
1990-05-25,,,,,,,,,,
1990-06-01,,,,,,,,,,
1990-06-08,,,,,,,,,,
1990-06-15,,,,,,,,,,
1990-06-22,,,,,,,,,,
1990-06-29,,,,,,,,,,
1990-07-06,,,,,,,,,,
1990-07-13,,,,,,,,,,
1990-07-20,,,,,,,,,,
1990-07-27,,,,,,,,,,
1990-08-03,,,,,,,,,,
1990-08-10,,,,,,,,,,
1990-08-17,,,,,,,,,,
1990-08-24,,,,,,,,,,
1990-08-31,0.0,,,,,,,,,
1990-09-07,0.0,,,,,,,,,
1990-09-14,0.0,,,,,,,,,
1990-09-21,0.0,,,,,,,,,
1990-09-28,0.0,,,,,,,,,
1990-10-05,0.0,,,,,,,,,
1990-10-12,0.0,,,,,,,,,
1990-10-19,0.0,,,,,,,,,
1990-10-26,0.0,,,,,,,,,
1990-11-02,0.0,,,,,,,,,
1990-11-09,0.0,,,,,,,,,
1990-11-16,0.0,,,,,,,,,
1990-11-23,0.0,,,,,,,,,
1990-11-30,0.0,,,,,,,,,
1990-12-07,0.0,,,,,,,,,
1990-12-14,0.0,,,,,,,,,
1990-12-21,0.0,,,,,,,,,
1990-12-28,0.0,,,,,,,,,
1991-01-04,0.0,,,,,,,,,
1991-01-11,0.0,,,,,,,,,
1991-01-18,0.0,,,,,,,,,
1991-01-25,0.0,,,,,,,,,
1991-02-01,0.0,,,,,,,,,
1991-02-08,0.0,,,,,,,,,
1991-02-15,0.0,,,,,,,,,
1991-02-22,0.0,,,,,,,,,
1991-03-01,0.0,,,,,,,,,
1991-03-08,0.0,,,,,,,,,
1991-03-15,0.0,,,,,,,,,
1991-03-22,0.0,,,,,,,,,
1991-03-29,0.0,,,,,,,,,
1991-04-05,0.0,,,,,,,,,
1991-04-12,0.0,,,,,,,,,
1991-04-19,0.0,,,,,,,,,
1991-04-26,0.0,,,,,,,,,
1991-05-03,0.0,,,,,,,,,
1991-05-10,0.0,,,,,,,,,
1991-05-17,0.0,,,,,,,,,
1991-05-24,0.0,,,,,,,,,
1991-05-31,0.0,,,,,,,,,
1991-06-07,0.0,,,,,,,,,
1991-06-14,0.0,,,,,,,,,
1991-06-21,0.0,,,,,,,,,
1991-06-28,0.0,,,,,,,,,
1991-07-05,0.0,,,,,,,,,
1991-07-12,0.0,,,,,,,,,
1991-07-19,0.0,,,,,,,,,
1991-07-26,0.0,,,,,,,,,
1991-08-02,0.0,,,,,,,,,
1991-08-09,0.0,,,,,,,,,
1991-08-16,0.0,,,,,,,,,
1991-08-23,0.0,,,,,,,,,
1991-08-30,0.0,,,,,,,,,
1991-09-06,0.0,,,,,,,,,
1991-09-13,0.0,,,,,,,,,
1991-09-20,0.0,,,,,,,,,
1991-09-27,6.02382,,,,,,,,,
1991-10-04,5.88663,,,,,,,,,
1991-10-11,5.88319,,,,,,,,,
1991-10-18,5.91533,,,,,,,,,
1991-10-25,5.9328,,,,,,,,,
1991-11-01,5.64621,,,,,,,,,
1991-11-08,5.62425,,,,,,,,,
1991-11-15,5.4844,,,,,,,,,
1991-11-22,5.47891,,,,,,,,,
1991-11-29,5.37492,,,,,,,,,
1991-12-06,5.1793,,,,,,,,,
1991-12-13,5.05772,,,,,,,,,
1991-12-20,0.0,,,,,,,,,
1991-12-27,0.0,,,,,,,,,
1992-01-03,0.0,,,,,,,,,
1992-01-10,0.0,,,,,,,,,
1992-01-17,0.0,,,,,,,,,
1992-01-24,5.15784,,,,,,,,,
1992-01-31,5.10881,,,,,,,,,
1992-02-07,0.0,,,,,,,,,
1992-02-14,0.0,,,,,,,,,
1992-02-21,0.0,,,,,,,,,
1992-02-28,0.0,,,,,,,,,
1992-03-06,5.56684,,,,,,,,,
1992-03-13,5.82486,,,,,,,,,
1992-03-20,5.75194,,,,,,,,,
1992-03-27,5.55033,,,,,,,,,
1992-04-03,5.27241,,,,,,,,,
1992-04-10,5.04544,,,,,,,,,
1992-04-17,5.19471,,,,,,,,,
1992-04-24,5.11441,,,,,,,,,
1992-05-01,5.05978,,,,,,,,,
1992-05-08,5.00472,,,,,,,,,
1992-05-15,4.84157,,,,,,,,,
1992-05-22,4.90958,,,,,,,,,
1992-05-29,4.89049,,,,,,,,,
1992-06-05,4.84109,,,,,,,,,
1992-06-12,4.77066,,,,,,,,,
1992-06-19,4.73918,,,,,,,,,
1992-06-26,4.57335,,,,,,,,,
1992-07-03,4.2311,,,,,,,,,
1992-07-10,4.07456,,,,,,,,,
1992-07-17,3.95012,,,,,,,,,
1992-07-24,3.93938,,,,,,,,,
1992-07-31,4.05717,,,,,,,,,
1992-08-07,3.81714,,,,,,,,,
1992-08-14,3.73696,,,,,,,,,
1992-08-21,3.74482,,,,,,,,,
1992-08-28,3.78623,,,,,,,,,
1992-09-04,3.51716,,,,,,,,,
1992-09-11,3.47847,,,,,,,,,
1992-09-18,3.43538,,,,,,,,,
1992-09-25,3.39192,,,,,,,,,
1992-10-02,3.31116,,,,,,,,,
1992-10-09,3.5668,,,,,,,,,
1992-10-16,3.62538,,,,,,,,,
1992-10-23,3.89755,,,,,,,,,
1992-10-30,3.8831,,,,,,,,,
1992-11-06,3.93427,,,,,,,,,
1992-11-13,4.06536,,,,,,,,,
1992-11-20,4.05297,,,,,,,,,
1992-11-27,4.15095,,,,,,,,,
1992-12-04,4.04143,,,,,,,,,
1992-12-11,4.04271,,,,,,,,,
1992-12-18,3.91418,,,,,,,,,
1992-12-25,3.81051,,,,,,,,,
1993-01-01,3.74808,,,,,,,,,
1993-01-08,3.71348,,,,,,,,,
1993-01-15,3.53676,,,,,,,,,
1993-01-22,3.50152,,,,,,,,,
1993-01-29,3.47655,,,,,,,,,
1993-02-05,3.42395,,,,,,,,,
1993-02-12,3.48173,,,,,,,,,
1993-02-19,3.28897,,,,,,,,,
1993-02-26,3.3505,,,,,,,,,
1993-03-05,3.40572,,,,,,,,,
1993-03-12,3.4186,,,,,,,,,
1993-03-19,3.34994,,,,,,,,,
1993-03-26,3.36224,,,,,,,,,
1993-04-02,3.30766,,,,,,,,,
1993-04-09,3.22171,,,,,,,,,
1993-04-16,3.18181,,,,,,,,,
1993-04-23,3.13999,,,,,,,,,
1993-04-30,3.15952,,,,,,,,,
1993-05-07,3.15796,,,,,,,,,
1993-05-14,3.24611,,,,,,,,,
1993-05-21,3.35107,,,,,,,,,
1993-05-28,3.47935,,,,,,,,,
1993-06-04,3.5289,,,,,,,,,
1993-06-11,3.38964,,,,,,,,,
1993-06-18,3.39545,,,,,,,,,
1993-06-25,3.34882,,,,,,,,,
1993-07-02,3.23687,,,,,,,,,
1993-07-09,3.26065,,,,,,,,,
1993-07-16,3.26293,,,,,,,,,
1993-07-23,3.37344,,,,,,,,,
1993-07-30,3.31632,,,,,,,,,
1993-08-06,3.30332,,,,,,,,,
1993-08-13,3.20135,,,,,,,,,
1993-08-20,3.16442,,,,,,,,,
1993-08-27,3.21542,,,,,,,,,
1993-09-03,3.70981,,,,,,,,,
1993-09-10,3.78267,,,,,,,,,
1993-09-17,3.87402,,,,,,,,,
1993-09-24,3.85036,,,,,,,,,
1993-10-01,3.84212,,,,,,,,,
1993-10-08,3.78285,,,,,,,,,
1993-10-15,3.79041,,,,,,,,,
1993-10-22,3.90744,,,,,,,,,
1993-10-29,3.99812,,,,,,,,,
1993-11-05,4.17364,,,,,,,,,
1993-11-12,4.10074,,,,,,,,,
