date,USD,JPY,CAD,APAC,BRL,CLP,HUF,PLN,MXN,CNH,MYR,IDR,INR,PHP,KRW,SGD,THB,TWD
2013-01-04,-24.6,-6.73,-29.31,-17.75,1.33,-23.5,-23.67,-22.51,-55.41,-17.83,-26.62,-10.95,-28.28,-28.24,-16.69,-7.47,-18.83,9.43
2013-01-11,-24.6,-6.73,-29.31,-17.75,1.33,-23.5,-23.67,-22.51,-55.41,-17.83,-26.62,-10.95,-28.28,-28.24,-16.69,-7.47,-18.83,9.43
2013-01-18,-24.6,-6.73,-29.31,-17.75,1.33,-23.5,-23.67,-22.51,-55.41,-17.83,-26.62,-10.95,-28.28,-28.24,-16.69,-7.47,-18.83,9.43
2013-02-01,-18.07,6.01,-39.0,-14.17,4.11,-26.45,-29.06,-27.24,-77.08,-12.08,-35.38,-14.19,-38.34,-32.42,-14.04,14.16,-4.73,14.55
2013-02-08,-18.07,6.01,-39.0,-14.17,4.11,-26.45,-29.06,-27.24,-77.08,-12.08,-35.38,-14.19,-38.34,-32.42,-14.04,14.16,-4.73,14.55
2013-02-15,-18.07,6.01,-39.0,-14.17,4.11,-26.45,-29.06,-27.24,-77.08,-12.08,-35.38,-14.19,-38.34,-32.42,-14.04,14.16,-4.73,14.55
2013-03-01,-16.31,1.4,-41.77,-16.07,-4.09,-15.55,-33.46,-33.81,-42.76,-10.16,-23.26,0.77,-59.5,-27.26,-11.8,-4.38,-6.87,5.0
2013-03-08,-16.31,1.4,-41.77,-16.07,-4.09,-15.55,-33.46,-33.81,-42.76,-10.16,-23.26,0.77,-59.5,-27.26,-11.8,-4.38,-6.87,5.0
2013-03-15,-16.31,1.4,-41.77,-16.07,-4.09,-15.55,-33.46,-33.81,-42.76,-10.16,-23.26,0.77,-59.5,-27.26,-11.8,-4.38,-6.87,5.0
2013-03-29,-6.36,9.69,-2.38,-9.45,-15.58,-26.54,-35.74,-36.5,-46.98,-5.61,-19.56,8.49,-31.11,-18.59,-30.63,28.53,-18.62,9.15
2013-04-05,-6.36,9.69,-2.38,-9.45,-15.58,-26.54,-35.74,-36.5,-46.98,-5.61,-19.56,8.49,-31.11,-18.59,-30.63,28.53,-18.62,9.15
2013-04-12,-6.36,9.69,-2.38,-9.45,-15.58,-26.54,-35.74,-36.5,-46.98,-5.61,-19.56,8.49,-31.11,-18.59,-30.63,28.53,-18.62,9.15
2013-05-03,-25.27,0.48,-3.7,-17.83,-20.68,-15.56,-34.48,-38.91,-28.46,-12.99,-16.45,5.39,-49.45,-24.31,-41.34,19.95,-27.29,-4.85
2013-05-10,-25.27,0.48,-3.7,-17.83,-20.68,-15.56,-34.48,-38.91,-28.46,-12.99,-16.45,5.39,-49.45,-24.31,-41.34,19.95,-27.29,-4.85
2013-05-17,-25.27,0.48,-3.7,-17.83,-20.68,-15.56,-34.48,-38.91,-28.46,-12.99,-16.45,5.39,-49.45,-24.31,-41.34,19.95,-27.29,-4.85
2013-05-31,-26.22,5.68,-18.59,-24.74,-21.94,-39.8,-33.3,-35.69,-29.46,-12.5,-13.83,0.45,-82.44,-33.46,-39.96,-40.54,-34.62,-10.52
2013-06-07,-26.22,5.68,-18.59,-24.74,-21.94,-39.8,-33.3,-35.69,-29.46,-12.5,-13.83,0.45,-82.44,-33.46,-39.96,-40.54,-34.62,-10.52
2013-06-14,-26.22,5.68,-18.59,-24.74,-21.94,-39.8,-33.3,-35.69,-29.46,-12.5,-13.83,0.45,-82.44,-33.46,-39.96,-40.54,-34.62,-10.52
2013-06-28,-28.45,11.37,-24.38,-28.99,-15.32,-40.19,-32.63,-38.05,-33.06,-23.68,-4.96,-3.7,-82.46,-36.81,-38.82,-37.97,-32.46,-10.62
2013-07-05,-28.45,11.37,-24.38,-28.99,-15.32,-40.19,-32.63,-38.05,-33.06,-23.68,-4.96,-3.7,-82.46,-36.81,-38.82,-37.97,-32.46,-10.62
2013-07-12,-28.45,11.37,-24.38,-28.99,-15.32,-40.19,-32.63,-38.05,-33.06,-23.68,-4.96,-3.7,-82.46,-36.81,-38.82,-37.97,-32.46,-10.62
2013-08-02,-5.42,16.79,-22.34,-24.3,-14.45,-27.08,-26.67,-30.83,-38.83,-16.99,-10.85,-4.86,-75.2,-26.57,-32.65,-31.93,-33.19,-8.93
2013-08-09,-5.42,16.79,-22.34,-24.3,-14.45,-27.08,-26.67,-30.83,-38.83,-16.99,-10.85,-4.86,-75.2,-26.57,-32.65,-31.93,-33.19,-8.93
2013-08-16,-5.42,16.79,-22.34,-24.3,-14.45,-27.08,-26.67,-30.83,-38.83,-16.99,-10.85,-4.86,-75.2,-26.57,-32.65,-31.93,-33.19,-8.93
2013-08-30,-19.09,22.2,-22.43,-13.08,-12.15,-22.77,-34.41,-4.06,-46.45,-18.83,-9.13,10.53,-8.09,-39.83,-32.71,-34.63,-32.14,-22.94
2013-09-06,-19.09,22.2,-22.43,-13.08,-12.15,-22.77,-34.41,-4.06,-46.45,-18.83,-9.13,10.53,-8.09,-39.83,-32.71,-34.63,-32.14,-22.94
2013-09-13,-19.09,22.2,-22.43,-13.08,-12.15,-22.77,-34.41,-4.06,-46.45,-18.83,-9.13,10.53,-8.09,-39.83,-32.71,-34.63,-32.14,-22.94
2013-10-04,-19.13,20.62,-22.5,-11.24,-2.38,-25.88,-30.93,-10.93,-52.84,-14.59,-14.38,0.35,20.93,-46.59,-43.27,-29.12,-34.25,-34.74
2013-10-11,-19.13,20.62,-22.5,-11.24,-2.38,-25.88,-30.93,-10.93,-52.84,-14.59,-14.38,0.35,20.93,-46.59,-43.27,-29.12,-34.25,-34.74
2013-10-18,-19.13,20.62,-22.5,-11.24,-2.38,-25.88,-30.93,-10.93,-52.84,-14.59,-14.38,0.35,20.93,-46.59,-43.27,-29.12,-34.25,-34.74
