date,KR_SEMI_EXPORT_PX
2014-09-05,154.0
2014-09-12,154.0
2014-09-19,154.0
2014-09-26,154.0
2014-10-03,154.0
2014-10-10,154.0
2014-10-17,154.0
2014-10-24,154.0
2014-10-31,153.7
2014-11-07,153.7
2014-11-14,153.7
2014-11-21,153.7
2014-11-28,153.7
2014-12-05,153.0
2014-12-12,153.0
2014-12-19,153.0
2014-12-26,153.0
2015-01-02,151.8
2015-01-09,151.8
2015-01-16,151.8
2015-01-23,151.8
2015-01-30,151.8
2015-02-06,149.9
2015-02-13,149.9
2015-02-20,149.9
2015-02-27,149.9
2015-03-06,148.3
2015-03-13,148.3
2015-03-20,148.3
2015-03-27,148.3
2015-04-03,146.3
2015-04-10,146.3
2015-04-17,146.3
2015-04-24,146.3
2015-05-01,144.3
2015-05-08,144.3
2015-05-15,144.3
2015-05-22,144.3
2015-05-29,144.3
2015-06-05,143.0
2015-06-12,143.0
2015-06-19,143.0
2015-06-26,143.0
2015-07-03,141.0
2015-07-10,141.0
2015-07-17,141.0
2015-07-24,141.0
2015-07-31,138.8
2015-08-07,138.8
2015-08-14,138.8
2015-08-21,138.8
2015-08-28,138.8
2015-09-04,135.2
2015-09-11,135.2
2015-09-18,135.2
2015-09-25,135.2
2015-10-02,132.5
2015-10-09,132.5
2015-10-16,132.5
2015-10-23,132.5
2015-10-30,132.5
2015-11-06,130.2
2015-11-13,130.2
2015-11-20,130.2
2015-11-27,130.2
2015-12-04,128.0
2015-12-11,128.0
2015-12-18,128.0
2015-12-25,128.0
2016-01-01,127.6
2016-01-08,127.6
2016-01-15,127.6
2016-01-22,127.6
2016-01-29,127.6
2016-02-05,126.6
2016-02-12,126.6
2016-02-19,126.6
2016-02-26,126.6
2016-03-04,123.6
2016-03-11,123.6
2016-03-18,123.6
2016-03-25,123.6
2016-04-01,122.1
2016-04-08,122.1
2016-04-15,122.1
2016-04-22,122.1
2016-04-29,122.1
2016-05-06,115.7
2016-05-13,115.7
2016-05-20,115.7
2016-05-27,115.7
2016-06-03,113.7
2016-06-10,113.7
2016-06-17,113.7
2016-06-24,113.7
2016-07-01,112.8
2016-07-08,112.8
2016-07-15,112.8
2016-07-22,112.8
2016-07-29,112.8
2016-08-05,112.7
2016-08-12,112.7
2016-08-19,112.7
2016-08-26,112.7
2016-09-02,115.0
2016-09-09,115.0
2016-09-16,115.0
2016-09-23,115.0
2016-09-30,115.5
2016-10-07,115.5
2016-10-14,115.5
2016-10-21,115.5
2016-10-28,115.5
2016-11-04,120.7
2016-11-11,120.7
2016-11-18,120.7
2016-11-25,120.7
2016-12-02,123.1
2016-12-09,123.1
2016-12-16,123.1
2016-12-23,123.1
2016-12-30,123.1
2017-01-06,123.5
2017-01-13,123.5
2017-01-20,123.5
2017-01-27,123.5
2017-02-03,126.1
2017-02-10,126.1
2017-02-17,126.1
2017-02-24,126.1
2017-03-03,138.5
2017-03-10,138.5
2017-03-17,138.5
2017-03-24,138.5
2017-03-31,139.7
2017-04-07,139.7
2017-04-14,139.7
2017-04-21,139.7
2017-04-28,139.7
2017-05-05,146.7
2017-05-12,146.7
2017-05-19,146.7
2017-05-26,146.7
2017-06-02,147.1
2017-06-09,147.1
2017-06-16,147.1
2017-06-23,147.1
2017-06-30,147.0
2017-07-07,147.0
2017-07-14,147.0
2017-07-21,147.0
2017-07-28,147.0
2017-08-04,150.3
2017-08-11,150.3
2017-08-18,150.3
2017-08-25,150.3
2017-09-01,150.6
2017-09-08,150.6
2017-09-15,150.6
2017-09-22,150.6
2017-09-29,150.6
2017-10-06,150.7
2017-10-13,150.7
2017-10-20,150.7
2017-10-27,150.7
2017-11-03,159.5
2017-11-10,159.5
2017-11-17,159.5
2017-11-24,159.5
2017-12-01,160.3
2017-12-08,160.3
2017-12-15,160.3
2017-12-22,160.3
2017-12-29,160.3
2018-01-05,160.0
2018-01-12,160.0
2018-01-19,160.0
2018-01-26,160.0
2018-02-02,165.1
2018-02-09,165.1
2018-02-16,165.1
2018-02-23,165.1
2018-03-02,164.3
2018-03-09,164.3
2018-03-16,164.3
2018-03-23,164.3
2018-03-30,164.3
2018-04-06,163.3
2018-04-13,163.3
2018-04-20,163.3
2018-04-27,163.3
2018-05-04,163.0
2018-05-11,163.0
2018-05-18,163.0
2018-05-25,163.0
2018-06-01,162.1
2018-06-08,162.1
2018-06-15,162.1
