date,EUR,USD,CAD,JPY,KRW,MYR,ASIA,CNH,EM,IDR,INR,TWD,THB,SGD,PHP,CLP,HUF,MXN,PLN,BRL
2014-01-03,-6.19,-2.03,0.49,6.47,-2.19,0.72,2.85,-0.54,0.33,-0.31,1.77,-1.26,0.0,4.06,0.54,2.42,-0.21,-2.17,3.01,-0.19
2014-01-10,-5.52,-0.94,-7.26,5.52,-1.17,-2.27,-0.19,-6.93,-1.87,-1.73,1.3,-0.58,0.0,1.6,0.47,-0.08,2.48,-3.51,3.45,0.73
2014-01-17,-4.74,1.32,-5.96,4.14,1.95,1.0,1.23,-8.12,-2.07,-1.24,6.54,-2.74,0.0,0.71,2.33,-2.39,2.1,-5.67,2.24,0.04
2014-01-24,-3.44,-0.49,-3.0,6.2,2.65,-0.72,-2.39,-10.0,-4.12,-1.22,-2.33,-0.85,0.0,2.74,1.48,-2.65,-0.62,-6.42,0.93,0.76
2014-01-31,-1.35,0.41,3.25,5.6,0.04,-2.96,-4.1,-7.83,-5.18,-1.01,-7.25,1.72,0.0,1.78,1.27,-4.83,-3.78,-5.12,-1.23,-0.3
2014-02-07,-1.29,-0.35,5.6,5.94,0.83,-4.83,-5.05,-6.06,-6.08,-0.4,-2.83,-2.99,1.85,2.55,2.07,-2.62,-4.31,-5.17,-1.47,-1.68
2014-02-14,0.11,-2.36,6.32,5.92,-2.02,-6.73,-4.97,-2.88,-3.77,-1.16,-4.97,1.64,0.3,1.46,0.86,-1.24,-7.2,-0.13,-0.87,-1.36
2014-02-21,-0.28,-0.21,4.95,3.25,-1.21,-4.63,-1.07,0.9,-2.31,-2.13,3.83,-0.74,-1.09,0.02,-0.08,-0.12,-4.6,2.3,0.54,-1.81
2014-02-28,1.59,-1.92,-0.76,2.75,-0.27,-1.38,1.71,3.75,1.59,-0.62,6.83,-2.05,-3.28,-0.33,-1.27,3.48,-0.01,2.28,1.97,0.19
2014-03-07,-0.49,0.4,-0.83,-1.46,-2.33,0.74,4.89,6.0,4.08,-0.21,4.5,0.12,-1.38,-0.11,-2.2,1.06,0.54,3.88,2.01,2.36
2014-03-14,-0.61,0.95,1.16,-0.21,-0.28,4.54,2.99,3.28,2.57,1.44,-3.03,-2.64,1.29,-1.27,-2.31,-0.53,3.5,3.03,-1.22,3.08
2014-03-21,-1.99,-0.19,-1.73,1.19,-0.49,5.16,1.7,3.86,1.97,1.94,-7.35,-3.18,2.42,-0.82,-1.14,-1.21,5.99,0.87,-2.78,3.48
2014-03-28,-5.7,-1.22,2.91,0.11,-0.13,3.24,4.56,5.36,3.07,0.16,-0.76,-3.31,5.21,-6.95,0.57,-0.79,3.91,-0.67,0.47,2.27
2014-04-04,-5.31,-1.78,5.68,1.7,2.9,2.62,1.82,3.82,1.6,-0.34,-9.55,-3.29,3.35,-7.62,0.89,0.95,6.12,-2.91,1.62,-0.15
2014-04-11,-5.35,-1.56,6.32,1.16,4.82,-0.36,2.82,4.3,1.2,-2.41,-3.44,-2.46,2.73,-8.76,2.59,1.84,3.58,-4.76,1.89,-1.02
2014-04-18,-4.56,-1.0,10.0,1.07,4.42,-1.07,2.72,2.87,1.78,-1.35,-5.05,-3.28,2.36,-8.58,3.17,2.12,1.78,-2.38,3.94,-1.75
2014-04-25,-3.24,-0.2,7.63,2.4,0.6,-0.22,-0.37,0.74,-0.81,-2.3,-10.0,0.24,0.74,0.89,1.73,1.03,1.41,-2.12,1.91,-1.91
