date,EUR,USD,CAD,JPY
2013-01-04,2.79,-0.99,1.47,-2.28
2013-01-11,2.07,-0.03,1.38,-2.09
2013-01-18,2.28,0.09,1.47,-1.94
2013-01-25,2.4,-0.09,1.15,-1.78
2013-02-01,2.31,0.35,0.39,-1.88
2013-02-08,2.52,0.71,0.09,-1.72
2013-02-15,2.08,0.52,0.04,-1.45
2013-02-22,1.83,-0.1,-0.21,-1.46
2013-03-01,1.37,-0.63,-1.42,-1.65
2013-03-08,0.83,-1.07,-2.2,-1.62
2013-03-15,0.84,-1.3,-2.49,-2.09
2013-03-22,0.56,0.75,-2.66,-1.11
2013-03-29,0.39,0.89,-3.14,-1.03
2013-04-05,0.16,0.36,-2.96,-0.79
2013-04-12,0.25,0.35,-2.87,-0.73
2013-04-19,0.72,0.4,-2.7,-0.94
2013-04-26,0.63,-0.37,-2.4,-0.45
2013-05-03,0.68,-0.05,-2.13,-0.24
2013-05-10,0.65,-0.69,-1.64,-0.39
2013-05-17,0.4,-0.63,-1.34,-0.48
2013-05-24,-0.3,-0.89,-1.04,-0.64
2013-05-31,-0.35,-0.63,-0.99,-0.76
2013-06-07,0.23,-0.2,-1.11,-0.45
2013-06-14,1.15,0.82,-1.02,-0.07
2013-06-21,1.78,-2.14,-0.83,-0.16
2013-06-28,1.74,-2.3,-0.51,-0.11
2013-07-05,0.91,-2.06,-0.58,-0.32
2013-07-12,0.31,-1.0,-0.72,-0.59
2013-07-19,0.33,-0.72,-0.6,-0.67
2013-07-26,0.43,-0.57,-0.51,-0.66
2013-08-02,0.85,-1.21,-0.37,-0.55
2013-08-09,1.25,-1.09,-0.32,-0.46
2013-08-16,1.59,-0.53,-0.25,-0.23
2013-08-23,2.09,-0.6,-0.21,-0.18
2013-08-30,2.09,-0.45,-0.52,-0.32
2013-09-06,1.39,-0.74,-0.7,-0.32
2013-09-13,0.95,0.12,-0.67,-0.69
2013-09-20,1.81,0.86,-0.41,-0.34
2013-09-27,2.81,-1.08,0.09,-0.21
2013-10-04,2.58,-1.05,0.11,-0.17
2013-10-11,2.39,-1.02,0.15,-0.12
2013-10-18,2.25,-1.0,0.18,-0.07
2013-10-25,2.18,-0.64,0.04,0.55
2013-11-01,1.99,-0.79,-0.14,1.05
2013-11-08,1.09,-1.32,-0.13,0.9
2013-11-15,0.72,-1.76,-0.09,-0.24
2013-11-22,0.64,-1.49,-0.1,-1.03
2013-11-29,0.27,-1.56,-0.31,-1.6
2013-12-06,0.51,-1.54,-0.71,-2.47
2013-12-13,0.8,-0.92,-1.03,-1.73
2013-12-20,1.11,-1.97,-1.28,-1.21
2013-12-27,1.07,-1.88,-1.25,-1.21
2014-01-03,1.14,-2.44,-1.14,-1.43
2014-01-10,0.78,-2.33,-1.2,-0.78
2014-01-17,0.58,-1.49,-1.42,-0.59
2014-01-24,0.31,-1.95,-1.53,-0.19
2014-01-31,0.64,-1.91,-1.35,1.24
2014-02-07,-0.04,-2.02,-1.32,1.48
2014-02-14,0.07,-1.88,-1.31,1.47
2014-02-21,0.53,-1.39,-1.16,1.41
2014-02-28,0.66,-1.34,-0.91,1.06
2014-03-07,0.88,-0.65,-0.9,1.21
2014-03-14,1.21,-0.62,-0.62,0.28
2014-03-21,1.34,-1.74,-0.94,0.72
2014-03-28,1.04,-2.13,0.6,0.39
2014-04-04,0.81,-2.21,0.42,-0.31
2014-04-11,0.41,-1.24,0.45,-0.38
2014-04-18,0.57,-0.6,0.34,0.67
2014-04-25,0.52,-0.75,0.36,0.6
2014-05-02,0.38,-1.03,0.47,0.26
2014-05-09,0.5,-1.08,0.38,0.69
2014-05-16,-0.57,-0.97,0.59,0.62
2014-05-23,-0.97,-1.02,0.61,1.21
2014-05-30,-1.42,-1.26,0.77,0.89
2014-06-06,-2.09,-1.36,0.67,0.3
2014-06-13,-2.86,-0.85,0.69,-0.1
2014-06-20,-2.58,1.57,0.17,-0.04
2014-06-27,-2.38,1.37,0.69,0.09
2014-07-04,-2.29,1.75,1.05,0.46
2014-07-11,-2.16,1.66,1.37,0.11
2014-07-18,-2.06,1.43,1.51,0.35
2014-07-25,-2.45,1.36,1.55,0.87
2014-08-01,-2.7,0.88,1.64,0.04
2014-08-08,-3.03,0.97,1.58,-1.13
2014-08-15,-2.74,0.88,1.36,-0.63
2014-08-22,-2.76,0.73,0.99,-0.85
2014-08-29,-2.7,0.66,0.94,-1.86
2014-09-05,-2.5,0.76,1.06,-2.55
2014-09-12,-2.17,0.15,1.17,-1.41
2014-09-19,-1.77,2.75,1.02,-0.81
2014-09-26,-1.79,2.65,0.77,-1.75
2014-10-03,-1.56,1.92,0.58,-1.7
2014-10-10,-1.6,1.93,0.45,-1.36
2014-10-17,-1.76,2.04,0.11,-0.98
2014-10-24,-1.73,2.39,-0.07,0.6
2014-10-31,-1.76,2.28,-0.07,0.99
2014-11-07,-1.79,0.94,-0.2,0.39
2014-11-14,-1.57,1.09,-0.19,0.12
2014-11-21,-1.57,1.26,-0.11,-0.44
2014-11-28,-1.42,0.99,0.05,-0.69
2014-12-05,-1.25,1.05,0.07,-0.74
2014-12-12,-0.75,1.21,0.15,-0.26
2014-12-19,-0.93,1.0,0.2,-0.29
2014-12-26,-0.89,0.97,0.17,-0.32
2015-01-02,-1.2,0.79,0.45,-1.03
2015-01-09,-1.26,1.07,0.27,-1.07
2015-01-16,-1.23,1.86,0.1,-1.55
2015-01-23,-1.29,1.74,-0.03,-0.61
2015-01-30,-1.16,1.33,0.0,0.22
2015-02-06,-1.35,1.3,-0.17,0.3
2015-02-13,-1.34,1.41,-0.7,0.06
2015-02-20,-1.2,1.22,-0.74,0.28
2015-02-27,-1.13,1.19,-1.01,0.58
2015-03-06,-1.02,0.96,-1.21,1.15
2015-03-13,-0.76,0.24,-1.62,0.89
2015-03-20,-0.95,-2.24,-1.17,0.65
2015-03-27,-1.33,-0.76,-1.25,0.95
2015-04-03,-1.16,-1.29,-1.13,1.85
2015-04-10,-1.03,-0.89,-1.11,1.53
2015-04-17,-0.91,-1.19,-1.03,1.33
2015-04-24,-0.72,-1.38,-0.63,1.56
2015-05-01,-0.41,-0.4,-0.39,2.18
2015-05-08,-0.25,0.46,0.35,0.73
2015-05-15,0.05,0.88,0.83,0.93
2015-05-22,0.22,1.13,1.52,0.86
2015-05-29,0.3,0.28,1.68,-1.26
2015-06-05,0.87,-0.17,1.06,-1.95
2015-06-12,1.37,0.33,0.11,-2.88
2015-06-19,2.68,-1.03,0.42,-1.16
2015-06-26,2.22,-0.23,0.18,-2.31
2015-07-03,2.1,0.37,0.26,-1.94
2015-07-10,1.78,0.36,-0.22,-0.99
2015-07-17,1.6,0.7,-0.58,0.39
2015-07-24,1.43,0.59,-0.48,0.07
2015-07-31,1.61,0.75,-1.2,0.06
2015-08-07,1.34,0.55,-1.6,-0.49
2015-08-14,1.38,1.3,-2.03,-1.73
2015-08-21,1.74,1.61,-2.09,-1.66
2015-08-28,2.11,2.17,-2.25,-0.45
2015-09-04,2.05,2.12,-1.95,1.0
2015-09-11,1.67,2.32,-1.27,2.02
2015-09-18,1.34,0.16,-0.67,1.35
2015-09-25,1.38,0.17,-0.49,1.67
2015-10-02,1.29,0.94,-0.87,1.46
2015-10-09,1.13,1.0,-0.77,1.32
2015-10-16,1.16,1.61,0.0,1.47
2015-10-23,1.4,1.5,0.7,1.57
2015-10-30,0.5,0.52,1.29,0.78
2015-11-06,-0.39,0.79,0.82,0.61
2015-11-13,-0.7,0.31,1.44,-0.43
2015-11-20,-0.97,0.04,1.43,-0.8
2015-11-27,-1.23,0.07,0.69,-0.83
2015-12-04,-1.32,-0.06,0.47,-0.66
2015-12-11,-0.87,0.25,0.78,-0.77
2015-12-18,-0.53,-0.54,-0.18,0.38
2015-12-25,-0.51,-0.54,-0.17,0.37
2016-01-01,-0.59,0.23,-0.48,0.26
2016-01-08,-0.44,0.43,-1.12,1.65
