date,EUR,USD,CAD,JPY,KRW,MYR,ASIA,CNH,EM,IDR,INR,TWD,THB,SGD,PHP,CLP,HUF,MXN,PLN,BRL
2014-01-03,0.34,-3.89,8.53,3.24,2.05,-1.8,-0.83,-3.3,0.63,0.07,4.42,-0.3,-1.61,0.27,1.07,-0.57,-3.83,0.89,4.75,0.08
2014-01-10,-3.69,-0.18,-1.56,1.09,-5.82,-3.08,-2.51,-4.85,-2.01,1.24,6.33,-0.87,0.74,-2.51,0.86,-0.16,-3.52,0.52,6.35,0.4
2014-01-17,-6.17,1.53,-7.14,-0.04,-7.86,-2.93,-1.89,-2.96,-1.7,1.56,5.05,-2.03,3.61,-7.92,-0.25,0.45,-3.82,1.9,1.81,0.99
2014-01-24,-6.92,3.24,-9.74,2.22,-6.75,-2.7,-1.73,-1.92,-1.84,0.64,4.69,-0.4,2.55,-9.46,-2.89,-1.08,-4.64,-2.34,-0.18,0.72
2014-01-31,-7.94,5.86,-9.15,3.52,-3.67,-2.63,-1.4,-1.49,-4.14,0.6,6.07,5.75,1.09,-10.0,-1.78,-1.94,-2.04,-6.94,-0.19,-0.72
2014-02-07,-10.0,7.26,-3.18,2.84,0.85,-3.58,-2.02,-0.73,-3.96,1.48,-1.61,6.21,-1.94,-7.83,-6.4,-3.55,-4.99,-6.7,-5.92,0.16
2014-02-14,-9.29,4.86,-0.77,1.94,4.28,-3.54,-0.43,0.09,-1.33,2.95,-3.1,5.93,-1.82,-7.42,-5.26,1.49,-1.53,-4.6,-3.43,0.2
2014-02-21,-7.74,-0.85,9.66,1.47,5.48,-2.1,1.31,-1.21,-0.91,6.5,-2.76,0.23,1.14,-6.33,-5.43,3.01,-0.81,-1.56,-0.9,-0.66
2014-02-28,-6.31,-4.08,10.0,1.33,2.13,-2.03,-0.43,-2.87,0.06,7.42,-4.41,-2.21,4.01,-5.38,-7.73,7.04,-3.64,3.52,-2.84,-1.32
2014-03-07,-2.03,-5.49,8.52,0.02,1.8,-0.48,-0.19,-1.34,-1.36,5.48,1.49,-5.68,5.78,-4.76,-4.51,4.89,1.76,2.75,0.9,-2.52
2014-03-14,-2.68,-3.07,5.59,-1.63,-5.64,-1.06,-2.39,-5.14,-2.6,4.47,5.54,-3.45,4.32,-3.01,-4.44,0.79,-0.62,3.86,3.0,1.77
2014-03-21,-6.52,1.45,6.89,-4.67,-1.31,-2.46,-4.08,-4.69,-3.1,1.33,4.41,-0.85,3.43,-1.66,-0.24,8.51,2.33,6.47,6.46,2.71
2014-03-28,-8.74,3.8,5.28,-7.26,-2.39,-1.37,-2.42,-4.02,-1.67,0.66,5.27,-0.59,2.35,3.91,3.11,9.75,5.94,8.51,8.02,3.74
2014-04-04,-10.0,4.28,3.9,-10.0,-1.66,-1.39,-0.52,-5.46,1.05,2.35,5.79,4.46,3.0,4.61,2.87,6.82,2.5,9.97,5.61,4.52
2014-04-11,-8.21,1.08,7.15,-8.85,5.3,0.81,2.11,-3.31,3.52,1.8,1.89,2.7,4.63,5.68,4.97,7.04,5.37,7.75,4.84,0.03
2014-04-18,-3.97,-3.02,5.66,-6.29,3.61,3.26,5.72,-3.59,4.39,0.84,3.47,3.49,3.66,4.56,7.12,6.05,1.06,4.31,-2.52,-0.84
2014-04-25,-2.17,-3.5,5.7,-5.57,6.93,3.78,7.42,-4.04,4.54,1.6,1.57,0.44,4.13,0.91,4.88,2.78,-3.54,2.84,-1.17,-0.97
2014-05-02,-3.83,-2.21,2.8,-0.9,5.0,3.33,6.13,-3.15,3.69,-1.3,0.5,-2.63,1.91,1.17,3.96,4.85,-1.5,3.67,-1.29,-4.56
2014-05-09,-1.64,-4.58,1.84,0.27,0.9,3.96,4.62,-0.04,3.0,-1.71,-2.94,-1.34,-1.41,-0.78,1.89,3.11,-1.31,4.77,-3.55,-2.18
2014-05-16,-3.11,-3.43,2.91,1.12,0.6,2.63,3.47,3.13,2.93,1.51,-7.0,-6.05,-3.13,-0.14,-0.84,1.59,1.02,5.28,1.4,-1.04
2014-05-23,-0.63,-2.76,2.65,-0.76,1.11,2.72,2.28,5.21,3.6,-1.45,-6.57,-4.73,-4.95,-0.92,1.7,-2.18,2.46,7.44,2.67,0.4
2014-05-30,1.89,-4.61,3.54,1.38,0.31,4.26,3.06,1.23,4.74,-1.06,-7.32,1.33,-6.1,-5.93,2.17,-1.36,-1.91,1.46,3.5,4.31
2014-06-06,2.65,0.65,2.51,3.3,1.16,0.79,1.95,-0.12,1.78,0.96,-3.07,-3.43,-3.09,-6.43,1.9,-5.38,-4.3,-2.38,2.84,2.5
2014-06-13,4.08,1.15,-0.81,4.4,3.45,2.51,4.67,-0.62,3.9,-1.28,4.36,2.55,-0.29,-3.46,-0.11,-8.24,-5.22,-1.46,3.23,0.92
2014-06-20,0.91,1.03,0.39,6.39,4.2,3.23,7.36,1.44,5.4,0.94,4.02,4.14,-0.57,-5.51,-3.85,-4.65,-5.01,-4.1,2.66,-1.2
2014-06-27,-1.73,0.15,2.91,8.62,4.73,4.72,9.3,6.26,7.86,-1.1,4.03,1.26,-0.48,0.19,-4.19,1.1,-2.04,1.52,1.45,-7.4
2014-07-04,-4.97,-0.81,4.83,3.59,7.07,6.67,8.54,4.44,9.21,-0.91,3.9,3.83,-1.87,2.33,-7.13,3.36,-1.26,1.52,2.02,-7.64
2014-07-11,-5.78,-2.53,7.47,5.54,-0.77,5.28,6.08,7.96,6.98,2.01,-0.15,0.86,0.77,-1.34,-2.46,1.81,-2.16,0.44,-1.08,0.92
2014-07-18,-4.47,-1.88,6.86,6.19,-5.88,4.58,4.45,5.7,4.89,1.82,-0.44,0.48,4.57,-0.4,2.1,-1.81,-1.67,-1.1,-4.93,4.75
2014-07-25,-5.19,3.57,7.31,-1.68,-5.24,4.23,4.47,6.54,3.36,2.9,0.4,-1.79,9.29,-2.69,1.86,-3.77,0.37,-5.02,-7.01,6.28
2014-08-01,-5.11,9.75,5.01,-2.63,-8.18,2.87,2.31,9.83,2.66,-2.15,3.36,-1.13,8.91,-3.94,1.87,-2.95,-2.41,-4.74,-6.92,4.61
2014-08-08,-3.88,10.0,4.03,-2.98,-1.19,2.53,0.56,3.31,-0.68,-4.2,3.5,0.31,2.37,-6.05,-3.77,4.08,-1.52,-7.71,-7.66,-4.62
2014-08-15,-3.32,7.6,4.83,-3.35,2.3,-0.93,0.72,5.92,-0.43,-5.94,5.51,-1.69,1.26,-2.43,-8.29,4.19,-3.07,-9.48,-2.45,-9.41
2014-08-22,-0.96,5.46,3.79,-1.3,3.58,-6.15,-1.28,8.84,-1.84,-2.96,2.36,0.92,-2.7,-1.09,-9.76,3.65,-4.09,-7.87,-1.17,-9.46
2014-08-29,-0.42,2.13,3.19,3.72,5.25,-6.11,0.31,5.75,-2.42,-3.34,-1.8,-0.91,-3.84,0.27,-8.6,10.0,-1.39,-7.6,-2.43,-9.82
2014-09-05,-0.1,0.99,4.5,-2.59,0.24,-5.78,0.28,6.35,0.36,-6.03,-2.02,-3.93,-1.27,4.52,-7.13,7.2,-0.32,-3.67,2.91,-2.3
2014-09-12,-2.82,6.25,2.1,-3.51,-1.57,-3.15,-2.26,5.15,-2.62,-8.46,-5.16,-2.54,-4.39,5.2,-6.75,9.27,1.72,-3.63,-2.21,-3.8
2014-09-19,-5.55,8.19,1.17,-6.73,-10.0,2.63,-4.78,1.05,-4.31,-9.72,-2.56,-7.07,-3.87,3.31,-4.75,7.6,1.92,-2.19,-0.12,-0.32
2014-09-26,-6.18,8.36,2.63,-5.3,-9.65,0.35,-6.92,-1.98,-5.33,-9.4,-2.8,-3.19,-2.89,6.21,-2.79,2.41,1.33,-0.25,-1.16,3.98
2014-10-03,-8.76,8.47,2.19,-3.6,-7.89,-0.15,-6.41,-3.58,-6.53,-6.13,-3.18,-2.38,-4.69,6.28,2.43,0.79,0.43,0.99,-3.33,1.54
2014-10-10,-6.74,3.53,3.73,0.42,-8.45,-1.04,-3.58,-5.83,-2.43,-4.83,1.84,1.56,-2.86,2.88,4.86,-1.35,0.75,7.64,-1.74,8.18
2014-10-17,-2.96,3.57,1.64,3.22,-3.24,-5.99,-1.76,-8.85,-1.51,-2.16,3.81,5.43,-2.12,5.63,5.68,-1.52,-7.17,2.85,-2.59,6.68
2014-10-24,-0.43,1.04,2.42,0.19,-0.22,-2.6,-0.23,-5.63,0.72,0.14,2.58,4.65,-3.18,0.4,6.88,0.93,-10.0,6.46,2.85,6.18
2014-10-31,3.93,0.48,3.34,-3.19,0.61,-3.29,0.64,-1.28,0.79,1.95,3.62,6.5,-0.07,-1.02,1.15,2.87,-9.72,6.3,5.85,3.92
2014-11-07,2.88,6.43,1.95,-8.9,1.01,-2.75,-2.3,-2.06,-2.64,4.16,2.56,3.29,1.37,1.18,-0.84,3.07,-8.37,1.3,4.47,0.65
2014-11-14,2.01,6.22,5.86,-10.0,-0.1,-4.5,-4.17,-0.31,-3.8,2.27,-0.98,0.0,1.16,1.08,-1.86,0.83,-2.39,6.22,7.04,-1.07
2014-11-21,0.5,7.94,3.5,-9.07,-0.81,-4.69,-3.86,-0.77,-4.02,0.84,1.16,0.04,2.14,4.2,-3.1,-3.18,-0.47,3.74,5.44,2.93
2014-11-28,-3.26,8.42,-0.33,-7.74,0.86,-6.41,-3.86,-2.23,-3.15,0.91,1.26,-3.4,2.81,2.0,1.68,-4.15,0.99,-1.9,4.07,4.93
2014-12-05,-2.45,4.96,-0.93,-7.49,4.68,-8.96,-2.12,-2.2,-2.45,1.79,-0.27,-5.26,1.15,-0.59,5.48,-4.15,1.07,-4.77,5.14,3.96
