date,EUR,USD,CAD,JPY
2013-01-04,-0.02,-1.96,2.58,-2.45
2013-01-11,0.3,-1.06,2.34,-2.33
2013-01-18,0.32,-1.27,2.33,-2.35
2013-01-25,0.68,-1.23,1.78,-2.07
2013-02-01,1.05,-1.31,1.46,-1.68
2013-02-08,1.29,-1.43,1.32,-5.0
2013-02-15,1.12,-0.91,1.39,-5.0
2013-02-22,1.17,-0.26,1.28,-4.54
2013-03-01,0.57,0.6,1.14,-3.71
2013-03-08,0.26,1.02,0.9,-3.58
2013-03-15,0.36,1.34,1.08,-3.42
2013-03-22,-0.44,1.16,0.92,-3.06
2013-03-29,-1.0,1.21,0.79,-2.71
2013-04-05,-1.73,1.4,0.73,-2.48
2013-04-12,-1.81,1.3,0.87,-2.53
2013-04-19,-1.82,1.11,0.79,-2.16
2013-04-26,-1.78,1.21,0.78,-2.12
2013-05-03,-1.51,1.25,0.91,-2.04
2013-05-10,-1.39,0.99,0.87,-1.92
2013-05-17,-1.7,0.87,0.79,-2.01
2013-05-24,-1.03,1.22,0.64,-1.97
2013-05-31,-1.34,1.24,0.35,-1.7
2013-06-07,-1.44,1.2,0.45,-1.41
2013-06-14,-1.38,0.46,0.48,-1.38
2013-06-21,-1.48,-0.01,0.41,-1.44
2013-06-28,-1.87,0.34,0.09,-1.47
2013-07-05,-1.65,0.3,-0.16,-1.48
2013-07-12,-1.44,1.4,-0.12,-1.34
2013-07-19,-1.3,1.4,-0.13,-1.27
2013-07-26,-1.28,1.22,0.01,-1.23
2013-08-02,-1.31,1.09,0.29,-1.01
2013-08-09,-1.36,0.95,0.25,-0.85
2013-08-16,-1.61,0.1,0.15,-0.77
2013-08-23,-1.63,0.01,0.17,-0.71
2013-08-30,-1.72,-0.01,0.11,-0.69
2013-09-06,-1.8,0.13,-0.09,-0.61
2013-09-13,-1.42,0.33,0.34,-0.6
2013-09-20,-1.25,0.14,0.45,-0.42
2013-09-27,-0.95,-0.33,0.51,-0.35
2013-10-04,-0.92,-0.34,0.48,-0.32
2013-10-11,-0.88,-0.36,0.45,-0.29
2013-10-18,-0.85,-0.38,0.42,-0.25
