date,USD_BROAD,EUR,CAD,JPY,BRL,CLP,PLN,MXN,HUF,CNH,IDR,INR,TWD,THB,SGD,KRW,MYR,PHP
2013-01-04,80.3177,125.942,134.443,134.26,129.983,131.25,134.988,149.442,129.056,107.852,115.195,96.7512,111.116,115.713,114.629,110.802,137.396,112.307
2013-01-11,79.6263,128.356,135.596,133.439,130.913,132.334,138.236,151.499,129.266,108.462,114.254,97.6159,111.509,116.741,115.179,111.644,138.814,113.285
2013-01-18,79.6438,129.321,134.684,131.838,130.402,132.063,138.3,152.087,131.894,108.374,115.06,99.5024,111.564,118.859,115.103,111.612,139.31,113.303
2013-01-25,79.9574,130.074,132.838,130.144,131.336,132.579,137.554,151.638,130.954,107.972,115.58,99.577,110.369,118.187,114.793,109.431,137.415,112.975
2013-02-01,79.7587,132.085,133.48,128.485,134.078,132.385,139.302,150.739,135.145,107.998,116.751,100.899,108.975,118.726,113.94,107.957,134.705,113.262
2013-02-08,80.0233,129.893,133.699,127.923,136.401,131.975,137.892,150.937,133.086,107.842,117.359,100.489,108.654,118.761,114.28,108.193,135.343,113.138
2013-02-15,80.1424,129.125,133.157,127.579,136.202,132.525,136.507,151.131,132.229,107.989,117.13,99.3468,109.127,118.509,114.417,109.343,135.784,113.49
2013-02-22,80.728,127.534,130.921,126.739,135.336,131.675,135.76,150.832,130.479,107.72,116.817,99.4622,108.951,118.604,114.361,108.998,135.332,113.273
2013-03-01,81.1969,126.064,129.271,127.1,134.472,131.915,134.548,149.663,128.069,108.019,116.892,98.2289,108.925,118.838,114.194,108.724,135.44,113.394
2013-03-08,81.0259,126.967,129.514,123.332,136.555,132.254,135.858,150.924,128.295,108.336,117.244,99.5028,108.904,119.189,113.762,108.603,135.212,113.484
2013-03-15,80.8387,126.47,130.788,122.965,135.792,132.566,134.774,154.57,124.393,108.267,116.98,100.276,108.689,119.935,113.534,106.495,134.146,113.772
2013-03-22,80.9833,125.378,130.269,124.475,133.472,131.869,132.566,155.091,122.4,108.353,116.347,99.8234,108.117,121.025,113.515,105.906,134.947,113.08
2013-03-29,80.9371,124.164,131.248,125.374,132.658,132.46,131.606,155.836,122.498,108.34,116.828,99.6409,108.239,120.999,114.329,106.364,136.083,113.181
2013-04-05,80.9274,125.096,131.641,122.598,133.306,133.027,132.506,155.876,124.755,108.479,116.801,99.2409,107.85,120.95,114.512,104.46,137.518,112.351
2013-04-12,80.4954,126.516,131.893,118.786,135.7,133.943,136.183,159.362,128.722,108.729,117.343,99.889,107.812,122.239,114.752,104.65,138.125,112.065
2013-04-19,80.727,126.717,130.272,118.796,133.304,131.363,136.671,157.411,127.57,108.966,117.367,101.355,108.457,123.992,115.0,105.78,138.435,112.578
2013-04-26,80.6756,125.912,130.889,119.34,134.086,132.387,134.146,158.302,125.447,109.145,117.201,100.589,109.032,120.997,114.834,106.4,138.368,112.304
2013-05-03,80.2839,127.024,131.948,120.053,133.77,132.381,135.821,158.145,128.93,109.387,117.082,101.563,109.43,119.929,115.292,108.04,138.684,113.473
2013-05-10,80.5718,125.851,132.47,115.838,133.787,132.318,134.683,160.057,129.201,109.563,117.23,100.311,108.819,119.401,114.986,106.88,140.568,112.683
2013-05-17,81.3671,124.499,130.181,114.962,132.685,130.177,132.07,156.602,128.786,109.619,116.888,100.166,107.935,119.267,113.466,106.078,139.08,112.507
2013-05-24,81.5011,125.451,128.983,115.942,131.976,128.393,132.05,154.868,129.874,110.019,116.615,98.9528,108.061,118.696,112.643,105.135,138.631,111.251
2013-05-31,82.0509,125.764,129.012,116.998,126.543,126.096,130.074,149.437,128.008,109.522,115.016,97.5564,107.71,117.292,112.896,104.878,135.762,109.6
2013-06-07,81.2581,128.28,130.124,122.939,125.201,123.868,131.664,150.15,130.111,109.775,114.331,96.7845,108.643,116.064,114.586,105.617,135.518,109.447
2013-06-14,80.7925,128.942,131.209,123.713,127.065,126.879,135.335,152.563,133.284,109.933,115.354,96.2221,108.269,116.232,113.947,105.194,134.934,108.43
2013-06-21,82.2638,127.914,128.577,120.296,120.048,121.653,131.102,145.469,128.896,109.996,114.667,93.6264,107.324,114.243,112.114,102.717,131.161,105.911
2013-06-28,82.383,126.504,127.237,118.58,122.828,123.952,129.276,148.267,129.041,109.93,114.567,93.0505,107.951,114.693,112.754,103.697,132.853,107.603
2013-07-05,82.7529,124.717,126.523,117.425,120.68,124.452,129.007,149.919,127.616,109.96,114.878,92.096,107.613,114.258,111.996,103.813,131.958,107.12
2013-07-12,82.2314,126.269,128.471,118.059,120.069,123.844,129.284,150.48,130.131,109.893,115.064,92.9079,108.131,114.119,112.947,105.323,132.424,107.014
2013-07-19,81.7938,126.916,128.407,116.931,121.785,125.027,132.482,154.728,129.507,109.976,113.153,93.7254,107.969,114.512,112.923,105.678,131.7,107.138
