date,DXY,MXWO,VIX,MOVE,EMFXVOL,G7FXVOL,US_HY_OAS,OVX,DB_G10_CARRY,US_ISM_PMI
2013-01-04,80.499,1370.11,13.83,62.0,6.6534,7.6115,4.8,26.03,130.45,
2013-01-11,79.563,1381.94,13.36,59.2,6.4317,8.3358,4.69,24.57,130.09,
2013-01-18,80.036,1388.11,12.46,55.9,6.5872,9.3595,4.68,21.98,130.12,
2013-01-25,79.748,1405.47,12.89,66.2,6.7862,8.709,4.51,22.52,129.8,
2013-02-01,79.125,1416.79,12.9,65.0,7.2674,8.747,4.76,22.4,129.9,53.3
2013-02-08,80.246,1410.44,13.02,61.5,7.1502,9.252,4.9,23.08,130.08,53.3
2013-02-15,80.58,1406.92,12.46,59.1,6.7882,9.4792,4.76,22.59,129.9,53.3
2013-02-22,81.482,1402.05,14.17,58.6,7.2564,10.0564,4.81,24.58,130.49,53.3
2013-03-01,82.313,1401.75,15.36,55.0,7.2175,9.7618,4.71,23.68,130.41,54.2
2013-03-08,82.696,1428.72,12.59,58.1,6.7979,9.3716,4.42,20.8,129.92,54.2
2013-03-15,82.261,1444.48,11.3,55.8,7.1194,8.9656,4.46,18.76,130.46,54.2
2013-03-22,82.376,1432.33,13.57,61.8894,7.4,9.9175,4.55,19.11,130.36,54.2
2013-03-29,82.976,1434.51,12.7,57.3202,6.8281,9.2904,4.57,18.19,130.57,54.2
2013-04-05,82.496,1419.11,13.92,54.8462,7.1108,9.1923,4.73,21.39,131.24,51.9
2013-04-12,82.311,1456.54,12.06,53.1198,7.086,9.1538,4.53,22.59,131.57,51.9
2013-04-19,82.714,1422.25,14.97,51.3114,7.4511,9.5963,4.61,27.57,131.42,51.9
2013-04-26,82.502,1457.8,13.61,50.2379,6.9298,8.9555,4.45,22.51,131.42,51.9
2013-05-03,82.125,1482.46,12.85,49.0404,6.6651,8.6687,4.1,24.01,131.44,51.0
2013-05-10,83.143,1495.84,12.59,55.3227,7.0098,9.702,4.02,22.83,131.47,51.0
2013-05-17,84.252,1512.98,12.45,61.3274,7.8764,10.0657,4.19,22.82,131.44,51.0
2013-05-24,83.7,1492.74,13.99,65.1208,8.456,10.1836,4.29,22.57,130.92,51.0
2013-05-31,83.375,1471.93,16.3,79.9852,10.013,10.7172,4.4,24.41,130.82,50.8
2013-06-07,81.669,1470.22,15.14,81.5289,9.8475,10.8906,4.66,22.41,130.6,50.8
2013-06-14,80.67,1463.83,17.15,78.4531,10.1339,11.2934,4.84,21.22,130.45,50.8
2013-06-21,82.318,1421.19,18.9,103.7298,12.4064,11.959,4.86,23.68,129.25,50.8
2013-06-28,83.136,1433.55,16.86,99.7542,11.4,11.2757,4.92,22.37,129.26,50.8
2013-07-05,84.449,1449.05,14.89,117.8877,11.3829,11.2524,4.76,26.74,127.87,51.1
2013-07-12,82.988,1498.31,13.84,94.4621,10.3669,11.2614,4.56,24.51,128.69,51.1
2013-07-19,82.607,1513.52,12.54,75.9024,9.4541,10.0736,4.32,24.08,128.9,51.1
2013-07-26,81.657,1516.21,12.72,81.6379,9.0229,9.6217,4.49,22.98,128.2,51.1
2013-08-02,81.908,1533.85,11.98,73.1565,9.3267,9.295,4.51,22.26,128.11,53.8
2013-08-09,81.126,1526.9,13.41,75.4038,8.6222,8.8846,4.56,22.64,127.93,53.8
2013-08-16,81.257,1508.8,14.37,94.654,9.3023,8.8989,4.46,23.99,127.3,53.8
2013-08-23,81.361,1508.49,13.98,99.7944,11.011,9.8779,4.52,22.7,127.3,53.8
2013-08-30,82.087,1472.74,17.01,103.5277,12.271,10.2217,4.52,28.1,127.36,53.8
2013-09-06,82.146,1502.4,15.85,105.4876,11.7182,9.5725,4.42,28.1,126.63,54.0
2013-09-13,81.452,1533.72,14.16,96.1705,10.5496,9.0487,4.38,23.18,126.58,54.0
2013-09-20,80.431,1563.26,13.12,77.7286,9.987,8.6085,4.36,21.38,127.33,54.0
2013-09-27,80.287,1554.99,15.46,77.9955,10.2697,8.3756,4.55,21.84,127.69,54.0
2013-10-04,80.122,1547.5,16.74,82.4795,10.1182,8.7672,4.49,21.49,127.69,54.6
2013-10-11,80.362,1557.35,15.72,77.1074,9.232,8.2498,4.42,21.55,127.31,54.6
2013-10-18,79.654,1598.14,13.04,72.4643,8.3051,7.7039,4.29,20.12,127.55,54.6
