date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD,BRL,MXN,CLP,PLN,HUF,EUR,JPY,CAD
2013-01-04,0.1685,1.7,0.0006,0.7771,0.5,0.2929,0.6476,0.24,0.14,1.4422,1.6685,3.1536,1.4845,2.0094,-0.3478,0.6151,0.4655
2013-01-11,0.2067,1.955,-0.0629,0.2444,0.495,0.2929,0.5496,0.225,0.04,1.2675,1.6065,3.6275,1.4162,2.0588,-0.2113,1.0059,0.458
2013-01-18,0.1977,1.375,-0.1005,0.7036,0.4775,0.2557,0.5967,0.26,0.06,1.3665,1.4456,3.9031,1.5837,1.8875,-0.2129,0.893,0.5224
2013-01-25,0.1773,1.4125,-0.0323,1.3779,0.5275,0.2541,0.7301,0.12,0.1,1.0982,1.3872,3.7309,1.5022,1.3499,-0.0159,0.8959,0.6413
2013-02-01,0.2299,1.4025,0.0673,1.9321,1.385,0.3187,1.128,0.1,0.785,0.7144,1.2379,3.8406,1.4849,1.3094,0.1588,0.8868,0.6334
2013-02-08,0.2201,1.285,0.1285,1.9692,1.455,0.3252,1.0044,0.06,1.015,0.8012,1.4931,3.754,1.6708,1.4166,-0.3672,0.7478,0.6836
2013-02-15,0.1386,1.275,0.5142,1.6026,1.345,0.3331,1.0377,0.0325,1.0325,0.4245,1.2952,2.9882,1.5246,1.2187,-0.6114,0.4288,0.738
2013-02-22,0.2464,1.2875,0.6854,1.9831,1.5425,0.3034,0.9956,0.02,1.0425,1.0732,1.5508,3.0231,1.2342,1.3035,-0.8877,0.2357,1.0817
2013-03-01,0.2145,1.2775,0.7387,1.9847,1.46,0.2985,0.7992,0.0125,0.9975,1.7739,1.9024,3.6036,1.2657,1.3909,-1.3467,0.1894,1.0481
2013-03-08,0.2017,1.285,0.7039,2.2582,1.39,0.2799,0.8953,0.01,0.8275,1.5466,1.699,3.4708,1.009,1.2818,-1.0593,0.5356,0.8979
2013-03-15,0.1865,1.5975,0.5357,3.0143,1.2925,0.4897,0.8618,0.025,0.78,1.5506,1.5102,3.2423,0.9919,1.9641,-0.9477,-0.35,0.6173
2013-03-22,0.1887,1.3825,0.5742,2.4469,1.405,0.6106,0.8601,-0.14,0.85,2.2266,1.6299,3.4009,1.1392,2.1117,-1.3263,-0.3806,0.6792
2013-03-29,0.2216,1.495,0.5287,1.8246,1.46,0.7285,0.7951,-0.145,0.825,1.7053,1.6375,3.4138,1.4464,1.9659,-1.2515,-0.2611,0.6345
2013-04-05,0.2216,1.45,0.6318,2.7591,1.1575,0.978,0.7214,-0.1475,0.815,1.4739,1.6749,3.4453,1.1566,1.9588,-0.8162,0.2682,0.8248
2013-04-12,0.214,1.405,0.3122,2.6796,1.24,1.0866,0.5965,-0.15,0.885,1.1769,1.3232,2.228,1.1719,1.8284,-0.7548,0.603,0.6807
2013-04-19,0.214,1.405,-0.2057,2.4578,1.4525,1.0866,0.5965,-0.145,0.705,1.5412,1.9166,2.7126,1.2445,1.9812,-0.8886,0.8554,0.7768
2013-04-26,0.1277,1.4,0.0059,2.049,1.16,0.8855,0.5741,0.095,0.58,1.1633,1.5885,2.4752,1.2273,1.959,-0.8843,0.4014,0.7593
2013-05-03,0.14288,1.53,0.034171,1.6695,1.5175,0.84793,0.67865,-0.015,0.605,1.2069,1.4619,2.9896,1.2366,1.8632,-0.84452,0.58779,0.81366
2013-05-10,0.073319,1.495,0.38586,2.1122,0.9625,0.87587,0.90055,0.175,0.6675,1.2796,1.6743,3.1269,1.021,1.9137,-0.97715,0.77684,1.053
2013-05-17,0.16857,1.7425,0.6055,2.2755,1.3575,0.9964,1.5693,0.0675,1.265,1.8209,1.7769,3.686,1.0932,1.7859,-0.96293,0.60777,1.4783
2013-05-24,0.23991,1.6525,1.0037,2.1875,1.465,1.7541,1.1357,0.1,1.145,1.9446,2.3248,4.2598,1.0753,1.8,-0.82212,-0.23477,1.3418
2013-05-31,0.50954,2.3875,1.3571,1.9537,1.4675,1.6192,1.1992,0.365,1.01,3.1898,3.1855,5.5104,1.8815,2.1637,-0.89441,-0.30944,1.0491
2013-06-07,0.46721,2.21,1.3312,2.1459,1.4575,1.242,0.98488,0.4775,0.805,2.5726,2.7095,4.6281,1.6824,2.0973,-0.78821,-0.4329,0.95707
2013-06-14,0.48584,2.7525,1.3961,2.768,1.86,1.9079,1.2928,0.735,0.8575,2.2922,2.8954,4.8564,1.7014,1.9724,-0.69066,-0.94412,0.9143
2013-06-21,0.85508,3.34,1.9032,3.4166,2.1425,2.1445,1.6718,0.79,1.09,3.902,3.8337,6.591,2.3996,2.4159,-0.92687,-0.29299,1.5982
2013-06-28,0.88528,3.84,1.9656,2.5023,1.7025,1.7581,1.4693,0.79,1.055,3.4216,3.6321,5.9429,2.2769,2.3538,-1.1804,-0.7603,1.5006
2013-07-05,0.66307,3.6975,2.0836,2.6521,1.64,1.7046,1.5044,0.7775,1.045,3.445,3.5203,5.907,2.1941,2.308,-1.1016,-0.87524,1.3841
2013-07-12,0.29885,3.5,1.3298,2.1929,1.6025,1.5951,1.018,0.87,0.89,2.8534,3.1795,5.3877,1.9934,2.1269,-0.59562,-1.8135,0.89243
2013-07-19,0.43668,4.0875,0.85438,2.176,1.545,1.4779,0.91841,0.7125,0.8125,2.2803,2.47,5.0183,1.8074,1.9059,-0.50196,-0.92041,0.80139
2013-07-26,0.2654,3.9125,0.31245,1.9618,1.4975,1.0748,0.74989,0.6025,0.81,1.9358,2.4405,4.4111,1.7167,1.6916,-0.60313,-0.92134,0.85279
2013-08-02,0.31434,3.7775,1.5538,2.3734,1.7475,1.0455,0.84519,0.785,0.7975,2.1317,2.1129,4.6532,1.6974,1.9398,-0.75163,-0.49755,0.96767
2013-08-09,0.24247,3.575,1.61,1.6313,1.79,1.0169,0.73499,0.76,0.7925,1.4338,1.6374,4.0311,1.6558,1.8168,-0.81685,-0.62292,1.0103
2013-08-16,0.19722,3.625,1.7664,1.4899,1.7625,1.0301,0.86638,0.84,0.76,2.2388,1.8197,3.4723,1.6493,1.8469,-0.97071,-0.38643,1.1111
2013-08-23,0.23331,5.1025,2.5925,1.9466,1.8475,1.5556,0.85072,1.1575,0.8525,1.8924,2.668,4.0321,1.7817,1.8928,-1.0808,-0.27062,1.215
2013-08-30,0.16984,4.755,4.1915,1.6162,1.6775,1.685,0.62745,0.9825,0.7125,1.9371,2.7789,4.1182,1.8644,1.9748,-1.2059,-0.3233,1.142
2013-09-06,0.19277,4.79,3.7664,1.7949,1.7375,1.7967,0.63307,1.4975,0.555,1.8655,2.4326,3.9114,1.9503,1.9312,-1.0534,-0.71181,0.83456
2013-09-13,0.24046,4.165,2.6365,1.4668,1.7975,1.6851,0.77213,1.0825,0.565,2.0032,1.8902,4.2685,1.8533,1.8271,-0.94235,-0.77376,0.83898
2013-09-20,0.26803,3.65,2.0923,1.3624,1.5225,1.5819,0.60175,1.0625,0.615,1.7426,1.5517,3.2153,1.8362,1.7796,-0.74088,-0.19353,0.75421
2013-09-27,0.3431,3.5725,1.8039,1.8061,1.39,1.0821,0.68932,0.995,0.58,2.0883,2.3642,3.59,1.8369,1.8035,-0.713,-0.36261,0.97582
2013-10-04,0.28228,3.5525,1.7947,1.8853,1.31,0.94803,0.6932,0.9425,0.56,1.8023,1.8763,3.6672,1.7987,1.7586,-0.49168,-0.68827,0.83819
2013-10-11,0.19778,3.5325,1.7331,1.5986,1.41,0.96445,0.71449,0.905,0.505,1.5682,1.5145,3.2213,1.6095,1.6099,-0.33582,-0.50462,0.87877
2013-10-18,0.18199,2.9775,1.746,1.4766,1.2325,0.91174,0.5957,0.845,0.3325,1.8237,1.8978,2.8223,1.5554,1.52,-0.1625,-0.31743,0.79633
2013-10-25,0.015177,2.92,1.3086,1.4163,1.125,0.67803,0.54184,0.8275,0.3625,1.6891,1.8651,3.0667,1.5151,1.5249,0.009132,-0.35444,0.76518
2013-11-01,0.058592,2.3875,1.9363,1.2004,0.91,0.74068,0.56041,0.89,0.4175,2.5252,2.4214,3.8817,1.5377,1.6153,-0.59946,-0.007351,0.80597
2013-11-08,0.014968,2.4025,2.6363,1.3543,1.485,0.71556,0.71074,1.035,0.4525,3.0658,2.4862,4.0689,1.5419,1.7724,-0.53244,0.12428,0.95863
2013-11-15,-0.019123,2.63,2.2255,1.3862,1.3675,0.92094,0.78753,0.91,0.5225,2.2625,1.8444,3.1028,1.4109,1.4146,-0.36069,0.3376,0.75181
2013-11-22,-0.021981,2.62,2.0118,1.1187,1.3075,1.03,0.81251,0.965,0.5425,2.0908,2.1585,3.1813,1.4226,1.4581,-0.52642,0.31963,1.0819
2013-11-29,0.12425,2.7075,1.8232,1.161,1.42,1.0349,0.82876,1.0775,0.53,1.9243,2.0787,3.1954,1.2682,1.5026,-0.59332,-0.2031,1.1367
2013-12-06,0.067663,2.7225,1.5223,1.2042,1.355,0.98267,0.8303,1.225,0.5425,1.8235,2.0583,3.144,1.2414,1.4834,-0.50891,-0.40269,0.92079
2013-12-13,0.17577,3.115,1.5431,1.3547,1.405,1.0479,0.93878,1.09,0.5325,1.7554,2.2056,2.6776,1.2799,1.515,-0.53305,-0.36938,0.72521
2013-12-20,0.21977,3.0525,1.455,1.2449,1.165,1.0705,0.86023,1.15,0.5825,1.7315,2.0291,2.5072,1.2051,1.4915,-0.55015,-0.38996,0.62521
2013-12-27,0.28133,3.03,1.4953,1.1206,1.19,1.1833,0.86836,1.13,0.6075,1.6966,2.1417,2.5638,1.2556,1.4926,-0.54955,-0.70664,0.58124
2014-01-03,0.15077,2.91,1.4941,1.152,1.04,0.98594,0.83988,1.2575,0.685,1.868,2.1227,2.5643,1.4298,1.6167,-0.57659,-0.80751,0.6154
2014-01-10,0.18142,2.9575,0.84204,1.1968,0.9625,0.9437,0.80848,1.28,0.645,1.3126,1.5846,2.4887,1.1884,1.3932,-0.4861,-0.62892,0.56635
2014-01-17,0.19647,2.595,0.9152,1.1178,0.835,1.0567,0.80764,1.1325,0.715,1.2692,1.8603,2.9388,1.2258,1.3388,-0.55686,-0.64419,0.56795
2014-01-24,0.53632,2.4575,1.2081,1.7747,1.1925,1.0806,0.91951,1.1525,0.7225,1.8132,2.2804,3.1164,1.5925,1.4957,-0.57448,-1.3509,0.51335
2014-01-31,0.67,2.51,1.7442,1.9238,1.0425,1.0145,0.78334,1.3325,0.6675,1.9401,2.0974,3.3097,2.8377,3.3346,-0.74728,-1.484,0.39809
2014-02-07,0.60671,2.42,1.4701,1.584,1.0,0.76225,0.74811,1.3475,0.61,1.4081,1.9003,3.1314,2.0344,2.9484,-0.56974,-1.0545,0.211
2014-02-14,0.58812,1.965,0.99693,1.3403,0.8025,0.73304,0.61442,1.2925,0.5025,1.42,1.6419,3.0679,1.8806,3.185,-0.45633,-0.97841,0.23538
2014-02-21,1.5194,1.6675,0.94348,1.395,0.7575,0.77221,0.67335,1.2575,0.4775,1.3666,1.4431,3.2196,1.9654,2.7818,-0.45251,-0.79571,0.34296
2014-02-28,1.1344,1.435,0.84727,1.4505,0.7875,0.74727,0.66538,1.0825,0.4725,1.4429,1.3804,2.9046,1.9949,2.627,-0.54824,-0.74268,0.26555
2014-03-07,0.36504,1.2425,0.60205,1.3705,0.7575,0.74624,0.65037,1.0075,0.4225,1.3988,1.2229,2.4743,2.0914,2.6435,-0.42687,-0.34362,0.22385
2014-03-14,1.1475,1.5025,0.79737,1.4867,0.7575,0.77709,0.74244,1.0075,0.5525,1.4311,1.2458,3.2393,2.4369,2.6196,-0.47205,-0.80632,0.27104
2014-03-21,0.83096,1.8075,0.795,1.5125,0.72,0.77099,0.65579,1.0225,0.8,1.3945,1.2417,2.137,2.2236,2.421,-0.5021,-0.59714,0.34681
2014-03-28,0.66425,1.51,0.78652,1.3531,0.65,0.74865,0.58412,0.9775,0.595,1.3862,1.1304,2.131,1.9242,2.1853,-0.54961,-0.46958,0.24395
2014-04-04,0.65737,1.7225,0.81746,1.0716,0.735,0.65441,0.73719,1.0225,0.5575,1.313,1.0932,2.2169,1.6571,1.899,-0.5022,-0.31215,0.22234
2014-04-11,0.52979,1.94,1.0846,0.70963,0.6825,0.59703,0.52907,0.8425,0.495,1.2416,1.1056,2.164,1.623,1.8274,-0.3249,-0.50785,0.30156
2014-04-18,0.74215,1.445,0.98641,0.79642,0.7675,0.53188,0.7198,0.5025,0.5175,1.3425,1.0877,2.2029,1.8595,1.8721,-0.54061,-0.25004,0.29886
2014-04-25,1.0953,1.755,1.0991,0.7671,0.7775,0.64732,0.67013,0.5025,0.57,1.332,1.1196,2.4059,1.8198,1.8267,-0.48709,-0.26592,0.29036
2014-05-02,0.9634,1.9,0.78283,0.72427,0.77,0.55333,0.55631,0.505,0.57,1.0836,0.97812,2.0707,1.6354,1.6372,-0.43019,-0.1601,0.38097
