date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD,BRL,MXN,CLP,PLN,HUF
2013-01-01,6.2235,9795.0,54.6118,1065.85,,40.985,1.221,30.57,28.9955,2.0457,12.855,478.71,3.08885,220.825
2013-01-02,6.20475,9750.0,54.1896,1061.58,3.0355,40.77,1.2203,30.314,28.978,2.03845,12.7354,474.05,3.07445,219.77
2013-01-03,6.211,9775.0,54.4807,1063.24,3.0315,40.76,1.222,30.3375,28.993,2.03475,12.7483,472.75,3.12085,221.31
2013-01-04,6.212,9780.0,54.9252,1062.9,3.047,40.88,1.2292,30.4725,29.0355,2.0347,12.7632,473.25,3.15855,223.33
2013-01-07,6.209,9802.0,55.1128,1062.7,3.0435,40.84,1.22945,30.444,29.0105,2.02265,12.7592,471.3,3.1482,222.175
2013-01-08,6.20625,9822.5,55.1116,1063.48,3.0425,40.8525,1.23015,30.4245,29.0255,2.03605,12.8034,472.9,3.15485,223.73
2013-01-09,6.20125,9834.5,54.8497,1059.88,3.038,40.765,1.22765,30.3745,29.0105,2.0396,12.7516,471.05,3.13125,222.315
2013-01-10,6.1865,9895.0,54.5246,1058.22,3.03,40.58,1.2232,30.255,28.938,2.03505,12.6616,470.85,3.0977,221.64
2013-01-11,6.18375,9890.7,54.7968,1056.58,3.0211,40.565,1.2247,30.28,28.943,2.03655,12.6444,472.65,3.08435,221.765
2013-01-14,6.18725,9870.0,54.5266,1056.48,3.0175,40.63,1.22635,30.225,28.933,2.03195,12.6536,473.55,3.08205,221.74
2013-01-15,6.19225,9860.0,54.5847,1057.09,3.01,40.6,1.22535,29.945,28.948,2.03835,12.6562,475.25,3.08375,220.85
2013-01-16,6.1885,9860.55,54.7272,1058.3,3.0195,40.69,1.22375,29.8325,28.9705,2.04035,12.6376,475.395,3.101,221.81
2013-01-17,6.184,9854.9,54.1298,1056.26,3.016,40.618,1.2232,29.77,28.9655,2.04345,12.5886,472.3,3.08645,219.45
2013-01-18,6.19125,9838.45,53.9186,1059.38,3.0116,40.6775,1.22785,29.731,28.9665,2.04335,12.6694,471.95,3.1308,220.695
2013-01-21,6.195,9752.55,53.6042,1063.4,3.035,40.6925,1.22825,29.731,28.9785,2.04285,12.7145,472.05,3.1293,220.135
2013-01-22,6.1975,9743.75,53.6968,1064.18,3.0405,40.6075,1.22775,29.73,28.989,2.04775,12.6821,471.07,3.14125,221.585
2013-01-23,6.2025,9750.5,53.6698,1068.08,3.043,40.6625,1.22695,29.8145,29.0165,2.03975,12.664,471.45,3.1434,222.015
2013-01-24,6.203,9760.5,53.6435,1068.86,,40.6575,1.22815,29.809,29.075,2.02975,12.6178,470.45,3.13415,220.635
2013-01-25,6.2205,9787.5,53.8994,1084.5,3.045,40.7775,1.23445,29.946,29.287,2.0275,12.704,471.85,3.0982,220.985
2013-01-28,6.23425,9846.0,54.0344,1092.08,3.046,40.93,1.23855,29.925,29.5265,2.00705,12.777,473.4,3.1196,221.82
2013-01-29,6.22025,9797.5,53.5687,1082.68,3.0778,40.755,1.235,29.7865,29.4455,1.9898,12.7072,471.75,3.11285,219.605
2013-01-30,6.21225,9797.5,53.2347,1087.32,3.0827,40.565,1.235,29.6985,29.5305,1.9932,12.7366,471.75,3.09325,217.45
2013-01-31,6.2095,9757.5,53.267,1087.34,3.1058,40.695,1.23765,29.835,29.5505,1.98925,12.709,471.25,3.0955,215.575
2013-02-01,6.21275,9665.0,53.0615,1091.96,3.1065,40.575,1.24,29.78,29.625,1.981,12.6288,471.65,3.0413,212.76
2013-02-04,6.2165,9697.5,53.2215,1090.62,3.095,40.655,1.2397,29.7575,29.5925,1.9883,12.6915,472.65,3.0772,216.53
2013-02-05,6.21525,9681.3,53.1145,1086.52,3.0885,40.685,1.2386,29.7545,29.5355,1.983,12.6276,473.15,3.08515,215.63
2013-02-06,6.21625,9695.0,53.1415,1091.58,3.0972,40.74,1.2381,29.775,29.61,1.988,12.6654,472.65,3.0808,216.675
2013-02-07,6.224,9672.0,53.4258,1090.68,3.0915,40.745,1.23915,29.7825,29.6155,1.9661,12.7215,472.65,3.1174,218.925
2013-02-08,6.2215,9645.0,53.539,1091.22,3.0985,40.72,1.23725,29.79,29.7255,1.971,12.7264,472.25,3.1023,217.365
2013-02-11,6.22175,9618.0,53.97,1094.68,,40.715,1.24055,29.8575,29.7455,1.97225,12.765,472.65,3.10525,217.2
2013-02-12,6.2215,9630.0,53.7982,1087.62,,40.645,1.2398,29.8415,29.6905,1.9713,12.7371,471.55,3.10595,215.615
