date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD
1988-07-01,,,,,,,,,
1988-07-08,,,,,,,,,
1988-07-15,,,,,,,,,
1988-07-22,,,,,,,,,
1988-07-29,,,,,,,,,
1988-08-05,,,,,,,,,
1988-08-12,,,,,,,,,
1988-08-19,,,,,,,,,
1988-08-26,,,,,,,,,
1988-09-02,,,,,,,,,
1988-09-09,,,,,,,,,
1988-09-16,,,,,,,,,
1988-09-23,,,,,,,,,
1988-09-30,,,,,,,,,
1988-10-07,,,,,,,,,
1988-10-14,,,,,,,,,
1988-10-21,,,,,,,,,
1988-10-28,,,,,,,,,
1988-11-04,,,,,,,,,
1988-11-11,,,,,,,,,
1988-11-18,,,,,,,,,
1988-11-25,,,,,,,,,
1988-12-02,,,,,,,,,
1988-12-09,,,,,,,,,
1988-12-16,,,,,,,,,
1988-12-23,,,,,,,,,
1988-12-30,,,,,,,,,
1989-01-06,,,,,,,,,
1989-01-13,,,,,,,,,
1989-01-20,,,,,,,,,
1989-01-27,,,,,,,,,
1989-02-03,,,,,,,,,
1989-02-10,,,,,,,,,
1989-02-17,,,,,,,,,
1989-02-24,,,,,,,,,
1989-03-03,,,,,,,,,
1989-03-10,,,,,,,,,
1989-03-17,,,,,,,,,
1989-03-24,,,,,,,,,
1989-03-31,,,,,,,,,
1989-04-07,,,,,,,,,
1989-04-14,,,,,,,,,
1989-04-21,,,,,,,,,
1989-04-28,,,,,,,,,
1989-05-05,,,,,,,,,
1989-05-12,,,,,,,,,
1989-05-19,,,,,,,,,
1989-05-26,,,,,,,,,
1989-06-02,,,,,,,,,
1989-06-09,,,,,,,,,
1989-06-16,,,,,,,,,
1989-06-23,,,,,,,,,
1989-06-30,,,,,,,,,
1989-07-07,,,,,,,,,
1989-07-14,,,,,,,,,
1989-07-21,,,,,,,,,
1989-07-28,,,,,,,,,
1989-08-04,,,,,,,,,
1989-08-11,,,,,,,,,
1989-08-18,,,,,,,,,
1989-08-25,,,,,,,,,
1989-09-01,,,,,,,,,
1989-09-08,,,,,,,,,
1989-09-15,,,,,,,,,
1989-09-22,,,,,,,,,
1989-09-29,,,,,,,,,
1989-10-06,,,,,,,,,
1989-10-13,,,,,,,,,
1989-10-20,,,,,,,,,
1989-10-27,,,,,,,,,
1989-11-03,,,,,,,,,
1989-11-10,,,,,,,,,
1989-11-17,,,,,,,,,
1989-11-24,,,,,,,,,
1989-12-01,,,,,,,,,
1989-12-08,,,,,,,,,
1989-12-15,,,,,,,,,
1989-12-22,,,,,,,,,
1989-12-29,,,,,,,,,
1990-01-05,,,,,2.7075,,,,
1990-01-12,,,,,2.699,,,,
1990-01-19,,,,,2.706,,,,
1990-01-26,,,,,2.7045,,,,
1990-02-02,,,,,2.699,,,,
1990-02-09,,,,,2.7055,,,,
1990-02-16,,,,,2.7055,,,,
1990-02-23,,,,,2.704,,,,
1990-03-02,,,,,2.707,,,,
1990-03-09,,,,,2.705,,,,
1990-03-16,,,,,2.7175,,,,
1990-03-23,,,,,2.723,,,,
1990-03-30,,,,,2.728,,,,
1990-04-06,,,,,2.7305,,,,
1990-04-13,,,,,2.73,,,,
1990-04-20,,,,,2.7195,,,,
1990-04-27,,,,,2.717,,,,
1990-05-04,,,,,2.71,,,,
1990-05-11,,,,,2.695,,,,
1990-05-18,,,,,2.7005,,,,
1990-05-25,,,,,2.6985,,,,
1990-06-01,,,,,2.709,,,,
1990-06-08,,,,,2.708,,,,
1990-06-15,,,,,2.7125,,,,
1990-06-22,,,,,2.7105,,,,
1990-06-29,,,,,2.711,,,,
1990-07-06,,,,,2.707,,,,
1990-07-13,,,,,2.704,,,,
1990-07-20,,,,,2.7075,,,,
1990-07-27,,,,,2.7075,,,,
1990-08-03,,,,,2.7005,,,,
1990-08-10,,,,,2.7025,,,,
1990-08-17,,,,,2.693,,,,
1990-08-24,,,,,2.695,,,,
1990-08-31,,,,,2.689,,,,
1990-09-07,,,,,2.689,,,,
1990-09-14,,,,,2.6955,,,,
1990-09-21,,,,,2.703,,,,
1990-09-28,,,,,2.7015,,,,
1990-10-05,,,,,2.6995,,,,
1990-10-12,,,,,2.6985,,,,
1990-10-19,,,,,2.6995,,,,
1990-10-26,,,,,2.7005,,,,
1990-11-02,,,,,2.702,,,,
1990-11-09,,,,,2.7005,,,,
1990-11-16,,,,,2.6965,,,,
1990-11-23,,,,,2.682,,,,
1990-11-30,,,,,2.7045,,,,
1990-12-07,,,,,2.697,,,,
