date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD,BRL,MXN,PLN,HUF
2013-01-04,6.212,9780.0,54.9252,1062.9,3.047,40.88,1.2292,30.4725,29.0355,2.0347,12.7632,3.15855,223.33
2013-01-11,6.18375,9890.7,54.7968,1056.58,3.0211,40.565,1.2247,30.28,28.943,2.03655,12.6444,3.08435,221.765
2013-01-18,6.19125,9838.45,53.9186,1059.38,3.0116,40.6775,1.22785,29.731,28.9665,2.04335,12.6694,3.1308,220.695
2013-01-25,6.2205,9787.5,53.8994,1084.5,3.045,40.7775,1.23445,29.946,29.287,2.0275,12.704,3.0982,220.985
2013-02-01,6.21275,9665.0,53.0615,1091.96,3.1065,40.575,1.24,29.78,29.625,1.981,12.6288,3.0413,212.76
2013-02-08,6.2215,9645.0,53.539,1091.22,3.0985,40.72,1.23725,29.79,29.7255,1.971,12.7264,3.1023,217.365
2013-02-15,6.2195,9665.0,54.3694,1082.68,3.0938,40.595,1.23765,29.9,29.5955,1.96085,12.6826,3.1318,218.875
2013-02-22,6.2345,9705.5,54.3434,1085.86,3.1017,40.75,1.2376,29.8435,29.6555,1.97165,12.762,3.16285,223.285
2013-03-01,6.2215,9712.0,55.048,1090.1,3.0965,40.74,1.23955,29.7985,29.6705,1.98085,12.7806,3.1836,226.745
2013-03-08,6.206,9682.0,54.371,1093.62,3.106,40.675,1.24815,29.7425,29.673,1.94885,12.672,3.1813,230.5
2013-03-15,6.20445,9713.0,54.0566,1112.46,3.1235,40.575,1.2484,29.5275,29.7345,1.97665,12.436,3.172,233.425
2013-03-22,6.20325,9762.0,54.3482,1117.12,3.1119,40.875,1.2488,29.29,29.873,2.01625,12.3739,3.2137,236.055
2013-03-29,6.206,9733.0,54.5576,1112.76,3.0938,40.855,1.2403,29.265,29.8405,2.0196,12.321,3.26115,237.135
2013-04-05,6.199,9748.5,54.8174,1137.54,3.0582,41.185,1.23985,29.265,29.948,1.9967,12.2892,3.1935,230.71
2013-04-12,6.18635,9702.0,54.6747,1132.8,3.039,41.26,1.2367,29.06,29.948,1.9775,12.0848,3.13415,225.41
2013-04-19,6.17455,9700.0,54.0002,1119.76,3.0355,41.15,1.2364,28.615,29.783,2.00365,12.2218,3.1351,228.295
2013-04-26,6.1675,9707.5,54.353,1110.56,3.0353,41.2,1.2365,29.2475,29.558,1.99935,12.1648,3.1925,231.765
2013-05-03,6.154,9747.5,53.8279,1097.32,3.0335,40.785,1.2338,29.68,29.535,2.01315,12.0952,3.1617,226.18
2013-05-10,6.15425,9750.0,54.9469,1115.8,2.9908,41.185,1.2391,29.81,29.7605,2.02495,12.1118,3.1989,226.73
2013-05-17,6.1465,9775.0,55.0793,1120.18,3.022,41.265,1.25685,29.8625,29.9805,2.03455,12.312,3.2553,226.69
2013-05-24,6.12385,9830.0,55.7702,1128.02,3.0487,41.69,1.2644,29.94,29.9255,2.04875,12.4994,3.24575,223.635
2013-05-31,6.15,9942.0,56.6978,1132.76,3.0955,42.342,1.265,30.428,29.99,2.13355,12.8348,3.30305,228.685
2013-06-07,6.1445,9974.4,57.1813,1121.6,3.0947,42.2605,1.2456,30.6455,29.732,2.13085,12.718,3.2019,223.25
2013-06-14,6.1333,9922.7,57.504,1126.82,3.1145,42.844,1.2502,30.5655,29.855,2.14105,12.6886,3.1709,217.58
