date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD,BRL,MXN,CLP,PLN,HUF,EUR,JPY,CAD
2013-01-04,1.7048,5.6275,9.74,4.6909,4.925,4.1947,3.6043,4.6925,3.0425,7.7793,9.5197,7.7056,11.1337,12.5702,7.3044,9.354,5.0424
2013-01-11,1.7974,6.6,9.9479,4.7796,4.875,4.1625,3.5989,4.0175,3.2225,7.4322,8.7525,7.2911,10.6293,12.8753,7.5154,11.0223,5.0723
2013-01-18,1.4171,6.4725,10.3001,5.2498,4.88,4.1913,3.4333,4.685,2.79,6.7618,8.6609,7.4769,11.8918,13.6953,8.6012,12.1935,5.655
2013-01-25,1.2579,5.9375,9.7485,6.7835,5.2225,4.1642,3.6204,4.9325,2.905,6.2728,8.7447,7.1032,11.2754,12.1337,7.7825,11.5936,6.3163
2013-02-01,1.6363,6.025,9.6894,8.1224,7.81,4.3564,5.2982,5.165,4.4425,8.1135,8.7407,7.3779,11.1482,11.7714,7.6924,11.3523,5.7477
2013-02-08,1.5752,6.01,9.3534,7.8025,7.45,4.4448,4.5262,5.2725,4.825,7.4442,9.094,7.3709,11.7738,12.7338,8.2805,12.3502,5.6167
2013-02-15,1.4637,6.01,9.0672,7.0207,7.1,3.9369,4.2565,5.25,4.59,7.9216,8.3465,6.436,10.7191,11.8738,8.3126,12.5642,5.5254
2013-02-22,1.6656,5.895,9.4642,7.327,7.1075,4.167,4.3181,5.2525,4.9275,8.6644,9.1226,6.4663,11.0961,11.7094,9.2491,12.5187,7.0019
2013-03-01,1.5934,5.7925,9.7483,6.862,6.945,4.085,4.103,5.2775,4.7675,8.6648,9.6129,6.5588,11.3703,12.4841,8.9743,12.0107,6.9463
2013-03-08,1.5079,5.835,9.1046,7.0097,6.6475,3.8386,4.011,5.0925,3.765,7.9037,8.14,6.386,10.3148,11.5233,7.8829,12.6891,6.1971
2013-03-15,1.4152,6.1825,8.9427,9.0049,6.8275,3.5409,4.5855,4.96,3.33,7.6018,8.5333,5.8595,10.1275,12.6145,7.7589,11.8448,5.6344
2013-03-22,1.4137,6.0025,8.5648,8.3929,7.0875,3.7433,4.4311,5.165,3.6375,9.6945,8.7793,5.9355,11.5617,13.5344,9.4396,12.9558,5.8505
2013-03-29,1.327,5.73,8.0148,7.3485,6.8325,3.8027,4.2895,5.2175,3.45,8.1256,8.5149,4.8341,10.8134,12.6124,8.5212,12.1838,5.4621
2013-04-05,1.3315,5.95,7.9337,9.2351,6.8,4.6219,4.1246,5.2375,3.6575,8.0061,8.809,5.4954,10.3746,12.5737,7.8997,13.0612,5.9296
2013-04-12,1.3018,5.8675,7.5799,9.4429,6.9725,5.0126,3.5583,5.27,3.8925,8.4015,9.0089,7.8457,10.5094,11.7409,7.7781,12.8918,5.5416
2013-04-19,1.5547,5.815,8.5262,8.3615,7.785,4.6247,3.5216,5.285,3.415,9.6267,10.1504,8.1438,10.8734,12.4826,7.9862,13.6897,5.8945
2013-04-26,1.6171,5.67,8.167,7.4285,7.975,4.617,3.7611,5.0725,3.335,8.4993,8.7763,6.9895,10.8032,12.2328,7.9174,12.0468,5.4105
2013-05-03,1.6515,5.6125,8.3626,6.6629,8.715,4.6136,3.639,6.3775,3.64,8.1342,8.2584,6.7328,10.626,11.61,7.3135,12.114,5.4221
2013-05-10,2.3803,6.015,8.5392,8.0618,7.0425,4.4065,3.9976,6.4375,4.1,7.8944,9.2009,5.9731,10.77,11.924,8.2358,12.999,6.3258
2013-05-17,2.0872,6.5925,8.3707,9.1469,7.83,4.4763,5.5709,6.36,5.085,9.3275,9.5576,7.0049,11.45,12.994,8.5823,12.543,7.8851
2013-05-24,2.1643,6.8625,8.7332,9.1039,7.4175,6.9809,5.8074,6.695,4.925,9.4595,10.636,8.4571,11.29,13.187,8.283,13.143,7.5388
2013-05-31,2.2654,8.63,9.298,9.2666,7.81,7.0204,6.3057,6.5625,4.925,13.794,14.523,11.027,12.429,14.556,8.7035,13.959,7.58
2013-06-07,2.0755,8.6825,9.1349,9.269,7.6625,7.1318,6.0987,6.66,4.8425,13.546,13.81,11.261,12.268,14.355,8.1984,15.128,7.4295
2013-06-14,2.0225,13.5925,10.594,10.388,9.1275,8.304,6.9038,7.0075,4.76,13.828,13.771,10.995,12.378,13.555,8.1571,16.102,7.1084
2013-06-21,2.2899,15.6575,12.419,12.716,11.0,9.01,7.911,7.845,5.435,17.952,17.075,14.799,15.185,15.995,8.6656,16.615,8.8739
2013-06-28,2.3625,14.14,12.51,11.133,8.865,7.8937,7.4529,8.0325,5.4475,15.255,14.865,14.064,14.311,15.378,8.7364,14.617,8.7754
2013-07-05,1.7402,12.33,12.99,10.149,8.63,7.7288,7.1898,7.26,4.6625,16.268,15.235,13.866,13.777,14.998,8.9141,13.992,8.6473
2013-07-12,1.7117,11.2425,12.317,8.2445,7.96,7.434,6.2398,6.4025,4.2575,13.882,13.255,11.854,12.608,13.729,9.0136,14.433,8.3468
2013-07-19,1.6171,13.33,11.69,7.6801,7.5,6.7907,5.6587,6.72,3.8875,13.277,12.109,10.533,11.341,12.5,7.9559,13.094,6.8752
2013-07-26,1.3683,12.6075,11.548,7.1444,7.7125,5.9733,5.1542,6.03,3.6175,13.05,12.486,9.962,11.204,11.515,7.6523,12.514,6.7236
2013-08-02,1.1304,12.1875,13.091,7.8876,8.7275,5.8061,5.243,6.2,3.82,13.854,12.152,10.996,11.079,12.36,7.3053,11.363,6.8304
2013-08-09,1.1874,12.085,12.281,6.8388,8.1525,5.6123,5.0511,6.2825,3.425,12.719,11.524,10.125,10.783,11.572,7.0454,11.537,6.6928
2013-08-16,1.2216,11.77,12.742,6.8252,8.36,5.6825,5.583,5.9925,3.4725,13.865,11.69,9.4974,10.726,11.601,7.0399,11.393,6.8487
2013-08-23,1.251,17.99,16.433,7.846,10.025,6.9255,6.2563,7.0825,3.8925,16.146,14.514,11.0,11.571,12.101,7.85,12.358,7.8451
2013-08-30,1.255,18.39,20.982,7.6475,9.075,6.9691,5.685,7.21,3.73,17.654,16.303,11.206,12.241,12.759,8.2696,12.66,7.7883
2013-09-06,1.1893,20.7275,20.787,8.1822,9.965,6.8505,5.7706,7.7025,4.17,16.0,14.754,10.762,12.813,12.483,7.7086,12.531,6.8402
2013-09-13,1.3196,18.4375,17.296,7.1745,9.435,6.7734,6.1559,8.0025,4.0925,14.438,12.663,9.884,12.193,11.848,7.2438,11.805,6.6648
2013-09-20,1.238,16.8425,15.632,6.5478,9.8625,6.0245,5.1906,7.825,3.9725,13.718,12.317,8.8245,12.058,11.695,6.9043,11.079,5.7444
2013-09-27,1.2802,16.7425,14.905,7.078,10.2375,5.973,5.1774,7.5075,3.8575,14.668,14.328,9.8329,12.002,11.596,6.7635,10.394,6.0019
2013-10-04,1.2526,15.7525,14.657,7.2062,10.7125,6.4115,5.2416,7.4225,3.96,14.1,13.555,9.8927,11.778,11.285,7.2604,10.754,6.1143
2013-10-11,1.3467,15.2075,14.9,6.8706,10.3375,6.4182,4.8526,6.9925,3.7275,11.973,12.283,9.5163,10.57,10.353,6.7801,10.306,5.8548
2013-10-18,1.3884,14.2925,12.88,6.099,8.555,6.1601,4.3936,6.545,3.3275,11.278,10.389,8.4038,10.189,9.788,6.7093,9.1102,5.3643
2013-10-25,1.5817,12.8975,11.406,6.0136,8.3225,6.1122,4.3771,6.1225,3.2425,10.596,10.601,9.4639,9.9173,9.8185,6.6906,8.5499,5.7289
2013-11-01,1.5849,13.15,10.618,5.9119,7.9175,5.6192,4.1001,5.7675,3.1975,12.556,11.688,10.369,10.146,10.464,7.3195,8.7648,5.4601
2013-11-08,1.7807,14.93,13.46,6.3738,9.0325,5.3935,4.5166,5.87,3.2075,16.051,13.153,11.043,10.113,11.513,7.2182,9.0259,5.7895
2013-11-15,1.5493,14.3425,12.242,5.7655,8.6325,5.8981,4.4054,5.865,3.2775,11.947,10.163,9.3794,9.2886,9.7117,6.4491,8.9448,5.137
2013-11-22,1.6744,14.46,11.511,6.094,8.2425,6.0436,4.3971,6.0225,3.225,13.398,11.073,9.4652,9.4468,10.221,6.8747,9.4608,6.3644
2013-11-29,1.8156,14.5225,11.752,5.4537,8.305,6.1804,4.5203,6.3125,3.26,13.165,11.019,9.0205,8.7983,10.255,6.6856,9.2223,6.4915
2013-12-06,1.9352,16.73,12.2,5.6332,8.145,5.7395,4.4342,6.8075,3.24,12.857,11.616,8.7075,8.5806,10.071,6.2845,9.1501,5.956
2013-12-13,2.1861,15.62,11.341,6.3404,8.09,6.093,4.6445,6.5475,3.18,12.576,12.171,8.505,8.8331,10.296,6.9165,10.013,6.2473
2013-12-20,2.0973,15.2425,10.695,6.0453,7.815,6.2245,4.4284,6.24,3.6775,12.556,10.817,8.2451,8.3681,9.7535,6.3443,8.8391,5.5514
2013-12-27,2.0493,14.8625,10.354,5.8734,7.6825,6.7567,4.5018,6.5775,3.7075,12.266,10.989,8.2153,8.6364,9.9708,6.9484,9.5634,6.1198
