date,KRW,THB,INR,PHP,CNH,IDR,MYR,SGD,TWD
1996-12-20,,4.45,,,,1.8,1.85,2.1,
1996-12-27,,4.45,,,,1.8,1.85,2.1,
1997-01-03,,4.45,,,,1.8,1.85,2.1,
1997-01-10,,4.45,,,,1.8,1.85,2.1,
1997-01-17,,4.45,,,,1.8,1.85,2.1,
1997-01-24,,2.75,,,,3.5,3.5,2.1,
1997-01-31,,2.75,,,,3.5,3.5,2.1,
1997-02-07,,2.75,,,,3.5,3.5,2.1,
1997-02-14,,2.75,,,,3.5,3.5,2.1,
1997-02-21,,2.75,,,,3.5,3.5,2.1,
1997-02-28,,2.75,,,,3.5,3.5,2.1,
1997-03-07,,2.75,,,,3.5,3.5,2.1,
1997-03-14,,2.75,,,,3.5,3.5,2.1,
1997-03-21,,2.75,,,,3.5,3.5,2.1,
1997-03-28,,2.75,,,,3.5,3.5,2.1,
1997-04-04,,2.0,,,,3.5,3.5,2.1,
1997-04-11,,2.0,,,,3.5,3.5,2.1,
1997-04-18,,2.0,,,,3.5,3.5,2.1,
1997-04-25,,2.0,,,,3.5,3.5,2.1,
1997-05-02,,1.5,,,,3.5,3.5,2.1,
1997-05-09,,1.5,,,,3.5,3.5,2.1,
1997-05-16,,1.5,,,,3.5,3.5,2.1,
1997-05-23,,15.0,,,,3.5,3.5,2.1,
1997-05-30,,13.5,,,,3.5,3.5,2.1,
1997-06-06,,13.5,,,,3.5,3.5,2.1,
1997-06-13,,13.5,,,,3.5,3.5,2.1,
1997-06-20,,,,,,3.5,3.5,2.1,
1997-06-27,,,,,,3.5,3.5,2.1,
1997-07-04,,,,,,3.5,3.5,2.1,
1997-07-11,,,,,,3.5,3.5,2.1,
1997-07-18,,,,,,3.5,3.5,2.1,
1997-07-25,,,,,,3.5,3.5,2.1,
1997-08-01,,,,,,3.5,3.5,2.1,
1997-08-08,,,,,,9.5,3.5,2.1,
1997-08-15,,,,,,9.5,3.5,2.1,
1997-08-22,,,,,,9.5,3.5,2.1,
1997-08-29,,,,,,20.0,17.5,7.0,
1997-09-05,,,,,,20.0,17.5,7.0,
1997-09-12,,,,,,20.0,17.5,7.0,
1997-09-19,,,,,,20.0,17.5,7.0,6.0
1997-09-26,,,,,,20.0,17.5,7.0,6.0
1997-10-03,,,,,,20.0,17.5,7.0,6.0
1997-10-10,,,,,,20.0,17.5,7.0,6.0
1997-10-17,,,,,,20.0,17.5,7.0,6.0
1997-10-24,,,,,,20.0,17.5,7.0,12.0
1997-10-31,,,,,,20.0,17.5,7.0,6.0
1997-11-07,,,,,,20.0,17.5,7.0,6.0
1997-11-14,,,,,,20.0,17.5,7.0,6.0
1997-11-21,,,,,,20.0,17.5,10.5,6.0
1997-11-28,,,,,,20.0,17.5,10.5,6.0
1997-12-05,,,,,,20.0,17.5,10.5,6.0
1997-12-12,,,,,,20.0,17.5,10.5,6.0
1997-12-19,,,,,,20.0,17.5,10.5,6.0
1997-12-26,,,,,,20.0,17.5,10.5,6.0
1998-01-02,,55.0,,,,82.5,47.5,10.5,6.0
1998-01-09,,70.0,,,,112.5,47.5,11.5,6.0
1998-01-16,,70.0,,,,112.5,60.0,14.5,6.0
1998-01-23,,70.0,,,,112.5,60.0,14.5,6.0
1998-01-30,,70.0,,,,112.5,60.0,14.5,6.0
1998-02-06,,70.0,,,,112.5,60.0,14.5,6.0
1998-02-13,,70.0,,,,112.5,60.0,14.5,6.0
1998-02-20,,70.0,,,,112.5,60.0,14.5,6.0
1998-02-27,,70.0,,,,112.5,60.0,14.5,6.0
1998-03-06,,70.0,,,,112.5,30.0,14.5,6.0
1998-03-13,,70.0,,,,112.5,30.0,14.5,6.0
1998-03-20,,70.0,,,,112.5,30.0,14.5,6.0
1998-03-27,,,,,,,,14.5,6.0
1998-04-03,,,,,,,,,6.0
1998-04-10,,,,,,,,,6.0
1998-04-17,,,,,,,,,6.0
1998-04-24,,,,,,,,,6.0
1998-05-01,,,,,,,,,6.0
1998-05-08,,,,,,,,,6.0
1998-05-15,,,,,,,,,6.0
1998-05-22,,,,,,,,,6.0
1998-05-29,,,,,,,,,6.0
1998-06-05,,,,,,,,,6.0
1998-06-12,,,,,,,,,6.0
1998-06-19,,,,,,,,,6.0
1998-06-26,,,,,,,,,6.0
1998-07-03,,,,,,,,,6.0
1998-07-10,,,,,,,,,6.0
1998-07-17,,,,,,,,,6.0
1998-07-24,,,,,,,,,6.0
1998-07-31,,14.0,,,,65.0,15.0,13.5,
1998-08-07,,23.0,,,,65.0,22.0,13.5,
1998-08-14,,20.0,,,,65.0,23.0,13.5,
1998-08-21,,16.0,,,,65.0,17.0,12.5,
1998-08-28,,25.0,,,,55.0,25.0,12.5,
1998-09-04,,25.0,,,,55.0,30.0,12.5,
1998-09-11,,15.0,,,,55.0,30.0,12.5,
1998-09-18,,15.0,,,,55.0,30.0,7.5,4.0
1998-09-25,,15.0,,,,55.0,30.0,7.5,4.0
1998-10-02,,15.0,,,,55.0,30.0,7.5,4.0
1998-10-09,,15.0,,,,55.0,30.0,8.5,8.0
1998-10-16,,14.0,,,,55.0,30.0,8.5,6.5
1998-10-23,,14.0,,,,55.0,30.0,8.5,6.0
1998-10-30,,14.0,,,,55.0,30.0,8.5,5.7
1998-11-06,,14.0,,,,55.0,30.0,7.0,5.7
1998-11-13,,14.0,,,,55.0,30.0,7.0,5.7
1998-11-20,,14.0,,,,55.0,30.0,7.0,5.7
1998-11-27,,11.5,,,,55.0,30.0,7.0,5.0
1998-12-04,,11.5,,,,55.0,30.0,7.0,5.0
1998-12-11,,10.5,,,,55.0,30.0,7.0,4.5
1998-12-18,,10.5,,,,55.0,30.0,7.0,4.5
1998-12-25,,10.5,,,,55.0,30.0,7.0,4.5
1999-01-01,,10.5,,,,55.0,30.0,7.0,4.5
1999-01-08,,10.5,,,,45.0,30.0,7.0,4.5
1999-01-15,,12.5,,,,45.0,30.0,7.0,4.5
1999-01-22,,12.5,,,,45.0,30.0,6.5,3.5
1999-01-29,,12.5,,,,50.0,30.0,6.5,3.5
1999-02-05,,12.5,,,,45.0,30.0,6.5,3.5
1999-02-12,,12.5,,,,35.0,30.0,6.5,3.5
1999-02-19,,12.5,,,,45.0,30.0,5.5,3.5
1999-02-26,,12.5,,,,45.0,30.0,5.5,3.5
1999-03-05,,12.5,,,,45.0,30.0,5.5,3.5
1999-03-12,,,,,,,,5.5,
1999-03-19,,,,,,,,5.5,
1999-03-26,,,,,,,,5.5,
1999-04-02,,,,,,,,5.5,
1999-04-09,,,,,,,,4.5,
1999-04-16,,,,,,,,4.5,
1999-04-23,,,,,,,,4.5,
1999-04-30,,,,,,,,4.5,
1999-05-07,,,,,,,,4.5,
1999-05-14,,,,,,,,4.5,
1999-05-21,,,,,,,,4.5,
1999-05-28,,,,,,,,4.5,
1999-06-04,,,,,,,,4.5,
1999-06-11,,,,,,,,4.5,
1999-06-18,,,,,,,,4.5,
1999-06-25,,,,,,,,4.5,
1999-07-02,,,,,,,,4.5,
1999-07-09,,,,,,,,4.5,
1999-07-16,,,,,,,,3.5,
1999-07-23,,,,,,,,3.5,
1999-07-30,,,,,,,,3.5,
1999-08-06,,,,,,,,3.5,
1999-08-13,,,,,,,,3.5,
1999-08-20,,,,,,,,4.5,
1999-08-27,,,,,,,,4.5,
1999-09-03,,,,,,,,4.5,
1999-09-10,,,,,,,,4.5,
1999-09-17,,,,,,,,4.5,
1999-09-24,,,,,,,,4.5,
1999-10-01,,,,,,,,4.5,
1999-10-08,,,,,,,,4.5,
1999-10-15,,,,,,,,4.55,
1999-10-22,,,,,,,,4.55,
1999-10-29,,,,,,,,4.0,
1999-11-05,,,,,,,,4.0,
1999-11-12,,,,,,,,4.0,
1999-11-19,,,,,,,,4.0,
1999-11-26,,,,,,,,4.0,
1999-12-03,,,,,,,,4.0,
1999-12-10,,,,,,,,4.0,
1999-12-17,,,,,,,,4.0,
1999-12-24,,,,,,,,4.0,
1999-12-31,,,,,,,,4.0,
2000-01-07,,,,,,,,4.0,
2000-01-14,,,,,,,,4.0,
2000-01-21,,,,,,,,4.0,
2000-01-28,,,,,,,,4.0,
2000-02-04,,,,,,,,5.5,
2000-02-11,,,,,,,,5.5,
2000-02-18,,,,,,,,5.5,
2000-02-25,,,,,,,,4.5,
2000-03-03,,,,,,,,4.5,
2000-03-10,,,,,,,,4.5,
2000-03-17,,,,,,,,3.5,
2000-03-24,,,,,,,,3.5,
2000-03-31,,,,,,,,3.5,
2000-04-07,,,,,,,,3.5,
2000-04-14,,,,,,,,3.5,
2000-04-21,,,,,,,,4.0,
2000-04-28,,,,,,,,4.0,
2000-05-05,,,,,,,,4.0,
2000-05-12,,10.5,,,,,,4.0,
2000-05-19,,8.0,,,,,,4.0,
2000-05-26,,9.0,,,,,,4.0,
2000-06-02,,8.0,,,,,,4.0,
2000-06-09,,6.5,,,,,,4.0,
2000-06-16,,5.0,,,,15.0,,3.0,
2000-06-23,,5.0,,,,15.0,,3.0,
2000-06-30,,5.0,,,,12.5,,3.0,
2000-07-07,5.0,7.5,,,,30.0,,3.0,
2000-07-14,5.0,7.5,,,,30.0,,3.0,
2000-07-21,3.5,7.0,,,,30.0,,3.0,
2000-07-28,4.5,9.0,,,,20.0,,3.0,
2000-08-04,4.0,10.0,,,,20.0,,3.0,
2000-08-11,4.0,9.0,,,,20.0,,3.0,
2000-08-18,3.25,8.0,,,,20.0,,3.0,
2000-08-25,2.5,8.25,,,,20.0,,2.5,
2000-09-01,3.5,7.5,,,,17.5,,2.5,
2000-09-08,3.8,8.0,,,,17.5,,2.5,
2000-09-15,3.8,8.5,,,,25.5,,3.5,
2000-09-22,8.75,11.5,,,,25.5,,3.5,
2000-09-29,7.75,10.5,,,,25.5,,3.5,
2000-10-06,7.5,9.0,,,,21.0,,3.5,
2000-10-13,7.5,12.5,,,,21.0,,3.5,
2000-10-20,9.5,13.0,,,,16.0,,3.5,
2000-10-27,10.0,12.5,,,,16.0,,3.5,
2000-11-03,7.45,12.0,,,,18.0,,4.0,
2000-11-10,6.0,10.75,,,,18.0,,3.5,
2000-11-17,5.5,9.0,,,,18.0,,3.5,
2000-11-24,12.5,11.0,,,,18.0,,3.5,
2000-12-01,12.5,9.5,,,,18.0,,3.5,
2000-12-08,12.5,8.0,,,,18.0,,3.5,
2000-12-15,13.5,8.0,,15.0,,17.0,,3.5,
2000-12-22,13.5,13.5,,15.0,,17.0,,3.5,
2000-12-29,13.5,14.0,,15.0,,17.0,,3.5,
2001-01-05,16.5,14.0,,15.0,,18.0,,4.75,
2001-01-12,15.0,12.0,,15.0,,18.0,,4.5,
2001-01-19,15.0,12.0,,15.0,,18.0,,4.0,
2001-01-26,13.5,10.25,,30.0,,18.0,,4.0,
2001-02-02,10.5,9.0,,30.0,,21.0,,4.0,
2001-02-09,10.5,9.5,,30.0,,21.0,,4.0,
2001-02-16,10.5,8.0,,22.0,,21.0,,4.0,
2001-02-23,10.5,8.5,,17.5,,21.0,,4.0,
2001-03-02,10.5,8.5,,17.5,,20.0,,4.0,
2001-03-09,10.5,9.0,,17.0,,20.0,,4.65,
2001-03-16,12.5,8.7,,17.0,,20.0,,5.2,
2001-03-23,13.0,10.0,,17.0,,20.0,,5.2,
2001-03-30,12.7,10.5,,17.0,,20.0,,6.0,
2001-04-06,17.0,11.0,,17.0,,20.0,,7.0,
2001-04-13,15.0,9.0,,17.0,,20.0,,6.75,
2001-04-20,13.0,8.5,,17.0,,20.0,,4.8,
2001-04-27,10.5,8.0,,17.0,,20.0,,5.3,
2001-05-04,10.0,7.0,,17.0,,20.0,,5.3,
2001-05-11,9.0,7.0,,17.0,,20.0,,5.0,
2001-05-18,8.0,5.5,,17.0,,20.0,,4.5,
2001-05-25,8.0,5.0,,17.0,,20.0,,4.5,
2001-06-01,8.0,6.5,,15.0,,20.0,,4.2,
2001-06-08,8.0,7.0,,12.0,,20.0,,4.2,
2001-06-15,8.0,6.0,,12.0,,20.0,,4.2,
2001-06-22,9.0,5.0,,12.0,,20.0,,4.2,
2001-06-29,6.5,5.0,,12.0,,20.0,,4.2,4.55
2001-07-06,4.5,6.0,,12.0,,20.0,,3.8,4.05
2001-07-13,7.0,6.0,,12.0,,20.0,,4.5,7.0
2001-07-20,7.0,6.0,,12.0,,20.0,,3.5,6.0
2001-07-27,7.0,5.25,,12.0,,15.0,,4.5,4.8
2001-08-03,8.45,6.0,,12.0,,15.0,,5.75,4.5
2001-08-10,7.45,6.0,,12.0,,15.0,,7.05,4.5
2001-08-17,9.25,7.15,,12.0,,15.0,,6.75,4.5
2001-08-24,6.75,6.75,,12.0,,15.0,,6.25,4.75
2001-08-31,5.55,6.75,,12.0,,15.0,,5.25,3.75
2001-09-07,5.55,6.45,,12.0,,15.0,,5.5,3.75
2001-09-14,7.25,8.0,,12.0,,15.0,,5.75,4.45
2001-09-21,6.5,5.75,,12.0,,15.0,,5.0,4.45
2001-09-28,4.75,5.5,,12.0,,15.0,,7.0,3.25
2001-10-05,7.0,5.5,,12.0,,15.0,,5.9,3.25
2001-10-12,5.5,5.5,,12.0,,15.0,,5.9,3.25
2001-10-19,5.0,5.5,,12.0,,15.0,,6.75,3.25
2001-10-26,4.5,4.35,,12.0,,15.0,,6.35,2.75
2001-11-02,4.5,4.35,,12.0,,15.0,,5.75,1.75
2001-11-09,4.5,4.35,,12.0,,15.0,,4.75,1.75
2001-11-16,4.5,3.75,,12.0,,15.0,,4.55,1.75
2001-11-23,4.5,3.75,,12.0,,15.0,,5.0,1.75
2001-11-30,6.0,4.0,,12.0,,13.5,,5.0,2.25
2001-12-07,5.0,4.0,,11.0,,13.5,,4.55,2.0
2001-12-14,5.0,4.0,,11.0,,13.5,,4.55,2.0
2001-12-21,8.5,4.0,,11.0,,13.5,,4.55,3.75
2001-12-28,8.5,4.0,,11.0,,13.5,,4.75,4.95
2002-01-04,8.0,4.7,,11.0,,13.5,,5.0,3.75
2002-01-11,8.0,4.5,,11.0,,13.5,,4.0,3.75
2002-01-18,7.0,4.5,,11.0,,10.0,,4.0,3.0
2002-01-25,6.0,4.5,,11.0,,10.0,,3.5,2.5
2002-02-01,6.0,4.5,,7.5,,10.0,,3.2,2.5
2002-02-08,6.0,4.5,,7.5,,10.0,,3.2,2.5
2002-02-15,6.0,4.5,,7.5,,10.0,,3.2,2.5
2002-02-22,6.0,4.0,,7.5,,10.0,,3.2,3.0
2002-03-01,5.5,4.0,,4.5,,11.0,,3.2,3.0
2002-03-08,5.5,4.0,,4.5,,11.0,,3.0,3.0
2002-03-15,5.5,4.0,,4.5,,11.0,,3.0,3.0
2002-03-22,5.5,4.0,,4.5,,11.0,,3.5,3.0
2002-03-29,4.75,4.0,,4.5,,11.0,,3.5,3.0
2002-04-05,4.75,4.0,,4.5,,11.0,,3.75,2.7
2002-04-12,4.25,4.0,,5.5,,11.0,,3.75,2.7
2002-04-19,5.75,4.0,,5.5,,11.0,,3.5,2.7
2002-04-26,6.25,4.0,,5.5,,11.0,,3.5,2.7
2002-05-03,6.25,4.0,,5.5,,11.0,,3.5,2.7
2002-05-10,7.25,4.0,,5.5,,11.0,,3.5,2.7
2002-05-17,7.25,4.0,,5.5,,11.0,,4.625,2.7
2002-05-24,7.75,4.0,,5.5,,11.0,,4.75,2.7
2002-05-31,8.25,4.0,,5.5,,11.0,,4.5,3.5
2002-06-07,7.5,4.375,,5.5,,11.0,,4.25,3.5
2002-06-14,6.7,4.375,,5.5,,11.0,,4.25,3.5
2002-06-21,8.2,4.375,,5.5,,11.0,,4.75,4.2
2002-06-28,8.95,4.375,,5.5,,11.0,,4.625,4.2
2002-07-05,8.55,4.375,,5.5,,11.0,,3.9,4.2
2002-07-12,9.5,5.9,,5.5,,11.0,,5.25,4.2
2002-07-19,8.5,5.75,,5.5,,11.0,,5.125,4.6
2002-07-26,9.85,7.5,,9.0,,11.0,,5.75,5.9
2002-08-02,10.95,11.0,,9.0,,11.0,,5.375,5.9
2002-08-09,11.8,9.5,,9.0,,11.0,,5.75,6.9
2002-08-16,10.4,8.75,,9.0,,11.0,,6.0,5.0
2002-08-23,8.7,8.25,,9.0,,11.0,,5.5,5.2
2002-08-30,8.0,6.75,,9.0,,11.0,,5.75,4.1
2002-09-06,7.0,5.5,,9.0,,11.0,,5.25,4.1
2002-09-13,6.75,5.5,,9.0,,11.0,,4.75,4.1
2002-09-20,8.5,8.0,,9.0,,11.0,,6.25,4.75
2002-09-27,10.25,8.0,,9.0,,11.0,,6.25,5.3
2002-10-04,9.1,7.5,,8.0,,10.0,,5.75,4.7
2002-10-11,11.45,7.5,,8.0,,10.0,,5.75,5.8
2002-10-18,10.5,7.5,,8.0,,11.0,,6.25,6.1
2002-10-25,9.7,7.5,,8.0,,11.0,,6.25,5.5
2002-11-01,9.7,6.0,,8.0,,11.0,,5.5,5.5
2002-11-08,9.5,6.0,,8.0,,11.0,,6.5,5.1
2002-11-15,9.5,6.0,,8.0,,11.0,,5.0,5.1
2002-11-22,8.5,6.0,,8.0,,10.0,,4.5,4.2
2002-11-29,7.5,4.5,,8.0,,10.0,,4.0,3.85
2002-12-06,8.2,4.5,,8.0,,10.0,,4.0,3.6
2002-12-13,8.65,4.5,,8.0,,10.0,,4.0,3.6
2002-12-20,8.65,4.5,,8.0,,10.0,,4.5,3.6
2002-12-27,8.65,4.5,,8.0,,10.0,,4.5,3.6
2003-01-03,8.9,4.5,,8.0,,10.0,,5.0,3.6
2003-01-10,8.75,4.5,,8.0,,10.0,,5.0,3.6
2003-01-17,7.5,4.5,,8.0,,10.0,,5.0,3.6
2003-01-24,7.0,4.5,,8.0,,10.0,,4.0,3.6
2003-01-31,6.9,4.5,,8.0,,10.0,,4.0,3.6
2003-02-07,6.5,4.5,,8.0,,10.0,,4.25,3.6
2003-02-14,8.6,4.5,,8.0,,10.0,,4.625,3.6
2003-02-21,8.1,4.5,,8.0,,10.0,,4.125,3.6
2003-02-28,7.8,4.5,,8.0,,10.0,,4.5,3.75
2003-03-07,9.5,4.5,,8.0,,10.0,,4.0,3.75
2003-03-14,12.5,4.5,,8.0,,10.0,,4.75,3.75
2003-03-21,12.95,5.35,,8.0,,10.0,,5.4,3.75
2003-03-28,11.6,5.6,,8.0,,10.0,,4.7,3.75
2003-04-04,11.6,5.6,,8.0,,10.0,,4.7,3.75
2003-04-11,9.4,4.6,,8.0,,10.0,,4.5,2.85
2003-04-18,9.1,4.6,,8.0,,10.0,,4.0,1.85
2003-04-25,9.1,4.6,,8.0,,10.0,,5.0,3.25
2003-05-02,9.1,4.6,,8.0,,10.0,,4.5,3.25
2003-05-09,9.1,4.6,,8.0,,10.0,,4.5,2.9
2003-05-16,9.1,5.6,,8.0,,10.0,,5.75,3.0
2003-05-23,9.1,5.6,,6.0,,10.0,,5.75,3.15
2003-05-30,9.1,5.8,,6.0,,10.0,,5.25,2.9
2003-06-06,9.1,5.8,,6.0,,10.0,,5.25,2.9
2003-06-13,8.85,5.8,,6.0,,10.0,,4.75,2.0
2003-06-20,8.6,5.375,,6.0,,10.0,,4.75,3.0
2003-06-27,8.6,4.875,,6.0,,10.0,,4.75,2.75
2003-07-04,7.6,4.875,,6.0,,10.0,,4.75,3.65
2003-07-11,7.6,4.875,,6.0,,10.0,,5.25,3.65
2003-07-18,7.6,4.375,,6.0,,10.0,,4.5,3.05
2003-07-25,7.8,5.375,,6.5,,10.0,,4.25,3.05
2003-08-01,6.4,4.875,,6.5,,10.0,,4.25,2.75
2003-08-08,6.4,4.875,,6.5,,10.0,,4.25,2.75
2003-08-15,5.6,4.125,2.25,6.5,,10.0,,4.0,2.75
2003-08-22,5.6,4.125,2.25,6.5,,10.0,,4.25,2.75
2003-08-29,5.6,5.125,3.0,6.5,,10.0,,4.25,2.7
2003-09-05,6.55,6.0,3.0,6.5,,10.0,,4.25,3.0
2003-09-12,6.75,7.5,3.0,6.5,,10.0,,4.25,3.1
2003-09-19,7.35,6.75,3.0,6.5,,10.0,,4.25,3.95
2003-09-26,8.0,6.25,3.0,6.5,,10.0,,5.0,5.25
2003-10-03,8.5,7.25,3.5,6.5,,10.0,,5.5,5.5
2003-10-10,8.0,7.0,3.5,6.5,,10.0,,5.5,5.5
2003-10-17,10.0,7.5,3.5,6.5,,10.0,,6.05,5.5
2003-10-24,9.5,7.5,3.5,6.5,,10.0,,5.25,3.75
2003-10-31,8.0,5.75,3.5,6.5,,10.0,,5.25,3.75
2003-11-07,7.0,4.0,3.5,6.5,,10.0,,4.25,3.15
2003-11-14,7.25,3.5,3.5,6.5,,10.0,,4.25,3.15
2003-11-21,8.25,3.5,3.5,6.5,,10.0,,4.75,2.65
2003-11-28,7.25,3.5,3.5,6.5,,10.0,,4.5,2.65
2003-12-05,8.25,3.5,3.5,6.0,,7.0,,4.5,2.85
2003-12-12,8.25,3.5,3.5,6.0,,7.0,,4.5,2.85
2003-12-19,7.5,3.5,3.5,6.0,,7.0,,3.75,2.85
2003-12-26,7.5,3.5,3.5,6.0,,7.0,,3.75,2.85
2004-01-02,7.5,3.5,3.5,6.0,,7.0,,3.75,2.85
2004-01-09,7.5,4.25,3.5,6.0,,7.0,,3.75,2.85
2004-01-16,7.0,4.25,3.5,6.0,,7.0,,3.75,2.85
2004-01-23,7.0,4.25,3.5,6.0,,7.0,,3.75,2.85
2004-01-30,8.0,4.5,3.5,6.0,,7.0,,3.75,2.85
2004-02-06,9.75,5.5,3.5,6.0,,7.0,,4.0,2.85
2004-02-13,7.5,5.5,3.25,6.0,,7.0,,4.25,3.5
2004-02-20,7.5,4.0,3.25,6.0,,7.0,,4.25,3.0
2004-02-27,8.5,4.0,3.25,4.5,,7.0,,4.25,3.0
2004-03-05,7.5,4.0,3.25,4.5,,7.0,,4.75,3.0
2004-03-12,8.0,4.5,3.25,4.5,,7.0,,4.25,2.5
2004-03-19,7.75,4.5,3.25,4.5,,7.0,,4.25,3.0
2004-03-26,7.75,4.5,3.25,4.5,,7.0,,4.25,3.25
2004-04-02,8.5,4.75,6.5,4.5,,7.0,,5.0,3.75
2004-04-09,8.75,4.75,5.5,4.5,,7.0,,5.0,2.8
2004-04-16,8.5,4.75,5.5,4.5,,7.0,,5.0,2.8
