date,KRW,THB,INR,PHP,CNY,IDR,MYR,SGD,TWD
2002-07-19,,,,,,,,4.6,
2002-07-26,,,,,,,,4.875,
2002-08-02,,,,,,,,5.0,
2002-08-09,,,,,,,,5.625,
2002-08-16,,,,,,,,5.875,
2002-08-23,,,,,,,,5.125,
2002-08-30,,,,,,,,5.625,
2002-09-06,,5.375,,,,,,5.125,
2002-09-13,,5.375,,,,,,4.875,
2002-09-20,,7.75,,,,,,6.125,
2002-09-27,,7.75,,,,,,5.85,
2002-10-04,,7.125,,,,,,5.5,
2002-10-11,,7.125,,,,,,5.75,
2002-10-18,,7.125,,,,,,6.0,
2002-10-25,,7.125,,,,,,6.0,
2002-11-01,,6.25,,,,,,5.5,
2002-11-08,,5.9,,,,,,6.0,
2002-11-15,,5.9,,,,,,5.25,
2002-11-22,,5.9,,,,,,4.5,
2002-11-29,,4.75,,,,,,3.875,
2002-12-06,,4.75,,,,,,3.875,
2002-12-13,,4.75,,,,,,4.125,
2002-12-20,,4.75,,,,,,4.5,
2002-12-27,,4.75,,,,,,4.5,
2003-01-03,,4.75,,,,,,4.75,3.85
2003-01-10,,4.75,,,,,,4.75,3.85
2003-01-17,,4.75,,,,,,4.75,3.85
2003-01-24,,4.75,,,,,,4.0,3.85
2003-01-31,,4.75,,,,,,4.0,3.85
2003-02-07,,4.75,,,,,,4.25,3.85
2003-02-14,,4.75,,,,,,4.5,3.85
2003-02-21,,4.75,,,,,,4.25,3.85
2003-02-28,,4.75,,,,,,4.4,3.85
2003-03-07,,4.75,,,,,,4.0,3.85
2003-03-14,,4.75,,,,,,4.75,3.85
2003-03-21,,5.35,,,,,,5.25,3.85
2003-03-28,,5.6,,,,,,4.9,3.85
2003-04-04,,5.6,,,,,,4.8,3.85
2003-04-11,,4.6,,,,,,4.5,2.85
2003-04-18,,4.6,,,,,,4.25,2.5
2003-04-25,,4.6,,,,,,5.0,3.25
2003-05-02,,4.6,,,,,,4.7,2.875
2003-05-09,,4.6,,,,,,4.5,2.675
2003-05-16,,5.6,,,,,,5.75,3.0
2003-05-23,,5.6,,,,,,5.5,3.15
2003-05-30,,5.85,,,,,,5.25,3.0
2003-06-06,,5.85,,,,,,5.25,3.0
2003-06-13,,5.85,,,,,,4.75,2.5
2003-06-20,,5.25,,,,,,4.75,3.0
2003-06-27,,5.0,,,,,,4.8,2.75
2003-07-04,,5.0,,,,,,4.8,4.0
2003-07-11,,5.0,,,,,,5.25,4.0
2003-07-18,,4.5,,,,,,4.5,3.4
2003-07-25,,5.25,,,,,,4.25,3.4
2003-08-01,,4.7,,,,,,4.25,2.85
2003-08-08,,4.7,,,,,,4.25,2.85
2003-08-15,,4.25,2.375,,,,,4.0,2.85
2003-08-22,,4.25,2.375,,,,,4.25,2.85
2003-08-29,,5.0,2.875,,,,,4.25,2.7
2003-09-05,,6.0,2.875,,,,,4.25,3.0
