date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD,BRL,MXN,CLP,PLN,HUF,EUR,JPY,CAD
2013-01-04,1.30026,3.93354,5.24383,2.80585,3.5929,2.95089,1.69168,1.12785,0.295307,5.01347,8.87907,6.2157,14.3221,9.4411,8.2405,5.48437,5.46601
2013-01-11,1.54376,4.76359,5.5233,2.71819,3.8776,2.56769,2.61433,2.05376,1.05904,5.12133,9.25554,5.87264,14.2942,7.65262,10.8261,5.74856,5.44938
2013-01-18,1.79788,5.12897,5.34466,3.20641,4.2083,3.12326,2.63833,5.49903,1.20287,6.04231,8.31287,4.34697,15.3484,6.93791,11.2966,5.23547,6.08401
2013-01-25,2.87945,5.65782,5.68603,9.95745,4.5681,3.68065,3.01041,7.50912,4.49935,3.53988,6.90527,3.88142,15.9523,6.9298,12.0587,4.39558,8.23325
2013-02-01,2.8243,7.2771,6.0414,8.98452,5.9144,3.81423,2.93927,7.47261,5.33322,8.56605,4.2739,0.44869,12.338,12.4182,8.56342,2.63213,8.1957
2013-02-08,1.76758,3.19312,8.81394,7.81075,6.2011,2.86882,2.44542,7.75547,3.90762,7.9032,4.06892,0.817744,13.5852,17.6031,13.2344,5.06924,7.83634
2013-02-15,1.89641,4.44157,9.71778,9.75788,6.2139,2.99918,2.57395,3.91886,5.41788,6.17785,4.44071,1.06568,12.7528,18.1016,13.1103,5.09261,7.33245
2013-02-22,1.19125,5.35566,9.72334,4.50758,6.1,3.26045,2.02246,2.79745,4.7163,8.50744,4.93407,2.34484,11.899,19.857,12.3596,7.68276,8.2399
2013-03-01,1.42724,1.89302,5.05973,3.83593,4.9235,2.37996,1.13826,1.83812,2.44179,4.24802,3.65006,2.25845,4.24785,4.76998,6.13338,5.16604,5.2198
2013-03-08,1.96225,2.62507,9.11535,0.357897,5.067,2.03202,2.63419,0.156833,0.737056,8.84881,5.42799,3.75066,3.92143,1.75784,5.48501,13.3426,7.21703
2013-03-15,0.861242,2.2825,9.4583,5.69245,5.098,0.804365,2.56718,2.30835,0.755503,11.2139,7.24046,2.27162,3.57937,1.4419,7.23461,14.9525,4.07998
2013-03-22,0.945202,3.07535,6.45256,5.63871,6.9914,3.93448,2.78046,2.41465,1.65372,14.0207,5.10414,2.70935,6.28248,1.97543,4.47558,15.9507,3.84757
2013-03-29,0.277564,3.0273,4.36792,7.68783,7.1369,3.75954,2.9425,2.83901,2.07515,6.77531,5.83001,1.71966,7.05145,3.1246,7.30988,2.76575,4.07388
2013-04-05,0.465584,2.4725,3.79612,8.63133,7.2623,3.88299,2.48241,3.02149,1.80448,10.0665,5.34077,2.25107,11.9597,13.4424,9.47948,14.1682,4.03324
2013-04-12,0.783411,3.20493,2.66168,8.94408,7.6205,3.02759,2.31719,2.98126,1.99651,10.4085,4.63058,2.48829,14.0197,13.9138,9.38307,12.8638,3.92386
2013-04-19,0.822806,2.04224,5.68548,10.6894,5.9626,3.34468,2.21131,5.10003,2.70694,8.21616,8.25535,6.56007,12.1142,14.2978,8.96002,11.0675,6.28381
2013-04-26,0.351595,2.04917,6.18935,11.114,6.0661,3.20614,0.863632,11.5687,3.67754,8.07428,8.26662,8.1572,13.1901,16.3112,6.50495,14.295,6.91628
2013-05-03,0.336275,2.64527,6.08157,2.59364,7.0363,3.94587,0.960294,12.749,2.63742,7.23618,8.30758,8.16861,11.4066,15.6463,3.85131,10.2286,7.21993
2013-05-10,0.718871,1.41638,11.1192,9.94805,9.1963,5.9682,1.9676,11.7201,4.86761,4.54868,5.64031,8.89686,8.92334,12.9762,5.43193,13.1237,7.1996
2013-05-17,0.659367,1.27233,9.05731,9.3889,9.4106,5.89971,5.26987,6.79766,5.25659,2.94711,7.39462,8.29676,9.45245,11.8244,6.13971,13.0877,8.16065
2013-05-24,1.13117,1.65442,9.481,8.60705,9.9877,6.86178,4.90098,4.35361,3.6859,0.758526,7.80895,6.83036,9.12407,8.89437,7.6588,13.7045,6.95016
2013-05-31,2.40254,3.47583,5.68086,4.37035,12.2736,4.06892,4.21374,4.89065,3.27978,12.8276,7.54154,4.01802,7.0035,10.738,6.89499,13.9292,4.32448
2013-06-07,2.41274,2.89092,4.3713,5.46268,10.6551,5.73435,9.01843,4.80745,4.86361,13.8959,10.9804,6.27399,16.4868,14.4304,9.24722,14.4224,8.46238
2013-06-14,2.45601,4.96101,3.45349,5.52886,12.7885,5.69935,6.94766,5.78456,4.05448,13.8912,11.8133,13.0753,14.3507,16.1258,5.2937,10.6502,5.78292
2013-06-21,1.94072,5.78691,9.92028,10.6306,13.5647,8.50976,10.7544,7.25804,5.91471,20.1497,21.0078,20.1686,23.3537,26.4186,10.6033,21.376,13.2624
2013-06-28,0.751826,5.99983,12.0814,12.032,13.1864,14.6552,11.252,7.55188,6.61464,24.3191,25.0777,21.8934,22.6702,25.2743,11.9129,23.7934,13.297
2013-07-05,0.761218,6.0168,12.8956,10.3831,11.4531,14.4715,8.17894,7.5176,5.12496,24.28,24.3142,21.8948,16.2246,23.3118,8.03599,18.8846,10.3413
2013-07-12,0.20139,5.81543,18.2253,15.272,8.9665,14.9558,10.0453,7.65312,6.724,24.7367,26.3628,20.2201,18.8333,24.2129,10.9004,13.7806,14.2132
2013-07-19,0.533466,7.51423,13.9027,8.79988,6.7798,9.78615,5.08105,2.96171,4.39217,15.2656,9.53369,5.55759,11.5549,14.1905,10.2925,11.0866,8.37658
2013-07-26,0.48574,6.92109,13.9288,8.78269,6.6455,5.90786,4.67911,3.44626,4.09271,11.5557,13.6948,4.95907,9.74583,14.0739,9.16868,13.4064,6.97986
2013-08-02,0.61396,7.67102,14.707,8.64922,6.668,3.97607,4.4868,3.2912,3.49744,8.604,13.0935,7.14675,5.87571,10.9842,4.72316,11.3257,7.78738
2013-08-09,0.473433,7.12081,12.7769,3.43872,6.2099,2.77935,4.71429,3.03342,1.24258,9.62478,11.7512,9.89,5.16608,4.29073,2.3729,13.2881,4.79658
2013-08-16,0.530945,9.14687,13.9568,3.6655,6.4172,2.5138,6.14434,1.9502,1.27958,14.7418,11.1315,9.92298,7.93013,5.45824,3.36663,14.1902,5.38776
