date,INR,KRW,MYR,IDR,PHP,BRL,PLN
2013-01-04,,,,,,,
2013-01-11,,,,,,,
2013-01-18,,,,,,,
2013-01-25,,,,,,,
2013-02-01,-11.0,12.2258,24.843100000000007,,7.445599999999999,15.213999999999999,13.863600000000005
2013-02-08,9.0,0.18840000000000146,10.584800000000001,,3.6015000000000015,5.361999999999995,12.494599999999991
2013-02-15,9.0,-0.7744,3.794799999999995,,1.0139999999999958,13.159000000000006,7.68480000000001
2013-02-22,6.0,0.35720000000000596,-7.916799999999995,,0.3468000000000018,20.12100000000001,11.446299999999994
2013-03-01,-4.0,-6.194800000000001,-18.3639,,-6.518000000000001,18.760999999999996,6.600899999999996
2013-03-08,-9.0,-4.979399999999998,-18.397599999999997,,-9.619,5.245999999999995,-1.7984000000000009
2013-03-15,-9.0,0.5,-11.0,,-6.0,9.605999999999995,-2.499300000000005
2013-03-22,-1.0,7.5,7.0,,6.0,14.208999999999989,-3.0
2013-03-29,0.0,11.0,12.0,,10.0,1.5500000000000114,-5.0
2013-04-05,5.0,23.0,17.0,,15.0,8.111000000000004,-0.3178999999999945
2013-04-12,5.0,15.0,6.0,,1.0,-17.179999999999993,-3.0
2013-04-19,,1.0,-1.0,,-7.0,-20.257999999999996,-9.0
2013-04-26,,-4.5,-5.0,,-15.0,-22.77000000000001,-11.0
2013-05-03,2.0,-13.0,-5.0,,-22.0,-25.293000000000006,-11.0
2013-05-10,2.0,-13.0,-8.0,,-15.0,-1.0190000000000055,-12.2273
2013-05-17,,-5.0,-6.0,,-14.5,6.052000000000007,-5.317099999999996
2013-05-24,,0.5,-2.0,,0.0,20.706000000000017,-2.9081000000000046
2013-05-31,-24.0,4.0,4.0,,14.0,41.41900000000001,-3.0
2013-06-07,-24.0,15.0,22.0,,28.0,47.483999999999995,5.2273
2013-06-14,36.0,14.0,22.0,,23.5,25.221000000000004,2.3170999999999964
2013-06-21,76.0,26.0,42.0,,39.0,75.88499999999999,7.908100000000005
2013-06-28,82.0,11.0,32.0,,23.0,38.55699999999999,25.0
2013-07-05,87.0,5.0,29.0,,20.0,52.777000000000015,16.0
2013-07-12,25.0,-3.0,15.0,,13.0,31.512999999999977,11.625600000000006
2013-07-19,-15.0,-20.0,-22.0,,-23.0,-42.39699999999999,2.0
2013-07-26,-15.0,-3.0,-14.0,,-14.0,-2.076999999999998,-8.0
2013-08-02,-20.0,-5.0,-2.0,,-9.0,-32.37700000000001,-1.0
2013-08-09,,0.0,6.0,,-1.0,3.156000000000006,-7.625600000000006
2013-08-16,28.0,1.0,20.0,,13.0,39.63199999999998,-2.1047999999999973
2013-08-23,130.0,1.0,47.0,,38.0,13.361999999999995,-5.0
2013-08-30,108.0,0.0,29.0,,27.0,30.47800000000001,-1.0
2013-09-06,,-9.0,14.0,,14.0,8.152000000000015,8.0
2013-09-13,80.0,-5.0,5.0,,4.0,-35.48399999999998,5.104799999999997
2013-09-20,-56.0,-13.0,-49.0,,-37.0,-36.441,0.0
2013-09-27,-48.0,-10.0,-32.0,,-38.0,-34.40100000000001,-6.180899999999994
2013-10-04,-48.0,3.0,-5.0,,-19.0,-29.36700000000002,-4.828900000000004
2013-10-11,-48.0,-8.0,-6.0,,-21.0,-24.30600000000001,-6.0
2013-10-18,-18.0,-9.0,6.0,,-13.0,-9.125999999999976,-8.0
2013-10-25,-4.0,-11.0,-14.0,,-19.0,-16.218999999999994,-2.858400000000003
2013-11-01,-5.0,-15.0,-27.0,,-23.0,21.362000000000023,-4.171099999999996
2013-11-08,-5.0,-7.0,-10.0,,-5.0,57.90299999999999,0.0
2013-11-15,9.0,-2.0,1.0,,7.0,40.739000000000004,6.699100000000001
2013-11-22,9.0,-5.0,-4.0,,12.0,36.69900000000001,0.9378999999999991
2013-11-29,20.0,-4.0,1.0,,15.0,19.419999999999987,-2.0
2013-12-06,20.0,-1.0,-6.0,,12.0,-12.025999999999982,-2.547799999999995
2013-12-13,-15.0,-4.0,-11.0,,1.0,-13.497000000000014,-4.792699999999996
2013-12-20,-15.0,0.0,-2.0,,5.0,-10.580000000000013,-3.898600000000002
2013-12-27,-25.0,7.0,-1.0,,3.0,-13.744,-1.2232000000000056
2014-01-03,-30.0,9.0,11.0,,3.0,-6.5730000000000075,-1.4522000000000048
2014-01-10,-5.0,10.0,12.0,,7.0,15.0,-5.906400000000005
2014-01-17,-5.0,11.0,13.0,,2.2830000000000013,11.0,-5.821200000000005
2014-01-24,,7.0,17.0,,15.0,18.0,-3.309100000000001
2014-01-31,5.0,2.0,8.0,,7.0,18.0,-4.0
2014-02-07,5.0,3.7690000000000055,7.0,,6.0,-10.0,0.0
2014-02-14,-5.0,0.0,-5.0,,2.7169999999999987,-13.0,5.0035000000000025
2014-02-21,,-3.5,-13.0,,-19.0,-31.0,3.3689000000000107
2014-02-28,-26.0,-5.0,-21.0,,-23.0,-34.0,2.9835999999999956
2014-03-07,-45.0,-9.769000000000005,-26.0,,-18.0,-12.0,2.0
2014-03-14,-36.0,-5.0,-3.0,,-5.0,-5.0,-3.7822999999999922
2014-03-21,-16.0,-2.5,1.0,,7.0,0.0,-7.836600000000004
2014-03-28,-24.0,-4.0,1.0,,8.0,-5.0,-8.151600000000002
2014-04-04,-10.0,0.0,5.0,,3.0,-9.0,-3.0
2014-04-11,1.0,-3.0,-5.0,,-8.0,-18.0,-3.7055000000000007
2014-04-18,-20.0,-1.5501000000000005,-7.840999999999994,,-11.769999999999996,-27.018,0.9649000000000001
2014-04-25,5.0,0.5,-2.0,,-7.0,-10.0,0.19140000000000157
2014-05-02,10.0,0.867600000000003,2.2930000000000064,,-2.0019999999999953,-18.0,-1.0
2014-05-09,0.0,0.0,-1.0,,-3.0,-14.0,-8.694500000000005
2014-05-16,-10.0,-3.4498999999999995,-5.159000000000006,,-6.230000000000004,-0.9819999999999993,-12.9649
2014-05-23,-42.5,-5.5,-8.0,,-8.0,-5.0,-11.023399999999995
2014-05-30,-64.0,-8.867600000000003,-12.293000000000006,,-13.998000000000005,-2.0,-15.0
2014-06-06,-64.0,-10.0,-15.0,,-17.0,-16.0,-11.0
2014-06-13,-44.0,-6.0,-9.0,,-9.0,-15.0,-5.0
2014-06-20,-17.5,-2.0,-7.0,,-4.0,-12.0,0.0
2014-06-27,-3.0,1.0,-1.0,,0.0,-3.0,-1.5
2014-07-04,-3.0,2.0,-1.0,,5.0,13.72399999999999,3.8965999999999994
2014-07-11,-3.0,-2.0,-3.0,,-1.0,10.736999999999995,2.5
2014-07-18,-7.0,-2.0,-1.0,,-1.0,2.651999999999987,-2.456299999999999
2014-07-25,8.0,-3.0,-3.0,,-2.0,-2.4350000000000023,1.5
2014-08-01,5.0,3.0,5.0,,8.0,15.247000000000014,5.603400000000001
2014-08-08,15.0,11.0,10.0,,13.0,20.364000000000004,9.5
2014-08-15,15.0,2.0,0.0,,3.0,8.164000000000016,7.956299999999999
2014-08-22,7.0,1.0,-5.063100000000006,,1.0,3.4350000000000023,8.0
2014-08-29,-9.0,-5.0,-10.0,,-10.0,-34.971000000000004,1.5
2014-09-05,-19.0,-13.094700000000003,-19.0056,,-17.882000000000005,-42.434,-4.9773
2014-09-12,-19.0,-3.435200000000002,-9.955799999999996,,-7.4388000000000005,-5.8489999999999895,-1.8825000000000003
2014-09-19,,-2.144599999999997,-4.724399999999989,,-5.104799999999997,0.25200000000000955,-0.3906999999999954
2014-09-26,-9.0,5.0,5.0,,9.0,36.98599999999999,4.0
2014-10-03,-14.0,8.094700000000003,14.005600000000001,,16.882000000000005,50.571,6.9773
2014-10-10,-17.274,6.435200000000002,14.955799999999996,,13.4388,15.032999999999987,-0.6174999999999997
2014-10-17,,10.144599999999997,24.787499999999994,,26.104799999999997,12.74799999999999,2.3906999999999954
2014-10-24,-2.23599999999999,1.5,5.0,,0.0,-3.98599999999999,-1.0
2014-10-31,9.0,-5.0,-5.0,,-10.0,-23.238,-4.0
2014-11-07,-1.725999999999999,-5.0,-6.5,,-8.0,9.0,3.5339000000000027
2014-11-14,-19.24600000000001,-11.0,-16.0,,-20.0,31.316000000000003,-6.478499999999997
2014-11-21,-9.989000000000004,-4.5,-3.0,,-4.0,2.9710000000000036,-4.723799999999997
2014-11-28,-15.0,-3.0,0.0,,-1.0,-0.0049999999999954525,-1.0
2014-12-05,-4.395999999999987,-3.0,-2.5,,-7.0,-3.0349999999999966,-4.533900000000003
2014-12-12,2.3629999999999995,5.0,13.0,,3.0,27.47,11.478499999999997
2014-12-19,1.2249999999999943,-2.0,18.0,,2.0,32.524,-0.2762000000000029
2014-12-26,0.0,-1.0,17.0,,1.0,31.35499999999999,-2.0
2015-01-02,14.061999999999983,4.0,22.0,,14.9332,45.797,4.0
2015-01-09,4.88300000000001,6.0,42.0,,10.0,-6.068000000000012,-7.0
2015-01-16,13.281000000000006,16.0,42.0,,16.0,15.192000000000007,5.0
2015-01-23,2.1740000000000066,12.0,25.0,,6.0,15.219999999999999,2.0
2015-01-30,-14.665999999999997,8.0,32.0,,-1.8555000000000064,20.37899999999999,-2.0
2015-02-06,-8.971000000000004,3.0,-13.0,,-5.920000000000002,29.47200000000001,-4.0
2015-02-13,-19.74200000000002,-3.339100000000002,-20.0,,-12.0,26.312999999999988,-4.0
2015-02-20,-7.4879999999999995,1.0,-4.0,,-1.0,44.43000000000001,-2.0
2015-02-27,-7.084000000000003,-9.0,-19.0,,-9.077699999999993,5.65900000000002,-8.0
2015-03-06,-11.996999999999986,-11.0,5.0,,-12.079999999999998,17.810000000000002,-2.879100000000001
2015-03-13,-5.538999999999987,-9.660899999999998,5.0,,-5.0,64.0,-3.9716999999999985
2015-03-20,-6.686000000000007,-6.0,21.0,,1.0,56.285000000000025,-4.0
2015-03-27,8.024000000000001,1.0,25.0,,7.0,52.19999999999999,4.915700000000001
2015-04-03,4.967999999999989,0.0,-3.0,,7.0,7.0,-0.1208999999999989
2015-04-10,3.0960000000000036,-3.0,-11.0,,-2.0,-50.0,-0.11010000000000275
2015-04-17,0.06999999999999318,-6.0,-20.0,,-3.1085999999999956,-59.285000000000025,2.0
2015-04-24,-6.859999999999985,-3.0,-18.0,,-3.0,-74.0,-0.9157000000000011
2015-05-01,0.0,-3.0,-5.0,,0.0,-20.0,1.0
2015-05-08,-0.09600000000000364,-2.0,1.0,,2.0,-26.0,0.5065000000000026
2015-05-15,5.829000000000008,-2.0,-4.0,,-2.8914000000000044,-11.0,0.0
2015-05-22,2.066999999999979,-5.0,-10.0,,-4.0,3.0,-0.22109999999999985
2015-05-29,1.0,-3.0,-8.0,,-3.0,-3.0,5.0
2015-06-05,4.603000000000009,-1.0,-2.0,,-0.35840000000000316,24.0,6.575299999999999
2015-06-12,5.824000000000012,0.0,9.180999999999997,,0.3854000000000042,13.0,10.5
2015-06-19,-3.1469999999999914,2.0,15.0,,2.0,25.0,13.2211
2015-06-26,13.0,2.0,15.0,,1.5,19.00799999999998,4.0
2015-07-03,10.396999999999991,3.0,20.0,,0.35840000000000316,5.0,8.0
2015-07-10,7.276999999999987,6.0,3.8190000000000026,,6.114599999999996,9.0,2.5
2015-07-17,16.901999999999987,3.0,-8.0,,4.0,20.0,-3.0
2015-07-24,4.038000000000011,3.0,-7.0,,8.509799999999998,39.99200000000002,-0.5
2015-07-31,5.0,2.0,10.0,,9.0,39.0,-7.0
2015-08-07,2.109000000000009,1.0,19.0,,4.774799999999999,78.0,-5.540700000000001
2015-08-14,5.876000000000005,8.0,42.0,,9.0,38.0,-2.0
2015-08-21,14.665999999999997,21.0,63.0,,18.9902,52.0,3.5
2015-08-28,1.740000000000009,17.0,16.0,,15.0,41.0,4.5
2015-09-04,2.890999999999991,16.5,32.0,,22.7252,50.0,5.540700000000001
2015-09-11,0.9150000000000205,10.0,32.0,,21.0,96.0,3.0
2015-09-18,-14.569000000000017,-12.0,-15.0,,-1.0,46.0,1.0
2015-09-25,3.259999999999991,5.0,56.0,,16.0,162.0,4.5
2015-10-02,9.0,8.5,57.0,,22.0,60.0,5.0
2015-10-09,3.306999999999988,0.0,11.0,,-6.0,22.0,5.0
2015-10-16,1.8449999999999989,5.0,31.0,,-4.0,50.0,-1.0
2015-10-23,-13.956999999999994,-12.0,-18.0,,-22.5,-40.0,-2.6718000000000046
2015-10-30,-20.0,-18.0,-39.0,,-37.0,-2.0,-5.0
2015-11-06,-20.0,-11.0,-23.0,,-13.0,-15.0,-1.8760999999999939
2015-11-13,-8.920999999999992,-6.0,-20.0,,-12.0,-10.0,0.0
2015-11-20,-3.3240000000000123,-5.0,-23.0,,-8.5,-60.0,-2.3281999999999954
2015-11-27,-2.158999999999992,-6.0,-29.0,,-3.0,-18.0,-1.0
2015-12-04,1.0,-4.0,-6.0,,1.0,39.0,-3.123900000000006
2015-12-11,8.104000000000013,-2.0,19.0,,15.5,64.0,1.0
2015-12-18,5.909999999999997,2.0,11.0,,14.0,109.0,1.0
2015-12-25,6.599999999999994,3.0,18.0,,9.0,77.0,0.0
2016-01-01,6.72999999999999,3.1259999999999977,6.449999999999989,,6.530000000000001,56.0,1.2815999999999974
2016-01-08,0.15899999999999181,5.0,-5.0,,3.5,-6.0,0.0
2016-01-15,2.3710000000000093,11.0,20.0,,14.0,6.0,14.0
2016-01-22,9.558999999999997,8.0,15.0,,12.0,-12.0,25.0
2016-01-29,15.27000000000001,6.874000000000002,-2.4499999999999886,,13.469999999999999,-25.0,17.718400000000003
2016-02-05,11.518,5.0,-9.0,,13.0,-23.0,18.536699999999996
2016-02-12,20.333,9.5,-14.0,,12.0,-17.0,12.0
