date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD
2013-01-04,,,,,,,,,
2013-01-11,,,,,,,,,
2013-01-18,,,,,,,,,
2013-01-25,,,,,,,,,
2013-02-01,,,,,,,,,
2013-02-08,,,,,,,,,
2013-02-15,,,,,,,,,
2013-02-22,,,,,,,,,
2013-03-01,,,,,,,,,
2013-03-08,,,,,,,,,
2013-03-15,,,,,,,,,
2013-03-22,,,,,,,,,
2013-03-29,,,,,,,,,
2013-04-05,1.687466607068196,4.279038581250858,7.354509836845606,7.182311798668308,6.0485848706291065,3.347945178836314,2.677395348213781,4.530607016354682,3.3886081247271114
2013-04-12,1.4636014656619736,3.5509142257800392,7.358134424426983,7.069670277169854,5.922410822035724,2.8251608857572377,2.6071297227153347,4.55403365979595,3.2170320508759342
2013-04-19,1.4875123379544415,3.4586765656295695,7.036849379977362,7.836875312051177,5.883086274441837,2.9112477237785517,2.582662426259765,4.160438851731301,3.598820413534922
2013-04-26,1.0425245851685179,3.3563563165677284,7.150028072444996,6.994944280377443,5.43266382146898,2.892824339855144,2.361443644925677,6.2285531227033335,3.534048708400534
2013-05-03,1.0820010315046522,2.2599736274429634,6.642140433209323,7.411187033513104,3.2174650342149858,3.4642707141886295,2.1992992307667736,6.972269867584248,2.6574194820412838
2013-05-10,0.9960731609464842,2.1850432128924355,7.577907966037656,8.088146815270294,4.060228028486598,3.9033853261779696,2.3443173708788185,7.033604458065497,3.0162895754021677
2013-05-17,0.9927476943942007,2.199209234442341,7.006818049692641,7.82288555027488,4.835970105883982,3.8113693048280446,3.6708596746425357,7.0009536027874155,3.172377742271986
2013-05-24,0.8487999088944768,2.3083223933680084,7.35808323622909,7.871517620248348,5.225467310938774,4.196009560493468,3.780146019703051,7.008561964503714,3.211754524137029
2013-05-31,1.3935603048385907,3.0961731227667024,7.620601457932732,7.873316559049373,6.183051291551562,4.981389499146803,3.7874683060441914,7.6763643265477315,3.224372387377821
2013-06-07,1.3497439637583053,2.9164229982378878,7.000238106046916,8.280777155854768,6.146743697671363,4.994904842431121,4.897600313482385,7.710159514444246,3.7417102083877967
2013-06-14,1.3603416587105612,3.2654288971958123,6.681613037118502,7.644762669048687,6.180100807470859,5.276324495322356,4.957881402773961,7.5142941962132435,3.8094401208754554
2013-06-21,1.3660762651983804,3.796055519533094,9.089438047953857,9.091543705167107,8.152881869789827,6.8957426646248,6.462169330836991,7.838388826169291,4.3190964081091
2013-06-28,1.3701443845738834,4.011240024142905,9.267550544011815,9.304850274530256,8.518519641573004,8.620152616281,6.440588054057623,7.872965995143034,4.5185590603205945
2013-07-05,1.3835603250046742,4.022464505848842,10.038321057787506,8.29875933993705,8.11453053976358,8.752413276966593,6.467088998383186,7.806772460626446,4.565487461949879
2013-07-12,1.3786972026423059,3.967546265858344,11.227262655712394,9.686834534259026,7.9891699355616765,9.018623016827558,6.845942314109317,7.59188150765404,4.930228917567696
2013-07-19,1.351759762652819,4.8964097256811865,10.951670396102426,9.408313192189302,7.929054802943448,8.991370813793246,6.834267666212374,6.524749640807953,4.7906526196017065
2013-07-26,1.3468352581598837,5.244939065823337,11.159595598949455,9.347057649737446,7.884218172846705,9.027348375777823,6.8360380039927975,5.577623914784137,4.479592459714495
2013-08-02,1.3043913139609242,5.38948812874588,11.349971534776563,8.984451727084556,8.099062924176803,8.523271811486815,6.803793843545949,5.154053992078568,4.471393878142766
2013-08-09,1.3235771607513904,5.451540609840405,11.549770067632979,8.430541290788108,7.074048358426999,8.503316195684828,7.238643106411653,5.277599254128257,4.275365417473139
2013-08-16,1.3343918669029082,6.772882268361808,12.114470813407543,8.386992822256119,7.025415314585,8.488493669403613,6.92330925520426,5.277591349214811,3.999301460253366
2013-08-23,1.15361436343788,10.280076099183995,12.70575512593291,8.240887647981085,7.007032626290072,8.450053873159241,6.949791387743389,6.095884910758082,3.9845194026544246
2013-08-30,0.7016990616934013,10.92988201014796,14.718371622059575,8.167744043872533,7.021421074877715,8.189364531667591,6.963714896260534,5.673089386851756,3.973789875609498
2013-09-06,0.7020950379054995,11.109906267261156,17.308475461407326,8.962565158010854,7.138056984040486,8.435825806184544,6.083594283135566,5.652170359048929,3.8497589974303774
2013-09-13,0.642156997797721,13.638548118939392,18.65163538538553,8.835916747328485,7.919512123569921,8.472993696702783,6.1502513793066855,6.328108324547788,3.744747292546655
2013-09-20,0.6409697980414664,14.047570557924317,17.782047818933247,6.353013647848066,10.292848639018278,7.045757224810586,5.211448723429814,7.533319861687422,2.810354366958565
2013-09-27,0.6609716868118097,13.86620984845162,17.736949353165933,6.312286556262838,10.720073625236225,5.708807855596281,5.173119250425812,7.655049055660043,2.646754661560116
2013-10-04,0.7042885730925132,14.36199873671195,17.888721959864554,5.984442869345279,11.021394142316005,5.165309288442205,5.134280495565619,7.598081698391954,2.5482917067732824
2013-10-11,0.6766295205166518,15.246484569928514,17.441956730943716,4.517625172152783,11.001812622620731,5.018506521884617,4.850987859954428,7.5609775883616965,2.143027757485976
2013-10-18,0.8034631667848711,15.526333141521336,17.30722863272106,4.721541473067367,11.034987299241104,5.012644132814641,4.99466543601687,7.6991503011735745,2.161932002049078
2013-10-25,0.8671838713900272,15.851128377561,17.262475470016014,4.866293221110305,10.96799655831052,5.011560688573393,4.988358600965111,7.653503248250322,2.178345147983709
2013-11-01,1.0215459917496459,17.492225876644117,16.631471812466145,4.665834863005575,10.473868881660522,5.159585076820615,5.0376847020416875,7.692260727964655,2.1251976117091873
2013-11-08,1.0085784740324613,17.661685074758275,16.797711161624346,4.925730220079288,10.506854508711825,5.171591907921652,4.731366452004815,7.858813485392008,2.2940512120969827
2013-11-15,0.9853284200007241,17.409385954332805,16.237558590532952,4.884964733751648,10.516129544920737,5.222964716505622,4.195011247043482,7.864939346703357,2.34141822754744
2013-11-22,0.9563645896014592,15.463146255053879,15.113402098505075,4.8880335486926,10.421751642259153,5.0641171627256325,3.95296995506509,7.028154949450065,2.347216266313866
2013-11-29,1.0278396111640353,15.113220464892043,10.748428261709964,4.882760764114994,10.436513075896052,4.608530307832549,4.050052382706271,6.93976287368379,2.312516151896967
2013-12-06,1.1316227754201622,14.533259900259834,9.55540852826159,3.077602964245281,10.008960304733813,4.542563336758527,4.064346052127823,7.012293002512567,1.8829148510945009
2013-12-13,1.1729498802328133,12.969698801534141,9.259029552733724,3.1436795837578018,9.807923477797651,4.407086429565209,4.207210719784947,6.703670384574872,1.9850627036546338
2013-12-20,1.1772949575079998,12.656298270451277,9.180882789139066,3.4250135647916435,6.187433549647239,3.4085229798415453,3.4865091995104347,4.684249549348742,2.4704474978887196
2013-12-27,1.1628803661602904,12.420246655851628,9.162302814789923,3.615703323624226,5.037035319333535,3.659586638874531,3.4566390116373427,4.743199018989628,2.5334655588770882
2014-01-03,1.3209343821920752,12.143927353347554,7.792129937114132,3.618479746440685,3.823716298965149,3.5377181562979585,2.989740641873083,4.6962560291845366,1.8589063549031066
2014-01-10,1.3638073811350575,12.220391385081376,8.259089308619025,3.7289951710870906,4.072644633145629,3.6849946128522437,2.991741122057829,4.712600491421985,1.8504405298894844
2014-01-17,1.3252339801907593,11.677234148255838,8.266645754543806,3.158087695679513,3.733640694047945,4.07801153636844,2.420753449309997,4.413270761987128,1.8834588414524667
2014-01-24,1.4936792839149382,11.045599712435138,8.918645092218034,5.506353812344296,3.9362714319422314,4.031508851143773,2.3632250556100276,4.388866925616668,1.9053816525628993
2014-01-31,1.3933940425209366,8.787404338269111,8.369576259427618,5.5200114875479285,3.9333351519208826,4.045856953087533,2.397194415051961,4.389855223906109,1.9113347609620333
2014-02-07,1.4042337383572923,9.340263669227022,7.668653862068179,5.995713786631624,4.3371942106851105,4.883382123007463,3.1555397719007625,4.822265918470711,2.010399815638139
2014-02-14,1.4434755682384603,11.961007505170391,7.454618018987336,6.539327812359732,4.7338589619263045,5.267188769092494,3.4397837962440816,6.052963109922831,2.1688887577008766
2014-02-21,2.5850169749170977,11.81554511422726,7.466120469611849,7.103584250676237,4.866085577264202,5.166914165777882,3.5412014473272273,6.00509183852715,2.1470701599305446
2014-02-28,2.646421323613978,11.190263407851548,7.41369826636392,7.112699595961937,5.080542106063522,5.033690613420639,3.5371960238581983,5.880454136300746,2.1967229236453742
2014-03-07,2.573017050781948,11.312181097026388,6.533392586738344,7.097465594634536,5.248718836138357,5.189809118509127,3.4266664939081224,6.048968921982848,2.190252014628601
2014-03-14,2.9292349928897337,10.582061203697531,5.540567164763516,7.170701740673693,5.384139940869364,5.06067237570832,3.3997028400308453,5.945144053024514,2.198242499760402
2014-03-21,3.061372876522158,10.44650915508078,5.64516811478423,7.1301005047557435,4.6739403134779405,5.491340851947284,3.2747953783307775,4.880357090345588,2.10585430312873
2014-03-28,3.0531265655985718,10.317042435664407,6.436514269649169,7.278370525161934,5.176123015492432,5.923879962051674,4.11100762850807,4.531559085256974,2.3134538958415574
2014-04-04,2.8189052092052984,10.310684503948728,6.237819936129646,8.100160074613996,5.193579865678531,5.695623572147227,4.114420646144417,4.412350234778775,2.993028119072823
2014-04-11,2.69873421795333,10.702278509778363,6.298204225376988,8.294533691943188,5.727444066033132,5.885033695624486,4.495687755755871,4.511935766932488,3.1748422778533096
2014-04-18,2.5615917304341984,10.677044748446141,6.248919153589857,8.229296337468169,5.390232389441786,5.216592881258523,4.3591017933801535,4.458813766699417,3.162959720611684
2014-04-25,2.633967811561055,10.118199564177898,5.049402103513703,6.408917216285749,5.2437066616816175,5.133824934142115,4.28023889157461,4.49328958709749,3.1616940608785256
2014-05-02,2.628709553733332,9.991171516419026,5.112365803931638,6.509565049707004,5.092872792271024,5.134485777070029,4.281442528291289,4.35710126925148,3.176677388460955
2014-05-09,2.800318799230102,9.614148831080398,4.893202470085991,6.351987487566236,5.410859326209568,6.318433923205931,4.057303796786837,4.611132846291331,3.1824269613090763
2014-05-16,2.8255951878137053,7.3146636475439095,6.064156293057628,5.948410157815589,5.364072848149235,6.283630439524634,3.960178591458901,3.455143414491401,3.1650761215501135
2014-05-23,2.3198992064392847,8.654877834713337,5.948110784000727,4.854033822377287,5.451682913150179,6.237074021803171,3.747467441273967,3.199218973093988,3.1124810389797273
2014-05-30,2.2946504940217496,8.564321981423975,7.126840717542934,4.850459664221238,5.4127334613381795,6.383683550570379,3.775956247805508,3.6182911338975727,3.1714802979303465
2014-06-06,2.278508682049982,8.1732245592474,7.0227466215077845,4.850234109895531,5.3351420731693295,6.4835284481125965,3.7575844454776304,4.047372929786214,3.1653404719609917
2014-06-13,2.3126896974457853,7.664803879984991,7.577433124216486,4.614407160425136,5.12332014801343,6.647934507436588,3.7479220169913154,4.0526428242566315,3.0764283437869624
2014-06-20,2.050392538980222,7.983175973912214,7.869013415616907,4.28307646239374,4.680930595744606,5.896615738385382,3.3165796451596083,4.00597917740282,2.466719995477918
2014-06-27,2.0800575214730705,7.738604963576258,7.0965864581624345,4.159014441009306,4.310890574719455,5.595655314224106,2.4197815902730864,3.978745166790449,2.4733308354284786
2014-07-04,2.088241431445316,8.790514177920716,7.146359208900463,3.121728599147007,4.46566574037118,5.611188924879508,2.468707653823187,4.002326892499488,1.9944192793431377
2014-07-11,2.0867634790043015,9.14438485073406,6.938450024138053,3.670335077458748,3.8101610528006735,5.483363095977918,1.736647691911537,4.0894556784034375,1.8607562973808032
2014-07-18,2.0219101483126307,9.02621131539859,7.0114710764028585,4.307936420082125,3.7785434926379335,5.5046565636409195,1.4914099089219817,4.052198070413516,1.7309297415601939
2014-07-25,1.629056744622388,8.605709940583324,7.014118446937617,4.325937958319051,3.0122460759270933,5.3214307384044295,1.3163517291043483,4.440445519464558,1.4475873072257084
2014-08-01,1.6543224033777886,9.338637031852558,7.263598796174861,4.071762711453598,4.129098384533883,5.753667143475898,1.6587518247320896,4.90460053938205,1.3589436951529346
2014-08-08,1.6245689993747365,9.313122891721969,7.284834087272039,3.9880205655129277,3.5059501652472727,3.903138746334182,1.70399229517948,4.525678880032097,1.3391084686524257
2014-08-15,1.6058589112132229,8.992128779674161,5.655725303931977,4.48138791802917,4.722472119870727,4.024298421626327,1.8478886969576531,4.6727485641390905,1.3448202499088682
2014-08-22,1.7155673449499313,7.775358502671775,5.772087066404084,4.4806240425424235,4.655897505847812,4.064441712442183,1.9094049940891114,4.651073482636284,1.348937075918963
2014-08-29,1.5787711454227633,7.546801274136938,5.1451682039604405,4.558350756959747,4.6534588285217735,4.024251278104128,1.8840608404477925,4.123641173983407,1.301319987583559
2014-09-05,1.5719133844884898,7.5145754547403865,5.19554725188835,4.719469190402163,5.158252323482294,3.694420826973087,2.0911162103202128,3.7664600441993463,1.3090406725025014
2014-09-12,1.2826007633734284,7.759742617632479,5.061469493876092,5.493482844214601,5.24424802833331,3.9096197750243826,2.5537131327623888,3.938787080396069,1.7045079048610783
2014-09-19,1.0759539896221733,7.515748111687619,4.718277987049678,5.5267507873069714,5.760635196800358,4.6273991073968785,2.5743413187822477,3.897980728721585,2.043243562916402
2014-09-26,1.0863633473910435,7.849480720975809,4.8725663260182355,5.302812594765864,5.896366464673077,4.815857425951005,2.6685946521293946,4.017714966049972,1.8749149641641487
2014-10-03,1.3985473575655665,6.843041806059104,4.798905754753839,6.623180443627817,5.534817236141086,4.5388009472359405,2.4581370076298152,4.391852758292787,2.0771337486695622
2014-10-10,1.5656223132716716,5.532453634940652,5.204788846567412,6.653085262247638,5.540296097424092,4.7601497013467995,2.255525724607901,4.2553284474012125,2.261275880939919
