,BRL,CLP,CNH,HUF,IDR,INR,KRW,MXN,PLN,SGD,THB,TWD
2005-01-31,,,50727000000.0,,,,,,,,,
2005-02-28,,,44276000000.0,,,,,,,,,
2005-03-31,,,60845000000.0,,,,,,,,,
2005-04-30,,,62084000000.0,,,,,,,,,
2005-05-31,,,58422000000.0,,,,,,,,,
2005-06-30,,,65930000000.0,,,,,,,,,
2005-07-31,,,65532000000.0,,,,,,,,,
2005-08-31,,,68372000000.0,,,,,,,,,
2005-09-30,,,70148000000.0,,,,,,,,,
2005-10-31,,,68025000000.0,,,,,,,,,
2005-11-30,,,72195000000.0,,,,,,,,,
2005-12-31,,,75397000000.0,,,,,,,,,
2006-01-31,9282000000.0,4073000000.0,65126000000.0,5238000000.0,7812000000.0,9168000000.0,23249000000.0,19207000000.0,7787000000.0,19975000000.0,8906000000.0,16971000000.0
2006-02-28,8757000000.0,4291000000.0,54106000000.0,5130000000.0,7734000000.0,9055000000.0,23785000000.0,18729000000.0,7861000000.0,20255000000.0,9483000000.0,15552000000.0
2006-03-31,11379000000.0,5644000000.0,78019000000.0,6273000000.0,7716000000.0,11561000000.0,26855000000.0,20917000000.0,9095000000.0,23259000000.0,11065000000.0,18055000000.0
2006-04-30,9822000000.0,5264000000.0,76828000000.0,5493000000.0,8189000000.0,8625000000.0,25554000000.0,19761000000.0,8321000000.0,21018000000.0,9174000000.0,18964000000.0
2006-05-31,10277000000.0,4708000000.0,73072000000.0,6560000000.0,8440000000.0,10110000000.0,27822000000.0,22710000000.0,9398000000.0,22821000000.0,10796000000.0,19077000000.0
2006-06-30,11442000000.0,6026000000.0,81281000000.0,6362000000.0,8855000000.0,10420000000.0,28111000000.0,21309000000.0,9407000000.0,23876000000.0,10916000000.0,18263000000.0
2006-07-31,13638000000.0,4990000000.0,80297000000.0,5859000000.0,9112000000.0,10600000000.0,26018000000.0,19826000000.0,8821000000.0,22873000000.0,11113000000.0,19737000000.0
2006-08-31,13646000000.0,5135000000.0,90726000000.0,5873000000.0,9179000000.0,10770000000.0,27456000000.0,22823000000.0,9019000000.0,24151000000.0,11803000000.0,19502000000.0
2006-09-30,12556000000.0,4942000000.0,91576000000.0,7005000000.0,9313000000.0,10757000000.0,29744000000.0,20491000000.0,10307000000.0,24468000000.0,12027000000.0,20266000000.0
2006-10-31,12656000000.0,4392000000.0,88097000000.0,7117000000.0,8461000000.0,9929000000.0,28093000000.0,23186000000.0,10848000000.0,23441000000.0,11458000000.0,20002000000.0
2006-11-30,11874000000.0,4112000000.0,95807000000.0,7852000000.0,8797000000.0,9979000000.0,30661000000.0,20854000000.0,10800000000.0,23985000000.0,11835000000.0,19697000000.0
2006-12-31,12250000000.0,5803000000.0,94055000000.0,6609000000.0,9920000000.0,10835000000.0,28775000000.0,20113000000.0,9234000000.0,23264000000.0,11146000000.0,19818000000.0
2007-01-31,10967000000.0,5407000000.0,86629000000.0,6691000000.0,8641000000.0,10967000000.0,28097000000.0,18999000000.0,9915000000.0,24448000000.0,10483000000.0,20008000000.0
2007-02-28,10107000000.0,5183000000.0,82100000000.0,6988000000.0,8530000000.0,10561000000.0,26227000000.0,19609000000.0,10005000000.0,20169000000.0,11160000000.0,15029000000.0
2007-03-31,12859000000.0,6041000000.0,83469000000.0,7969000000.0,9455000000.0,12862000000.0,30389000000.0,21661000000.0,11675000000.0,25323000000.0,12911000000.0,19928000000.0
2007-04-30,12433000000.0,6218000000.0,97530000000.0,7192000000.0,9301000000.0,11327000000.0,29948000000.0,21077000000.0,10866000000.0,24056000000.0,10851000000.0,19986000000.0
2007-05-31,13628000000.0,6394000000.0,94138000000.0,7813000000.0,9978000000.0,12456000000.0,31046000000.0,23814000000.0,11460000000.0,23917000000.0,12753000000.0,19726000000.0
2007-06-30,13088000000.0,5939000000.0,103517000000.0,8079000000.0,9923000000.0,12101000000.0,31997000000.0,22765000000.0,11338000000.0,24993000000.0,12792000000.0,20262000000.0
2007-07-31,14087000000.0,5468000000.0,108021000000.0,7825000000.0,10106000000.0,12513000000.0,30220000000.0,22635000000.0,11461000000.0,26065000000.0,11974000000.0,21407000000.0
2007-08-31,15094000000.0,5575000000.0,111648000000.0,7379000000.0,10042000000.0,12641000000.0,31013000000.0,24493000000.0,11323000000.0,25669000000.0,14043000000.0,21446000000.0
2007-09-30,13593000000.0,5291000000.0,112628000000.0,8662000000.0,9861000000.0,12521000000.0,29382000000.0,23141000000.0,12363000000.0,25861000000.0,13575000000.0,22345000000.0
2007-10-31,15745000000.0,5803000000.0,107921000000.0,9511000000.0,10391000000.0,14675000000.0,34497000000.0,26089000000.0,14568000000.0,28010000000.0,14817000000.0,22903000000.0
2007-11-30,14001000000.0,5412000000.0,117890000000.0,9672000000.0,10383000000.0,12909000000.0,35818000000.0,24332000000.0,14108000000.0,26957000000.0,14928000000.0,22080000000.0
2007-12-31,14215000000.0,5830000000.0,114632000000.0,7790000000.0,11402000000.0,14625000000.0,32999000000.0,23260000000.0,11335000000.0,26125000000.0,13582000000.0,23671000000.0
2008-01-31,13234000000.0,6265000000.0,109941000000.0,9023000000.0,11484000000.0,14889000000.0,32275000000.0,22233000000.0,13685000000.0,29816000000.0,14268000000.0,22317000000.0
2008-02-29,12764000000.0,6120000000.0,87470000000.0,9400000000.0,10882000000.0,15116000000.0,31178000000.0,22856000000.0,14597000000.0,25821000000.0,13237000000.0,17797000000.0
2008-03-31,12566000000.0,6772000000.0,109177000000.0,9976000000.0,12047000000.0,17254000000.0,35992000000.0,24995000000.0,15067000000.0,29182000000.0,15020000000.0,24461000000.0
2008-04-30,14039000000.0,6290000000.0,119237000000.0,10511000000.0,11319000000.0,18460000000.0,37850000000.0,27030000000.0,17159000000.0,31161000000.0,14107000000.0,22810000000.0
2008-05-31,19244000000.0,6197000000.0,120793000000.0,9628000000.0,13054000000.0,18687000000.0,39383000000.0,26002000000.0,14936000000.0,29960000000.0,15880000000.0,23784000000.0
2008-06-30,18573000000.0,5832000000.0,121690000000.0,10216000000.0,12972000000.0,19181000000.0,37259000000.0,26372000000.0,15747000000.0,31077000000.0,16654000000.0,24540000000.0
2008-07-31,20401000000.0,5846000000.0,136854000000.0,9877000000.0,12704000000.0,19030000000.0,40961000000.0,27548000000.0,16382000000.0,33396000000.0,17370000000.0,23119000000.0
2008-08-31,19679000000.0,5042000000.0,135471000000.0,8042000000.0,12453000000.0,17759000000.0,36611000000.0,25833000000.0,13747000000.0,30276000000.0,16269000000.0,25437000000.0
2008-09-30,19091000000.0,4396000000.0,136896000000.0,9819000000.0,12922000000.0,15789000000.0,37428000000.0,25086000000.0,15642000000.0,30557000000.0,16294000000.0,22061000000.0
2008-10-31,18424000000.0,4118000000.0,128629000000.0,8545000000.0,11373000000.0,14131000000.0,37111000000.0,24429000000.0,13964000000.0,26742000000.0,15266000000.0,21011000000.0
2008-11-30,14058000000.0,3393000000.0,115290000000.0,7642000000.0,9578000000.0,11163000000.0,28842000000.0,20276000000.0,11046000000.0,22760000000.0,11809000000.0,16939000000.0
2008-12-31,13692000000.0,4240000000.0,111189000000.0,6090000000.0,8817000000.0,13368000000.0,27118000000.0,18684000000.0,9097000000.0,20336000000.0,11604000000.0,13774000000.0
2009-01-31,9663000000.0,3652000000.0,90759000000.0,5479000000.0,7432000000.0,12869000000.0,21133000000.0,15082000000.0,9430000000.0,17784000000.0,10488000000.0,12493000000.0
2009-02-28,9492000000.0,3436000000.0,64967000000.0,5666000000.0,7858000000.0,11941000000.0,25397000000.0,16065000000.0,9499000000.0,18236000000.0,11695000000.0,12784000000.0
2009-03-31,11608000000.0,4299000000.0,90304000000.0,6863000000.0,8906000000.0,12916000000.0,27891000000.0,18518000000.0,10908000000.0,20779000000.0,11532000000.0,15706000000.0
2009-04-30,12222000000.0,4368000000.0,92181000000.0,6177000000.0,8414000000.0,12476000000.0,30327000000.0,17372000000.0,10200000000.0,20856000000.0,10425000000.0,14980000000.0
2009-05-31,11921000000.0,4279000000.0,88905000000.0,6381000000.0,9602000000.0,12316000000.0,27824000000.0,17238000000.0,10430000000.0,20608000000.0,11649000000.0,16341000000.0
2009-06-30,14345000000.0,4447000000.0,95554000000.0,7125000000.0,10141000000.0,13606000000.0,32210000000.0,19402000000.0,11291000000.0,22140000000.0,12329000000.0,17142000000.0
2009-07-31,14051000000.0,4751000000.0,105610000000.0,7110000000.0,10260000000.0,14341000000.0,31908000000.0,18016000000.0,11594000000.0,24338000000.0,12906000000.0,17435000000.0
2009-08-31,13792000000.0,4671000000.0,103963000000.0,6064000000.0,10894000000.0,13586000000.0,28950000000.0,19566000000.0,10594000000.0,23678000000.0,13280000000.0,19170000000.0
2009-09-30,13802000000.0,4404000000.0,116227000000.0,8188000000.0,10135000000.0,14624000000.0,33922000000.0,20939000000.0,13500000000.0,24724000000.0,14903000000.0,19274000000.0
2009-10-31,14016000000.0,5744000000.0,110794000000.0,8372000000.0,11900000000.0,14806000000.0,33970000000.0,22118000000.0,14069000000.0,25641000000.0,14813000000.0,19997000000.0
2009-11-30,12498000000.0,5317000000.0,113726000000.0,8688000000.0,10643000000.0,14933000000.0,33992000000.0,22364000000.0,13628000000.0,25695000000.0,13781000000.0,20169000000.0
2009-12-31,14382000000.0,6096000000.0,131137000000.0,7081000000.0,13461000000.0,16493000000.0,36010000000.0,23024000000.0,11639000000.0,26606000000.0,14621000000.0,20173000000.0
2010-01-31,11153000000.0,5067000000.0,109693000000.0,6925000000.0,11596000000.0,15557000000.0,30735000000.0,19190000000.0,12005000000.0,26066000000.0,13488000000.0,21946000000.0
2010-02-28,12067000000.0,5004000000.0,94701000000.0,7193000000.0,11166000000.0,15758000000.0,33039000000.0,21303000000.0,12371000000.0,23330000000.0,14213000000.0,16846000000.0
2010-03-31,15638000000.0,5544000000.0,112411000000.0,8430000000.0,12774000000.0,20254000000.0,37309000000.0,26104000000.0,14164000000.0,29286000000.0,16143000000.0,23598000000.0
2010-04-30,15074000000.0,5361000000.0,120078000000.0,7501000000.0,12035000000.0,18139000000.0,39301000000.0,24845000000.0,13308000000.0,29415000000.0,13964000000.0,22130000000.0
