,BRL,CLP,CNH,HUF,IDR,INR,KRW,MXN,PHP,PLN,SGD,THB
2000-01-31,,,,,,,,33688510000.0,,,,
2000-02-29,,,,,,,,33381640000.0,,,,
2000-03-31,,,,,,,,36434948000.0,,,,
2000-04-30,,,,10531881210.00794,,,,34748768000.0,15880690000.0,25501178000.0,,32166057425.23
2000-05-31,,,,10744454322.07463,,,,33623828000.0,15479210000.0,,,31904195281.7873
2000-06-30,,,,10510921781.89054,29502204522.8687,,,33062201000.0,15412900000.0,25986083000.0,,32142000398.9442
2000-07-31,,,,10268714710.64479,,,,34409543000.0,14847930000.0,,,31929611596.1955
2000-08-31,,14378700000.0,,10355540560.0,,,,32970498000.0,15468430000.0,,77353200000.0,32232390000.0
2000-09-30,,14157300000.0,,10559283150.0,,,,34184981000.0,14944480000.0,25415739000.0,77930000000.0,32249820000.0
2000-10-31,,14261500000.0,,10158813980.0,,,,35344766000.0,14455390000.0,26079306000.0,77650000000.0,32244740000.0
2000-11-30,,14220300000.0,,10796469840.0,,,,34762700000.0,14532710000.0,26543484000.0,77892300000.0,32316128157.7088
2000-12-31,33011400000.0,14741400000.0,,11229180950.0,,,,35585160000.0,15062820000.0,27463859000.0,80169600000.0,32661255103.6106
2001-01-31,35597800000.0,14544500000.0,,10771051650.0,,,,39492709000.0,14405220000.0,28107803000.0,80171800000.0,32794960000.0
2001-02-28,35413200000.0,14521700000.0,,11194056640.0,,,,39174416000.0,14194610000.0,28715764000.0,80179800000.0,33153876347.3589
2001-03-31,34407050000.0,14545100000.0,,10763470080.0,,,,40301548000.0,14709740000.0,27998267000.0,77522500000.0,32294705286.0187
2001-04-30,34652980000.0,14329100000.0,,11126598560.0,,,,40378274000.0,14481960000.0,27739342000.0,76777000000.0,32095957481.8931
2001-05-31,35458580000.0,14421900000.0,,11015774400.0,,,,40622616000.0,14483480000.0,27045423000.0,76045000000.0,32005231272.3426
2001-06-30,37318240000.0,14295300000.0,,11529408000.0,,,,40819140000.0,14596500000.0,27112981000.0,74484800000.0,31611507451.1346
2001-07-31,35551856740.2678,14473400000.0,,11850680450.0,,,,40882066000.0,14364120000.0,27844286000.0,73860800000.0,31879786625.4966
2001-08-31,36298996007.9008,14680700000.0,,12022713980.0,,,,41230994000.0,14275950000.0,28032420000.0,75981300000.0,32573189186.6367
2001-09-30,40054178124.2024,14400800000.0,,11980328550.0,,,,42862790000.0,14584770000.0,28300102000.0,75380000000.0,32635390000.0
2001-10-31,37492406625.7664,14279500000.0,,11747908920.0,,,,43424174000.0,14430210000.0,28899708000.0,75964900000.0,33073545065.8817
2001-11-30,37233728091.1923,14193100000.0,,11322171120.0,,,,43930990000.0,14831340000.0,26126682000.0,76590800000.0,33272818422.6291
2001-12-31,35866415034.9683,14225900000.0,,10747894150.0,,,,44813642000.0,15692240000.0,26565193000.0,75677000000.0,33048397557.5675
2002-01-31,36167368208.638,14075500000.0,,10155039120.0,,,,47287101000.0,16335960000.0,26344373000.0,75147800000.0,33802403725.1782
2002-02-28,35906161192.9604,13999100000.0,,9691888320.000004,,,,47120136000.0,16271510000.0,26446572000.0,74938300000.0,33972464692.719
2002-03-31,36720957150.7492,14012600000.0,,9633302520.000004,,,,46259447000.0,17351620000.0,27059570000.0,75814000000.0,33614500000.0
