,IDR,PHP,THB,SGD,BRL,MXN,CNH,CLP,PLN,HUF
1987-01-02,,439.5299987792969,,,,,,,,
1987-01-05,,455.2300109863281,,,,,,,,
1987-01-06,,462.260009765625,,,,,,,,
1987-01-07,,462.5,,,,,,,,
1987-01-08,,483.0199890136719,,,,,,,,
1987-01-09,,503.5299987792969,,,,,,,,
1987-01-12,,515.3300170898438,,,,,,,,
1987-01-13,,496.4700012207031,,,,,,,,
1987-01-14,,497.1099853515625,,,,,,,,
1987-01-15,,474.4100036621094,,,,,,,,
1987-01-16,,479.94000244140625,,,,,,,,
1987-01-19,,493.4800109863281,,,,,,,,
1987-01-20,,493.05999755859375,,,,,,,,
1987-01-21,,466.010009765625,,,,,,,,
1987-01-22,,480.5799865722656,,,,,,,,
1987-01-23,,466.1700134277344,,,,,,,,
1987-01-26,,456.5199890136719,,,,,,,,
1987-01-27,,485.4100036621094,,,,,,,,
1987-01-28,,501.67999267578125,,,,,,,,
1987-01-29,,524.5800170898438,,,,,,,,
1987-01-30,,521.6400146484375,,,,,,,,
1987-02-02,,521.6400146484375,,,,,,,,
1987-02-03,,523.8499755859375,,,,,,,,
1987-02-04,,521.969970703125,,,,,,,,
1987-02-05,,528.9299926757812,,,,,,,,
1987-02-06,,533.4000244140625,,,,,,,,
1987-02-09,,536.510009765625,,,,,,,,
1987-02-10,,524.6699829101562,,,,,,,,
1987-02-11,,525.260009765625,,,,,,,,
1987-02-12,,521.25,,,,,,,,
1987-02-13,,518.010009765625,,,,,,,,
1987-02-16,,515.4400024414062,,,,,,,,
1987-02-17,,511.95001220703125,,,,,,,,
1987-02-18,,496.5299987792969,,,,,,,,
1987-02-19,,504.8999938964844,,,,,,,,
1987-02-20,,508.04998779296875,,,,,,,,
1987-02-23,,511.6199951171875,,,,,,,,
1987-02-24,,510.3299865722656,,,,,,,,
1987-02-25,,510.3299865722656,,,,,,,,
1987-02-26,,510.6300048828125,,,,,,,,
1987-02-27,,513.969970703125,,,,,,,,
1987-03-02,,500.3299865722656,,,,,,,,
1987-03-03,,496.25,,,,,,,,
1987-03-04,,493.6600036621094,,,,,,,,
1987-03-05,,476.7300109863281,,,,,,,,
1987-03-06,,469.45001220703125,,,,,,,,
1987-03-09,,467.2099914550781,,,,,,,,
1987-03-10,,448.7200012207031,,,,,,,,
1987-03-11,,455.6600036621094,,,,,,,,
1987-03-12,,455.6199951171875,,,,,,,,
1987-03-13,,469.6600036621094,,,,,,,,
1987-03-16,,461.239990234375,,,,,,,,
1987-03-17,,458.4800109863281,,,,,,,,
1987-03-18,,455.2699890136719,,,,,,,,
1987-03-19,,450.1300048828125,,,,,,,,
1987-03-20,,447.0299987792969,,,,,,,,
1987-03-23,,451.30999755859375,,,,,,,,
1987-03-24,,461.32000732421875,,,,,,,,
1987-03-25,,472.239990234375,,,,,,,,
1987-03-26,,483.3299865722656,,,,,,,,
1987-03-27,,500.0400085449219,,,,,,,,
1987-03-30,,506.8399963378906,,,,,,,,
1987-03-31,,511.2200012207031,,,,,,,,
1987-04-01,,505.3699951171875,,,,,,,,
1987-04-02,,509.7099914550781,,,,,,,,
1987-04-03,,509.0299987792969,,,,,,,,
1987-04-06,,509.2300109863281,,,,,,,,
1987-04-07,,506.9100036621094,,,,,,,,
1987-04-08,,507.2799987792969,,,,,,,,
1987-04-09,,511.6400146484375,,,,,,,,
1987-04-10,,515.8599853515625,,,,,,,,
1987-04-13,,516.6400146484375,,,,,,,,
1987-04-14,,519.280029296875,,,,,,,,
1987-04-15,,536.6900024414062,,,,,,,,
1987-04-16,,536.6900024414062,,,,,,,,
1987-04-17,,536.6900024414062,,,,,,,,
1987-04-20,,538.3099975585938,,,,,,,,
1987-04-21,,545.280029296875,,,,,,,,
1987-04-22,,544.7000122070312,,,,,,,,
1987-04-23,,557.77001953125,,,,,,,,
1987-04-24,,564.1199951171875,,,,,,,,
1987-04-27,,572.5900268554688,,,,,,,,
1987-04-28,,563.4600219726562,,,,,,,,
1987-04-29,,566.510009765625,,,,,,,,
1987-04-30,,566.219970703125,,,,,,,,
1987-05-01,,566.219970703125,,,,,,,,
1987-05-04,,551.969970703125,,,,,,,,
1987-05-05,,566.9199829101562,,,,,,,,
1987-05-06,,566.9199829101562,,,,,,,,
1987-05-07,,596.8699951171875,,,,,,,,
1987-05-08,,595.0999755859375,,,,,,,,
1987-05-11,,595.0999755859375,,,,,,,,
1987-05-12,,595.0999755859375,,,,,,,,
1987-05-13,,608.1500244140625,,,,,,,,
1987-05-14,,593.5,,,,,,,,
1987-05-15,,596.8200073242188,,,,,,,,
1987-05-18,,589.8599853515625,,,,,,,,
1987-05-19,,589.5499877929688,,,,,,,,
1987-05-20,,589.3699951171875,,,,,,,,
1987-05-21,,591.1799926757812,,,,,,,,
1987-05-22,,593.8800048828125,,,,,,,,
1987-05-25,,576.010009765625,,,,,,,,
1987-05-26,,578.2000122070312,,,,,,,,
1987-05-27,,586.719970703125,,,,,,,,
1987-05-28,,591.8200073242188,,,,,,,,
1987-05-29,,609.8599853515625,,,,,,,,
1987-06-01,,614.0800170898438,,,,,,,,
1987-06-02,,620.8900146484375,,,,,,,,
1987-06-03,,637.1599731445312,,,,,,,,
1987-06-04,,651.0499877929688,,,,,,,,
1987-06-05,,671.3400268554688,,,,,,,,
1987-06-08,,670.27001953125,,,,,,,,
1987-06-09,,678.5499877929688,,,,,,,,
1987-06-10,,688.52001953125,,,,,,,,
1987-06-11,,696.9099731445312,,,,,,,,
1987-06-12,,696.9099731445312,,,,,,,,
1987-06-15,,715.3599853515625,,,,,,,,
1987-06-16,,738.510009765625,,,,,,,,
1987-06-17,,772.9500122070312,,,,,,,,
1987-06-18,,774.4299926757812,,,,,,,,
1987-06-19,,778.219970703125,,,,,,,,
1987-06-22,,784.7999877929688,,,,,,,,
1987-06-23,,798.7100219726562,,,,,,,,
1987-06-24,,841.0800170898438,,,,,,,,
1987-06-25,,834.5700073242188,,,,,,,,
1987-06-26,,878.1099853515625,,,,,,,,
1987-06-29,,944.8300170898438,,,,,,,,
1987-06-30,,918.4099731445312,,,,,,,,
1987-07-01,,963.5599975585938,,,,,,,,
1987-07-02,,1022.3599853515625,,,,,,,,
1987-07-03,,1016.0399780273438,,,,,,,,
1987-07-06,,964.030029296875,,,,,,,,
1987-07-07,,998.8599853515625,,,,,,,,
1987-07-08,,1035.97998046875,,,,,,,,
1987-07-09,,1047.969970703125,,,,,,,,
1987-07-10,,1050.739990234375,,,,,,,,
1987-07-13,,1106.22998046875,,,,,,,,
1987-07-14,,1122.949951171875,,,,,,,,
1987-07-15,,1114.7099609375,,,,,,,,
1987-07-16,,1180.6500244140625,,,,,,,,
1987-07-17,,1236.1500244140625,,,,,,,,
1987-07-20,,1335.5400390625,,,,,,,,
1987-07-21,,1333.6400146484375,,,,,,,,
1987-07-22,,1315.0699462890625,,,,,,,,
1987-07-23,,1234.5899658203125,,,,,,,,
1987-07-24,,1071.800048828125,,,,,,,,
1987-07-27,,985.6099853515625,,,,,,,,
1987-07-28,,1146.2900390625,,,,,,,,
1987-07-29,,1143.6700439453125,,,,,,,,
1987-07-30,,1134.68994140625,,,,,,,,
1987-07-31,,1055.219970703125,,,,,,,,
1987-08-03,,1195.8499755859375,,,,,,,,
1987-08-04,,1213.93994140625,,,,,,,,
1987-08-05,,1240.25,,,,,,,,
1987-08-06,,1258.489990234375,,,,,,,,
1987-08-07,,1258.489990234375,,,,,,,,
1987-08-10,,1235.780029296875,,,,,,,,
1987-08-11,,1214.8399658203125,,,,,,,,
1987-08-12,,1145.3399658203125,,,,,,,,
1987-08-13,,1145.3399658203125,,,,,,,,
1987-08-14,,1173.7099609375,,,,,,,,
1987-08-17,,1113.6300048828125,,,,,,,,
1987-08-18,,1043.4100341796875,,,,,,,,
1987-08-19,,1050.3199462890625,,,,,,,,
1987-08-20,,1086.3499755859375,,,,,,,,
1987-08-21,,1086.3499755859375,,,,,,,,
1987-08-24,,1017.1599731445312,,,,,,,,
1987-08-25,,981.4000244140625,,,,,,,,
1987-08-26,,1049.2099609375,,,,,,,,
1987-08-27,,1099.68994140625,,,,,,,,
1987-08-28,,1099.68994140625,,,,,,,,
1987-08-31,,1099.68994140625,,,,,,,,
1987-09-01,,1015.1599731445312,,,,,,,,
1987-09-02,,1047.18994140625,,,,,,,,
1987-09-03,,1023.1799926757812,,,,,,,,
1987-09-04,,992.2999877929688,,,,,,,,
1987-09-07,,884.510009765625,,,,,,,,
1987-09-08,,921.47998046875,,,,,,,,
1987-09-09,,909.969970703125,,,,,,,,
1987-09-10,,913.0499877929688,,,,,,,,
1987-09-11,,910.239990234375,,,,,,,,
1987-09-14,,878.1699829101562,,,,,,,,
1987-09-15,,830.219970703125,,,,,,,,
1987-09-16,,784.239990234375,,,,,,,,
1987-09-17,,705.6699829101562,,,,,,,,
1987-09-18,,818.989990234375,,,,,,,,
1987-09-21,,816.5499877929688,,,,,,,,
1987-09-22,,826.5499877929688,,,,,,,,
1987-09-23,,795.0800170898438,,,,,,,,
1987-09-24,,755.3400268554688,,,,,,,,
1987-09-25,,722.47998046875,,,,,,,,
1987-09-28,,705.7100219726562,,,,,,,,
1987-09-29,,734.6799926757812,,,,,,,,
1987-09-30,,753.1400146484375,,,,,,,,
1987-10-01,,821.5999755859375,,,,,,,,
1987-10-02,,847.8200073242188,,,,,,,,
1987-10-05,,825.6199951171875,,,,,,,,
1987-10-06,,801.27001953125,,,,,,,,
1987-10-07,,814.77001953125,,,,,,,,
1987-10-08,,756.75,,,,,,,,
1987-10-09,,762.219970703125,,,,,,,,
1987-10-12,,789.9400024414062,,,,,,,,
1987-10-13,,813.5800170898438,,,,,,,,
1987-10-14,,846.27001953125,,,,,,,,
1987-10-15,,851.8599853515625,,,,,,,,
1987-10-16,,851.510009765625,,,,,,,,
1987-10-19,,906.72998046875,,,,,,,,
1987-10-20,,799.0999755859375,,,,,,,,
1987-10-21,,861.760009765625,,,,,,,,
